"Spitalname";"Total absolut";"davon Frauen in %";"davon AusländerInnen in %";"davon in Ausbildung in %"
"Universitätsspital Zürich";8551;69.0445561922582;35.9724008887849;18.3487311425564
"Kantonsspital Winterthur";3580;77.4860335195531;20.8379888268156;17.0111731843575
"Stadtspital Triemli";2823;76.4434998228835;31.9164009918526;19.0931633014524
"Klinik Hirslanden";1872;73.5576923076923;40.0641025641026;15.4380341880342
"See-Spital";962;77.8586278586279;27.4428274428274;14.5530145530146
"Spital Uster";1301;79.0161414296695;23.8278247501922;18.0630284396618
"Spital Limmattal";1286;75.5054432348367;32.7371695178849;13.9968895800933
"Spital Bülach";1110;80.0900900900901;31.6216216216216;18.3783783783784
"Spital Zollikerberg";992;79.7379032258064;29.2338709677419;14.2137096774194
"GZO AG Spital Wetzikon";906;79.5805739514349;21.4128035320088;3.53200883002207
"Stadtspital Waid";1240;76.2903225806452;28.9516129032258;20.8064516129032
"Schulthess-Klinik";1211;73.2452518579686;32.4525185796862;13.5425268373245
"Kinderspital Zürich";2360;82.2457627118644;25.1694915254237;14.1949152542373
"Spital Männedorf";939;74.653887113951;20.8732694355698;15.9744408945687
"Universitätsklinik Balgrist";1087;69.3652253909844;32.2907083716651;12.327506899724
"Spital Affoltern";577;80.9358752166378;25.6499133448873;16.1178509532062
"Paracelsus-Spital Richterswil";243;86.4197530864197;37.4485596707819;4.52674897119342
"Limmatklinik";77;72.7272727272727;29.8701298701299;2.5974025974026
"Klinik Lengg";289;78.2006920415225;35.6401384083045;12.80276816609
"Uroviva Klinik für Urologie";74;78.3783783783784;36.4864864864865;1.35135135135135
"Adus Medica";35;97.1428571428571;11.4285714285714;0
"Klinik Susenberg";116;75.8620689655172;35.3448275862069;12.0689655172414
"Sune-Egge";71;49.2957746478873;25.3521126760563;1.40845070422535
"Spitäler mit Zürcher Leistungsauftrag";31702;74.9637246861397;30.4428742666078;16.2071793577692
"Geburtshaus Zürcher Oberland";43;100;20.9302325581395;2.32558139534884
"Geburtshaus Delphys";25;100;36;0
"Geburtshäuser mit Zürcher Leistungsauftrag";68;100;26.4705882352941;1.47058823529412
"Klinik Im Park";627;69.6969696969697;44.1786283891547;7.97448165869219
"Privatklinik Bethanien";221;74.2081447963801;35.2941176470588;4.52488687782805
"Klinik Lindberg";142;72.5352112676056;38.7323943661972;7.04225352112676
"Klinik Pyramide am See";125;72;43.2;1.6
"Klinik Tiefenbrunnen";19;94.7368421052632;21.0526315789474;0
"Eulachklinik";18;83.3333333333333;16.6666666666667;0
"Spitäler ohne Zürcher Leistungsauftrag";1152;71.7881944444444;40.8854166666667;6.25
"Total Kanton Zürich";32922;74.904319300164;30.8000728995808;15.8283214871514
"Spitäler Schaffhausen";1445;75.7785467128028;38.7543252595156;15.363321799308
