"Spitalname";"2015";"2016";"2017";"% Änd. Vorjahr"
"Universitätsspital Zürich";39597;40719;41851;2.78002897910066
"Kantonsspital Winterthur";26376;27125;26910;-0.792626728110601
"Stadtspital Triemli";23393;24515;24164;-1.43177646338977
"Klinik Hirslanden";19084;19329;19078;-1.29856692017176
"See-Spital Standort Horgen";7413;7403;7509;1.43185195191138
"See-Spital Standort Kilchberg";4206;4050;3574;-11.7530864197531
"Spital Uster";10906;11061;10786;-2.48621281981738
"Spital Limmattal";10800;11402;11428;0.228030170145588
"Spital Bülach";10239;10546;10330;-2.0481699222454
"Spital Zollikerberg";10200;10717;10700;-0.158626481291402
"GZO AG Spital Wetzikon";10073;10358;10241;-1.12956169144622
"Stadtspital Waid";8938;9111;8706;-4.44517616068488
"Schulthess-Klinik";7983;8484;8488;0.0471475719000525
"Kinderspital Zürich";7802;8159;8588;5.25799730359113
"Spital Männedorf";7429;7675;7644;-0.403908794788277
"Universitätsklinik Balgrist";5017;5154;5288;2.59992239037641
"Spital Affoltern";4032;3864;3838;-0.672877846790887
"Paracelsus-Spital Richterswil";2949;2930;2646;-9.69283276450512
"Limmatklinik";1396;1384;1400;1.15606936416186
"Klinik Lengg";1322;1383;1377;-0.433839479392628
"Uroviva Klinik für Urologie";1007;1069;1201;12.3479887745557
"Adus Medica";877;1169;1218;4.19161676646707
"Klinik Susenberg";532;604;544;-9.93377483443708
"Sune-Egge";103;134;132;-1.49253731343284
"Spitäler mit Zürcher Leistungsauftrag";221674;228345;227641;-0.308305415051791
"Geburtshaus Zürcher Oberland";658;768;756;-1.5625
"Geburtshaus Delphys";490;517;485;-6.18955512572534
"Geburtshäuser mit Zürcher Leistungsauftrag";1148;1285;1241;-3.42412451361868
"Klinik Im Park";7479;7400;7018;-5.16216216216216
"Privatklinik Bethanien";3480;3984;3748;-5.92369477911646
"Klinik Lindberg";1625;1343;1367;1.78704393149665
"Klinik Pyramide am See";2013;1925;1966;2.12987012987014
"Klinik Pyramide Schwerzenbach";54;;;
"Klinik Tiefenbrunnen";79;68;64;-5.88235294117647
"Eulachklinik";23;8;2;-75
"Spitäler ohne Zürcher Leistungsauftrag";14753;14728;14165;-3.82265073329712
"Total Kanton Zürich";237575;244358;243047;-0.536507910524719
"Spitäler Schaffhausen";9396;10574;;12.5372498935717
