"Spitalname";"Akutsomatik";"Rehabilitation";"Psychiatrie";"Total"
"Universitätsspital Zürich";41799;0;52;41851
"Kantonsspital Winterthur";26890;0;20;26910
"Stadtspital Triemli";24164;0;0;24164
"Klinik Hirslanden";19078;0;0;19078
"See-Spital Standort Horgen";7509;0;0;7509
"See-Spital Standort Kilchberg";3574;0;0;3574
"Spital Uster";10786;0;0;10786
"Spital Limmattal";11428;0;0;11428
"Spital Bülach";10330;0;0;10330
"Spital Zollikerberg";10700;0;0;10700
"GZO AG Spital Wetzikon";10241;0;0;10241
"Stadtspital Waid";8706;0;0;8706
"Schulthess-Klinik";8488;0;0;8488
"Kinderspital Zürich";8340;192;56;8588
"Spital Männedorf";7644;0;0;7644
"Universitätsklinik Balgrist";4905;383;0;5288
"Spital Affoltern";3636;0;202;3838
"Paracelsus-Spital Richterswil";2646;0;0;2646
"Limmatklinik";1400;0;0;1400
"Klinik Lengg";878;499;0;1377
"Uroviva Klinik für Urologie";1201;0;0;1201
"Adus Medica";1218;0;0;1218
"Klinik Susenberg";214;330;0;544
"Sune-Egge";132;0;0;132
"Spitäler mit Zürcher Leistungsauftrag";225907;1404;330;227641
"Geburtshaus Zürcher Oberland";756;0;0;756
"Geburtshaus Delphys";485;0;0;485
"Geburtshäuser mit Zürcher Leistungsauftrag";1241;0;0;1241
"Klinik Im Park";7018;0;0;7018
"Privatklinik Bethanien";3748;0;0;3748
"Klinik Lindberg";1367;0;0;1367
"Klinik Pyramide am See";1966;0;0;1966
"Klinik Tiefenbrunnen";64;0;0;64
"Eulachklinik";2;0;0;2
"Spitäler ohne Zürcher Leistungsauftrag";14165;0;0;14165
"Total Kanton Zürich";241313;1404;330;243047
"Spitäler Schaffhausen";9371;554;649;10574
