"Leistungsbereich";"SPLG";"Universitätsspital Zürich";"Kantonsspital Winterthur";"Stadtspital Triemli";"Klinik Hirslanden";"See-Spital Standort Horgen";"See-Spital Standort Kilchberg";"Spital Uster";"Spital Limmattal";"Spital Bülach";"Spital Zollikerberg";"GZO AG Spital Wetzikon";"Stadtspital Waid";"Schulthess-Klinik";"Kinderspital Zürich";"Spital Männedorf";"Universitätsklinik Balgrist";"Spital Affoltern";"Paracelsus-Spital Richterswil";"Limmatklinik";"Klinik Lengg";"Uroviva Klinik für Urologie";"Adus Medica";"Klinik Susenberg";"Sune-Egge";"Spitäler mit Zürcher Leistungsauftrag";"Klinik Im Park";"Privatklinik Bethanien";"Klinik Lindberg";"Klinik Pyramide am See";"Klinik Tiefenbrunnen";"Eulachklinik";"Spitäler ohne Zürcher Leistungsauftrag";"Spitäler Schaffhausen"
"Basispaket";"BP";9768;10684;8834;3538;3812;620;4908;5030;4706;3293;4724;5835;467;4576;3420;638;2143;564;333;13;152;197;182;117;78554;1006;481;363;777;48;0;2675;4594
"Dermatologie";"DER1";266;42;21;11;4;2;13;42;12;4;14;9;0;69;33;1;3;1;3;0;0;0;0;2;552;8;0;0;0;1;1;10;8
"";"DER1.1";338;13;8;9;0;0;0;0;2;0;0;1;0;2;1;0;1;0;1;0;0;0;0;0;376;3;2;0;0;0;0;5;0
"";"DER1.2";13;2;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;23;0;0;0;0;0;0;0;1
"";"DER2";32;16;10;9;6;3;8;11;5;4;4;10;0;2;6;3;7;2;0;0;0;0;0;4;142;3;1;1;0;0;0;5;8
"Hals-Nasen-Ohren";"HNO1";858;132;30;75;84;130;133;133;2;7;93;51;2;286;87;0;25;5;60;0;0;403;0;0;2596;9;32;6;78;0;0;125;68
"";"HNO1.1";897;79;1;37;14;12;6;39;0;2;20;46;0;161;10;1;1;0;162;0;0;33;0;0;1521;7;49;2;5;0;1;64;16
"";"HNO1.1.1";25;4;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;32;0;0;0;0;0;0;0;0
"";"HNO1.2";536;88;0;291;99;50;137;69;0;24;137;75;0;4;82;0;27;11;211;0;0;401;0;0;2242;28;6;44;33;0;0;111;10
"";"HNO1.2.1";6;0;0;59;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;65;0;0;0;0;0;0;0;0
"";"HNO1.3";365;5;0;3;3;0;1;4;0;0;0;0;0;6;1;0;0;0;0;0;0;0;0;0;388;0;16;2;2;0;0;20;1
"";"HNO1.3.1";9;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0;0;0;0;0;0;0;0
"";"HNO1.3.2";65;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;73;0;0;0;0;0;0;0;0
"";"HNO2";194;108;104;109;5;31;29;50;74;68;15;44;0;0;15;0;1;0;0;0;0;8;0;0;855;11;48;8;0;0;0;67;33
"";"KIE1";190;88;4;5;5;0;2;3;0;1;1;3;0;32;0;0;2;0;90;0;0;0;0;0;426;4;0;0;34;0;0;38;0
