"SPLG";"MFZ";"Universitätsspital Zürich";"Kantonsspital Winterthur";"Stadtspital Triemli";"Klinik Hirslanden";"See-Spital Standort Horgen";"See-Spital Standort Kilchberg";"Spital Uster";"Spital Limmattal";"Spital Bülach";"Spital Zollikerberg";"GZO AG Spital Wetzikon";"Stadtspital Waid";"Schulthess-Klinik";"Kinderspital Zürich";"Spital Männedorf";"Universitätsklinik Balgrist";"Spital Affoltern";"Limmatklinik";"Klinik Lengg";"Uroviva Klinik für Urologie";"Spitäler mit Zürcher Leistungsauftrag";"Klinik Im Park";"Privatklinik Bethanien";"Klinik Lindberg";"Klinik Pyramide am See";"Spitäler ohne Zürcher Leistungsauftrag";"Spitäler Schaffhausen"
"DER1.1";"10";341;13;8;9;0;0;0;0;2;0;0;1;0;2;1;0;1;1;0;0;379;3;2;0;0;5;0
"NCH1.1";"10";61;1;0;54;0;0;0;0;0;0;0;0;0;26;0;0;0;0;0;0;142;1;0;0;0;1;0
"NCH1.1.1";"0";319;2;2;88;0;0;0;1;1;0;0;0;0;2;0;0;0;0;0;0;415;0;0;0;0;0;0
"NCH1.1.1.1";"0";53;0;0;14;0;0;0;0;0;0;0;0;0;29;0;0;0;0;0;0;96;0;0;0;0;0;0
"NEU4";"10";15;0;0;26;0;0;0;0;0;0;0;0;0;78;0;0;0;0;493;0;612;0;0;0;0;0;1
"NEU4.1";"10";19;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;88;0;108;0;0;0;0;0;0
"VIS1.1";"10";49;29;43;42;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;165;8;1;0;0;9;1
"VIS1.2";"10";59;43;29;39;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;170;16;1;0;0;17;0
"VIS1.3";"10";25;17;17;30;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;99;1;0;1;0;2;0
"VIS1.4";"25";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;39
"VIS1.4.1";"50 (inkl. VIS1.4)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
"VIS1.5";"10";20;32;32;28;0;0;5;12;9;0;0;8;0;0;10;0;0;0;0;0;156;3;1;1;0;5;8
"HAE1.1";"10";172;0;0;8;0;0;0;0;0;0;0;0;0;42;0;0;0;0;0;0;222;0;0;0;0;0;0
"HAE4";"10";52;0;12;25;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;95;0;0;0;0;0;0
"GEF1";"10";197;184;91;115;5;0;0;42;1;0;0;10;2;5;2;6;0;0;0;0;660;67;4;0;0;71;19
"GEF2";"10";45;37;55;36;0;0;0;1;0;0;0;0;0;2;0;0;0;0;0;0;176;15;0;0;0;15;2
"ANG2";"10";123;38;32;60;0;0;0;0;0;0;0;2;0;21;0;0;0;0;0;0;276;14;0;0;0;14;1
"GEF3";"10";78;30;32;74;0;0;0;10;0;0;0;0;0;1;0;0;0;0;0;0;225;14;0;0;0;14;9
"ANG3";"10";97;23;14;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;148;3;0;0;0;3;1
"HER1.1.1";"100";498;0;311;378;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1188;46;0;0;0;46;0
"HER1.1.2";"10";0;0;0;0;0;0;0;0;0;0;0;0;0;106;0;0;0;0;0;0;106;0;0;0;0;0;0
"KAR1.1.1";"10";932;93;312;468;0;0;0;1;1;0;82;1;0;102;0;0;0;0;0;0;1992;399;0;0;0;399;0
"URO1.1.1";"10";102;109;45;279;0;20;43;42;0;0;0;0;0;0;56;0;0;0;0;80;776;9;4;0;0;13;20
"URO1.1.2";"10";43;27;15;24;0;0;0;1;0;0;0;0;0;0;12;0;0;0;0;0;122;7;0;0;1;8;4
"URO1.1.3";"10";84;60;64;61;0;0;16;23;0;0;0;0;0;9;46;0;0;0;0;5;368;7;0;1;0;8;12
"PNE1.3";"10";367;13;0;1;0;0;2;0;0;0;0;0;0;32;0;0;0;0;0;0;415;0;0;0;0;0;0
"THO1.1";"30";148;77;63;74;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;362;1;0;0;0;1;0
"BEW8.1";"10";39;17;7;25;5;11;0;0;0;64;0;0;50;12;0;62;0;0;0;0;292;44;7;10;9;70;0
"BEW9";"10";10;4;0;0;0;0;0;0;0;0;0;0;1;2;0;17;0;0;0;0;34;0;0;0;0;0;0
"BEW10";"10";15;0;3;19;0;0;0;0;0;0;0;0;9;1;0;13;0;0;0;0;60;3;2;28;4;37;1
