"Spitalname";"Austritte";"Anteil";"ø-Alter Jahre";"Liegeklasse HPP in %";"Notfalleintritte in %"
"Universitätsspital Zürich";41799;0.173214870313659;50.793248642312;20.7134141965119;42.0775616641546
"Kantonsspital Winterthur";26890;0.111432040544853;50.2553365563406;21.5061361100781;49.9739680178505
"Stadtspital Triemli";24164;0.100135508654735;51.4536500579374;18.5027313358715;54.8501903658335
"Klinik Hirslanden";19078;0.0790591472485942;58.460163539155;68.4453296991299;20.9665583394486
"See-Spital Standort Horgen";7509;0.0311172626422944;52.9368757491011;25.396191237182;55.4401385004661
"See-Spital Standort Kilchberg";3574;0.0148106401229938;53.3925573587017;23.8668158925574;0.195858981533296
"Spital Uster";10786;0.0446971360846701;52.2710921564992;20.1835712961246;61.9970331911737
"Spital Limmattal";11428;0.0473575812326729;51.8287539376969;18.8396919845992;47.4448722436122
"Spital Bülach";10330;0.0428074741103878;47.533688286544;18.4995159728945;61.9748305905131
"Spital Zollikerberg";10700;0.0443407524667134;45.92;31.7570093457944;47.803738317757
"GZO AG Spital Wetzikon";10241;0.0424386585057581;52.0398398593887;15.3500634703642;52.7389903329753
"Stadtspital Waid";8706;0.0360776253247857;67.3096714909258;20.7902595910866;68.7227199632437
"Schulthess-Klinik";8488;0.0351742342932208;55.3615692742696;51.9792648444863;1.54335532516494
"Kinderspital Zürich";8340;0.0345609229506906;4.70827338129496;18.7410071942446;55.7434052757794
"Spital Männedorf";7644;0.0316767020425754;55.6579016221873;28.7284144427002;50
"Universitätsklinik Balgrist";4905;0.0203262982102083;52.3649337410805;30.0101936799185;9.76554536187564
"Spital Affoltern";3636;0.0150675678475673;55.4661716171617;21.8921892189219;53.1903190319032
"Paracelsus-Spital Richterswil";2646;0.0109650122455069;37.2509448223734;14.7392290249433;43.0461073318216
"Limmatklinik";1400;0.00580159378069147;44.07;17.8571428571429;0.0714285714285714
"Klinik Lengg";878;0.00363842809960508;33.3872437357631;12.7562642369021;8.42824601366743
"Uroviva Klinik für Urologie";1201;0.00497693866472175;61.6261448792673;30.2248126561199;11.7402164862614
"Adus Medica";1218;0.00504738658920158;34.0821018062397;8.29228243021347;0.0821018062397373
"Klinik Susenberg";214;0.000886815049334267;77.8364485981308;73.8317757009346;0
"Sune-Egge";132;0.000547007413608053;47.8787878787879;0;0
"Spitäler mit Zürcher Leistungsauftrag";225907;0.936157604439048;50.463509320207;26.3666021858552;44.1911937213101
"Geburtshaus Zürcher Oberland";756;0.00313286064157339;16.6269841269841;2.24867724867725;45.1058201058201
"Geburtshaus Delphys";485;0.00200983784545383;17.1731958762887;0;45.1546391752577
"Geburtshäuser mit Zürcher Leistungsauftrag";1241;0.00514269848702722;16.8404512489927;1.36986301369863;45.1248992747784
"Klinik Im Park";7018;0.0290825608234948;57.2566258193217;86.6771159874608;12.3396979196352
"Privatklinik Bethanien";3748;0.0155316953500226;49.1571504802561;85.0586979722519;9.09818569903949
"Klinik Lindberg";1367;0.00566484192728945;59.6795903438186;91.3679590343819;8.11997073884418
"Klinik Pyramide am See";1966;0.00814709526631387;56.7095625635809;100;0.8646998982706
"Klinik Tiefenbrunnen";64;0.000265215715688753;49.828125;100;0
"Eulachklinik";2;8.28799111527352e-06;34.5;100;0
"Spitäler ohne Zürcher Leistungsauftrag";14165;0.0586996970739247;55.2346629015178;88.6127779738793;9.42463819272856
"Total Kanton Zürich";241313;1;50.570661340251;29.8918831559013;42.1552092096157
"Spitäler Schaffhausen";9371;;52.3029559278626;18.5785935332408;58.6810372425568
