"Spitalname";"Anzahl bewertete Austritte";"Inlier in %";"High Outlier in %";"Low Outlier in %";"Verlegungsabschlag in %";"Unbewertete in %";"CMI"
"Universitätsspital Zürich";41774;75.8198879685929;5.90558720735386;15.3875616412122;2.886963182841;0.0598458371235697;1.54837013125457
"Kantonsspital Winterthur";26874;76.8996055667188;4.1675969338394;17.5708863585622;1.36191114087966;0.0595370990548485;1.02774648252319
"Stadtspital Triemli";24156;76.3040238450074;4.56201357840702;15.4495777446597;3.68438483192582;0.0331180659049512;1.0665137434156
"Klinik Hirslanden";19078;79.0386833001363;4.57070971799979;15.2164797148548;1.17412726700912;0;1.37237645764951
"See-Spital Standort Horgen";7509;77.5336263150886;4.28818750832335;15.2616859768278;2.91650019976029;0;0.850428883535501
"See-Spital Standort Kilchberg";3574;80.8617795187465;1.14717403469502;17.7672076105204;0.223838836038053;0;0.94590798044128
"Spital Uster";10781;79.120675262035;5.69520452648177;12.8002968184769;2.38382339300621;0.0463778870234672;0.870997969324317
"Spital Limmattal";11428;76.6100805040252;3.92019600980049;17.1771088554428;2.29261463073154;0;0.86255938907134
"Spital Bülach";10327;80.1394403021207;4.1444756463639;12.5205771279171;3.19550692359833;0.029050062941803;0.860611201876131
"Spital Zollikerberg";10697;85.8371506029728;2.77647938674395;9.198840796485;2.18752921379826;0.0280452463307469;0.852985831630703
"GZO AG Spital Wetzikon";10239;81.1016700849692;2.40257837679461;13.5462447504639;2.94950678777224;0.0195331575349155;0.88750458929312
"Stadtspital Waid";8706;76.005053985757;7.35125201010797;10.8201240523777;5.82356995175741;0;1.05306298732792
"Schulthess-Klinik";8488;82.492931196984;4.08812441093308;12.7238454288407;0.695098963242224;0;1.29747582259821
"Kinderspital Zürich";8336;63.0638195777351;5.44625719769674;29.4025911708253;2.0873320537428;0.0479846449136276;1.40854369053523
"Spital Männedorf";7641;82.0049731710509;3.71679099594294;11.3074204946996;2.9708153383065;0.0392618767177071;0.947336407287669
"Universitätsklinik Balgrist";4905;86.4220183486239;2.56880733944954;8.62385321100918;2.38532110091743;0;1.31973207411902
"Spital Affoltern";3636;71.2321232123212;2.69526952695269;16.3366336633663;9.73597359735974;0;0.87099551288995
"Paracelsus-Spital Richterswil";2646;83.9758125472411;3.59032501889645;9.145880574452;3.28798185941043;0;0.667601399940248
"Limmatklinik";1400;81.7857142857143;0.214285714285714;17.9285714285714;0.0714285714285714;0;0.946333001043115
"Klinik Lengg";878;84.9658314350797;5.01138952164009;7.06150341685649;2.96127562642369;0;1.50158406334138
"Uroviva Klinik für Urologie";1201;96.1698584512906;0.915903413821815;2.16486261448793;0.749375520399667;0;0.885791761206647
"Adus Medica";1218;18.9655172413793;0.0821018062397373;80.9523809523809;0;0;0.530258624718107
"Klinik Susenberg";214;41.1214953271028;2.33644859813084;0.934579439252336;55.607476635514;0;1.85458455826635
"Spitäler mit Zürcher Leistungsauftrag";225706;77.6084818303457;4.45934091251451;15.2835990181918;2.64857823894801;0.0305707424702932;1.13281133897313
"Geburtshaus Zürcher Oberland";750;85.4666666666667;3.33333333333333;1.33333333333333;9.86666666666667;0.8;0.390005956586234
"Geburtshaus Delphys";481;88.3575883575884;0;1.24740124740125;10.3950103950104;0.831600831600832;0.388749282353932
"Geburtshäuser mit Zürcher Leistungsauftrag";1231;86.5962632006499;2.03086921202275;1.29975629569456;10.0731112916328;0.812347684809098;0.389514830879009
"Klinik Im Park";7018;70.5186662866914;3.43402678825876;24.6936449130807;1.35366201196922;0;1.21820792352187
"Privatklinik Bethanien";3747;80.4910595142781;2.42860955431011;16.6533226581265;0.427008273285295;0.0266880170803309;0.894456513635536
"Klinik Lindberg";1367;76.9568397951719;2.48719824433065;20.1901975128018;0.365764447695684;0;1.05060461575565
"Klinik Pyramide am See";1966;53.204476093591;2.49237029501526;44.0488301119023;0.254323499491353;0;0.889284441294954
"Klinik Tiefenbrunnen";64;51.5625;0;48.4375;0;0;0.794781271601096
"Eulachklinik";2;50;0;50;0;0;1.00549998879433
"Spitäler ohne Zürcher Leistungsauftrag";14164;71.2863597853714;2.929963287207;24.9293984750071;0.854278452414572;0.00706015249929398;1.06877465182255
"Total Kanton Zürich";241101;77.2829644008113;4.35709515929009;15.778864459293;2.58107598060564;0.0331811149684157;1.1252257056105
"Spitäler Schaffhausen";9338;78.0359820089955;5.93274791175841;15.6136217605483;0.417648318697794;0.353394731205826;0.88717464850159
