"Leistungsbereich";"Anzahl Austritte";"ø-Alter Jahre";"Liegeklasse HPP in %";"Notfalleintritte in %";"MAHD Tage"
"Basispaket";77849;55.8496191344783;27.5777466634125;72.0690053822143;5.0695962697016
"Dermatologie";776;54.4613402061856;28.8659793814433;43.4278350515464;9.65463917525773
"Hals-Nasen-Ohren";7540;40.1866047745358;24.7347480106101;11.816976127321;3.20225464190981
"Neurochirurgie";1101;54.346957311535;31.1534968210718;29.6094459582198;10.5467756584923
"Neurologie";4376;64.0982632541133;28.199268738574;79.8217550274223;6.80895795246801
"Ophthalmologie";3009;68.2492522432702;42.7716849451645;15.0216018610834;2.09072781655035
"Endokrinologie";612;63.6977124183007;25.6535947712418;77.7777777777778;9.78921568627451
"Gastroenterologie";6379;66.9125254742123;29.4873804671579;72.8954381564509;8.10174008465277
"Viszeralchirugie";3366;55.7730243612597;26.5002970885324;21.5092097445039;10.6871657754011
"Haematologie";2046;60.4203323558162;33.1378299120235;51.7595307917889;8.71358748778104
"Gefässe";3138;69.7304015296367;35.8508604206501;29.5729764181007;8.13224984066284
"Herz";9446;67.9155197967394;40.2604276942621;31.3254287529113;5.69637941986026
"Nephrologie";844;67.4218009478673;23.5781990521327;72.1563981042654;13.4099526066351
"Urologie";11069;62.0819405547023;34.3481796006866;18.5653627247267;4.52877405366338
"Pneumologie";3655;64.227633378933;25.1983584131327;69.4391244870041;9.86265389876881
"Thoraxchirurgie";388;60.9175257731959;36.8556701030928;9.5360824742268;10.6675257731959
"Transplantationen";26;43.2692307692308;0;61.5384615384615;16.6538461538462
"Bewegungsapparat chirurgisch";29503;56.4772057078941;42.1245297088432;11.9750533844016;5.91895739416331
"Rheumatologie";1424;57.7682584269663;29.9157303370786;42.9775280898876;7.0877808988764
"Gynäkologie";8004;50.2157671164418;34.8075962018991;8.18340829585207;3.28085957021489
"Geburtshilfe";20480;32.09072265625;22.2412109375;61.71875;4.360400390625
"Neugeborene";17441;0;3.89312539418611;1.99529843472278;4.56109168052291
"(Radio-)Onkologie";1824;59.5115131578947;31.469298245614;27.0833333333333;8.48300438596491
"Schwere Verletzungen";335;59.8298507462687;28.955223880597;84.4776119402985;11.8985074626866
"Total";214631;50.3942114605998;28.6855114126105;44.8304299006201;5.43330646551523
