"Leistungsbereich";"SPLG";"Universitätsspital Zürich";"Kantonsspital Winterthur";"Stadtspital Triemli";"Klinik Hirslanden";"See-Spital Standort Horgen";"See-Spital Standort Kilchberg";"Spital Uster";"Spital Limmattal";"Spital Bülach";"Spital Zollikerberg";"GZO AG Spital Wetzikon";"Stadtspital Waid";"Schulthess-Klinik";"Kinderspital Zürich";"Spital Männedorf";"Universitätsklinik Balgrist";"Spital Affoltern";"Paracelsus-Spital Richterswil";"Limmatklinik";"Klinik Lengg";"Uroviva Klinik für Urologie";"Adus Medica";"Klinik Susenberg";"Sune-Egge";"Spitäler mit Zürcher Leistungsauftrag";"Klinik Im Park";"Privatklinik Bethanien";"Klinik Lindberg";"Klinik Pyramide am See";"Klinik Tiefenbrunnen";"Spitäler ohne Zürcher Leistungsauftrag";"Spitäler Schaffhausen";"Ausserkantonale Nicht-Listenspitäler"
"Basispaket";"BP";835;783;165;270;13;60;65;64;4128;39;19;332;26;526;28;46;9;5;43;3;119;79;10;3;7670;58;42;10;58;5;173;20;425
"Dermatologie";"DER1";25;6;0;1;0;0;0;0;7;0;0;2;0;7;2;0;0;0;2;0;0;0;1;0;53;0;0;0;0;0;0;0;1
"";"DER1.1";22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;0;0;0;0;0;0;0;
"";"DER1.2";1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;
"";"DER2";8;1;0;1;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;1;1;0;0;0;2;0;
"Hals-Nasen-Ohren";"HNO1";103;14;2;2;2;7;9;4;15;2;1;4;0;47;0;0;0;0;0;0;0;121;0;0;333;1;2;0;1;0;4;0;21
"";"HNO1.1";90;3;0;2;0;0;0;1;1;0;0;2;0;7;1;0;0;0;5;0;0;11;0;0;123;0;2;0;0;0;2;0;7
"";"HNO1.1.1";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;
"";"HNO1.2";60;6;0;17;4;4;16;0;0;0;2;2;0;0;1;0;0;0;12;0;0;89;0;0;213;0;0;3;2;0;5;0;15
"";"HNO1.2.1";1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;
"";"HNO1.3";45;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;46;0;3;0;0;0;3;0;2
"";"HNO1.3.1";1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;
"";"HNO1.3.2";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;
"";"HNO2";21;15;6;6;0;0;0;1;87;3;0;5;0;1;0;0;0;0;0;0;0;4;0;0;149;1;2;0;0;0;3;0;2
"";"KIE1";17;4;0;0;0;0;0;0;0;0;0;1;0;3;0;0;0;0;4;0;0;0;0;0;29;0;0;0;1;0;1;0;3
"Neurochirurgie";"NCH1";56;7;0;19;0;0;0;0;0;0;0;0;1;12;0;0;0;0;0;0;0;0;0;0;95;1;0;0;0;0;1;0;2
"";"NCH1.1";4;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;
