"Leistungsbereich";"SPLG";"Universitätsspital Zürich";"Kantonsspital Winterthur";"Stadtspital Triemli";"Klinik Hirslanden";"See-Spital Standort Horgen";"See-Spital Standort Kilchberg";"Spital Uster";"Spital Limmattal";"Spital Bülach";"Spital Zollikerberg";"GZO AG Spital Wetzikon";"Stadtspital Waid";"Schulthess-Klinik";"Kinderspital Zürich";"Spital Männedorf";"Universitätsklinik Balgrist";"Spital Affoltern";"Paracelsus-Spital Richterswil";"Limmatklinik";"Klinik Lengg";"Uroviva Klinik für Urologie";"Adus Medica";"Klinik Susenberg";"Sune-Egge";"Spitäler mit Zürcher Leistungsauftrag";"Klinik Im Park";"Privatklinik Bethanien";"Klinik Pyramide am See";"Klinik Tiefenbrunnen";"Spitäler ohne Zürcher Leistungsauftrag";"Spitäler Schaffhausen";"Ausserkantonale Nicht-Listenspitäler"
"Basispaket";"BP";293;12;381;121;2603;127;8;9;10;12;2;24;13;167;24;18;10;260;12;0;0;8;8;4;4126;165;8;43;0;216;1;260
"Dermatologie";"DER1";8;0;0;0;9;1;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;21;0;0;0;0;0;0;2
"";"DER1.1";4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;
"";"DER1.2";;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;0;;
"";"DER2";1;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;8;1;0;0;0;1;0;1
"Hals-Nasen-Ohren";"HNO1";36;0;1;3;77;34;1;0;0;0;0;0;0;8;0;0;0;2;1;0;0;0;0;0;163;0;1;1;0;2;0;3
"";"HNO1.1";17;0;0;0;9;1;0;0;0;0;0;0;0;2;2;0;0;0;3;0;0;0;0;0;34;1;4;0;0;5;0;3
"";"HNO1.1.1";2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;
"";"HNO1.2";16;0;0;13;44;7;0;0;0;1;0;0;0;0;2;0;0;1;9;0;0;0;0;0;93;1;0;0;1;2;0;4
"";"HNO1.2.1";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;
