"Leistungsbereich";"SPLG";"Universitätsspital Zürich";"Kantonsspital Winterthur";"Stadtspital Triemli";"Klinik Hirslanden";"See-Spital Standort Horgen";"See-Spital Standort Kilchberg";"Spital Uster";"Spital Limmattal";"Spital Bülach";"Spital Zollikerberg";"GZO AG Spital Wetzikon";"Stadtspital Waid";"Schulthess-Klinik";"Kinderspital Zürich";"Spital Männedorf";"Universitätsklinik Balgrist";"Spital Affoltern";"Paracelsus-Spital Richterswil";"Limmatklinik";"Klinik Lengg";"Uroviva Klinik für Urologie";"Adus Medica";"Klinik Susenberg";"Sune-Egge";"Spitäler mit Zürcher Leistungsauftrag";"Klinik Im Park";"Privatklinik Bethanien";"Klinik Lindberg";"Klinik Pyramide am See";"Klinik Tiefenbrunnen";"Eulachklinik";"Spitäler ohne Zürcher Leistungsauftrag";"Spitäler Schaffhausen";"Ausserkantonale Nicht-Listenspitäler"
"Basispaket";"BP";870;375;105;436;14;46;3987;28;111;715;434;225;39;480;79;53;4;14;48;1;2;9;15;7;8097;42;63;7;81;2;0;195;3;382
"Dermatologie";"DER1";16;0;0;2;0;0;5;0;1;2;3;2;0;6;1;0;0;0;1;0;0;0;0;0;39;0;0;0;0;0;0;0;0;1
"";"DER1.1";24;0;0;0;0;0;5;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;30;0;0;0;0;0;0;0;0;
"";"DER1.2";1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;
"";"DER2";9;0;0;0;0;0;4;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;16;0;0;0;0;0;0;0;0;
"Hals-Nasen-Ohren";"HNO1";68;2;1;9;2;1;120;2;0;4;10;1;0;26;7;0;0;0;4;0;0;17;0;0;274;0;2;0;3;0;0;5;0;10
"";"HNO1.1";74;2;0;2;0;1;8;0;0;0;0;5;0;6;2;0;0;0;4;0;0;0;0;0;104;3;7;0;0;0;0;10;0;4
"";"HNO1.1.1";4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;
"";"HNO1.2";46;3;0;19;1;4;93;0;0;0;15;3;0;1;5;0;0;0;13;0;0;18;0;0;221;1;0;0;1;0;0;2;0;13
"";"HNO1.2.1";2;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;
"";"HNO1.3";39;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;39;0;0;0;0;0;0;0;0;1
"";"HNO1.3.1";1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;
"";"HNO1.3.2";5;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;
"";"HNO2";24;5;1;12;0;0;11;0;2;12;2;2;0;0;0;0;0;0;0;0;0;0;0;0;71;2;3;0;0;0;0;5;0;4
"";"KIE1";24;2;0;1;0;0;1;0;0;1;0;0;0;8;0;0;0;0;13;0;0;0;0;0;50;0;1;0;0;0;0;1;0;2
"Neurochirurgie";"NCH1";66;2;0;14;0;0;1;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;86;2;0;0;0;0;0;2;0;5
"";"NCH1.1";7;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;1
"";"NCH1.1.1";16;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19;0;0;0;0;0;0;0;0;1
"";"NCH1.1.1.1";3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;
"";"NCH1.1.2";5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;
"";"NCH1.1.3";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;
"";"NCH2";;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;0;;
"";"NCH2.1";;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;0;;
"";"NCH3";3;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;5;0;0;0;0;0;0;0;0;1
"Neurologie";"NEU1";30;4;0;5;0;0;53;0;3;7;4;2;0;10;0;0;1;0;0;1;0;0;0;0;120;0;0;0;0;0;0;0;0;10
"";"NEU2";8;2;0;1;0;0;12;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;24;0;0;0;0;0;0;0;0;
"";"NEU2.1";9;0;0;0;0;0;9;0;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;21;0;0;0;0;0;0;0;0;
"";"NEU3";98;4;4;25;0;0;99;0;1;12;14;7;0;2;1;0;0;0;0;0;0;0;0;0;267;0;0;0;0;0;0;0;0;14
"";"NEU3.1";7;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;1
"";"NEU4";0;0;0;9;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;23;0;0;0;0;35;0;0;0;0;0;0;0;0;
"";"NEU4.1";4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;5;0;0;0;0;0;0;0;0;
"";"NEU4.2";3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;0;0;0;17;0;0;0;0;0;0;0;0;
"Ophthalmologie";"AUG1";20;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;24;2;0;0;0;0;0;2;0;3
"";"AUG1.1";9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;10;0;0;0;0;0;0;0;0;
"";"AUG1.2";2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;
"";"AUG1.3";15;9;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25;8;0;0;0;0;0;8;0;8
"";"AUG1.4";16;55;7;12;0;0;0;0;0;6;0;0;0;0;0;0;0;0;4;0;0;0;0;0;100;7;0;0;11;0;0;18;0;
"";"AUG1.5";75;3;23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;104;0;0;0;0;0;0;0;0;6
"Endokrinologie";"END1";13;0;0;6;0;0;50;1;0;10;6;0;0;8;0;0;0;0;0;0;0;0;0;0;94;0;0;0;0;0;0;0;0;3
"Gastroenterologie";"GAE1";69;22;11;54;1;0;457;3;5;44;36;14;0;4;3;0;0;2;0;0;0;0;0;0;725;2;2;0;0;0;0;4;0;9
"";"GAE1.1";26;3;2;15;0;0;23;1;2;9;6;4;0;0;0;0;0;0;0;0;0;0;0;0;91;0;3;0;0;0;0;3;0;2
"Viszeralchirugie";"VIS1";56;9;3;34;0;0;51;1;0;10;8;1;0;6;0;0;0;0;0;0;0;0;0;0;179;0;3;0;0;0;0;3;0;5
"";"VIS1.1";5;4;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0;
"";"VIS1.2";1;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;
"";"VIS1.3";3;1;1;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0;
"";"VIS1.4";24;0;2;2;0;0;0;8;0;0;18;1;0;0;9;0;0;0;0;0;0;0;0;0;64;0;0;0;0;0;0;0;0;15
"";"VIS1.4.1";5;0;0;17;0;0;0;4;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;27;0;0;0;0;0;0;0;0;3
"";"VIS1.5";1;1;0;1;0;0;10;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;15;0;1;0;0;0;0;1;0;
"Haematologie";"HAE1";24;0;0;10;0;0;20;0;0;4;3;0;0;9;0;0;0;0;0;0;0;0;0;0;70;0;0;0;0;0;0;0;0;
"";"HAE1.1";6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;
"";"HAE2";35;3;2;4;0;0;82;0;0;5;9;2;0;0;1;0;0;0;0;0;0;0;0;0;143;1;0;0;0;0;0;1;0;
"";"HAE3";3;3;0;0;0;0;29;0;0;3;1;0;0;2;0;0;0;0;0;0;0;0;0;0;41;0;0;0;0;0;0;0;0;1
"";"HAE4";1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;
