"Leistungsbereich";"SPLG";"Universitätsspital Zürich";"Kantonsspital Winterthur";"Stadtspital Triemli";"Klinik Hirslanden";"See-Spital Standort Horgen";"See-Spital Standort Kilchberg";"Spital Uster";"Spital Limmattal";"Spital Bülach";"Spital Zollikerberg";"GZO AG Spital Wetzikon";"Stadtspital Waid";"Schulthess-Klinik";"Kinderspital Zürich";"Spital Männedorf";"Universitätsklinik Balgrist";"Spital Affoltern";"Paracelsus-Spital Richterswil";"Limmatklinik";"Klinik Lengg";"Uroviva Klinik für Urologie";"Adus Medica";"Klinik Susenberg";"Sune-Egge";"Spitäler mit Zürcher Leistungsauftrag";"Klinik Im Park";"Privatklinik Bethanien";"Klinik Lindberg";"Klinik Pyramide am See";"Klinik Tiefenbrunnen";"Eulachklinik";"Spitäler ohne Zürcher Leistungsauftrag";"Spitäler Schaffhausen";"Ausserkantonale Nicht-Listenspitäler"
"Basispaket";"BP";7472;9753;8327;3068;3499;767;4807;4535;4605;3264;4359;5845;258;3566;2986;421;1827;432;325;14;140;168;158;98;70694;914;469;266;635;26;1;2311;393;4350
"Dermatologie";"DER1";171;26;17;8;9;5;8;13;9;4;19;14;0;48;10;0;2;0;3;0;0;0;1;0;367;4;1;0;0;0;0;5;1;9
"";"DER1.1";148;19;13;6;0;0;5;0;0;0;2;1;0;0;1;0;0;0;0;0;0;0;0;0;195;3;1;0;0;0;0;4;0;
"";"DER1.2";11;1;1;0;0;0;0;0;0;2;0;1;0;5;0;0;0;0;0;0;0;0;0;0;21;0;0;0;0;0;0;0;0;
"";"DER2";59;15;15;7;7;0;5;12;4;3;7;9;0;0;7;0;6;1;0;0;0;0;0;4;161;4;1;0;0;0;0;5;2;6
"Hals-Nasen-Ohren";"HNO1";707;142;28;84;107;142;158;87;16;22;113;56;0;257;113;0;16;3;29;0;0;357;0;0;2437;16;28;9;62;0;0;115;5;216
"";"HNO1.1";615;68;3;29;15;10;8;10;1;0;13;33;0;73;14;0;7;0;49;0;0;17;0;0;965;8;53;1;10;0;0;72;3;65
"";"HNO1.1.1";19;9;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;30;0;0;0;0;0;0;0;0;
"";"HNO1.2";423;97;0;196;70;77;137;22;0;22;130;57;0;3;63;0;23;2;154;0;0;315;0;0;1791;7;1;38;11;1;0;58;2;221
"";"HNO1.2.1";6;0;0;39;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;45;0;0;0;0;0;0;0;0;2
"";"HNO1.3";281;6;0;1;0;3;0;7;0;1;0;0;0;1;1;0;1;0;0;0;0;0;0;0;302;0;18;1;1;0;0;20;0;37
"";"HNO1.3.1";3;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;3
"";"HNO1.3.2";36;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;38;0;0;0;0;0;0;0;0;2
"";"HNO2";173;81;80;81;6;12;17;33;97;49;20;50;0;1;12;0;0;0;0;0;0;4;0;0;716;11;27;6;0;0;0;44;3;33
"";"KIE1";135;52;3;5;2;1;1;0;0;1;0;2;0;25;2;0;3;0;43;0;0;3;0;0;278;2;1;1;12;0;0;16;0;16
"Neurochirurgie";"NCH1";500;52;0;124;1;0;1;0;0;0;0;0;3;62;0;0;0;0;1;0;0;0;0;0;744;19;1;0;0;0;0;20;0;38
"";"NCH1.1";34;2;0;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;58;1;0;0;0;0;0;1;0;3
"";"NCH1.1.1";120;1;0;21;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;144;0;0;0;0;0;0;0;0;3
"";"NCH1.1.1.1";14;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17;0;0;0;0;0;0;0;0;2
"";"NCH1.1.2";26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26;0;0;0;0;0;0;0;0;3
"";"NCH1.1.3";5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;
"";"NCH2";0;1;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;1
"";"NCH2.1";4;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;1
"";"NCH3";13;1;0;2;0;0;2;0;0;0;0;0;0;1;1;1;0;0;2;0;0;0;0;0;23;0;0;0;1;0;0;1;0;1
"Neurologie";"NEU1";212;122;63;30;19;0;69;41;36;25;43;42;0;68;31;5;16;0;0;31;0;0;0;1;854;1;0;0;0;0;0;1;15;62
