"Tabelle A2.1 Personalbestand in VZÄ 2015 -- 2017";"Krankenhausstatistik KS, Spitäler Schaffhausen: Daten 2017 sind noch nicht erhältlich"
"Tabelle A2.2 Personalbestand in VZÄ nach Berufsgruppen 2017";"Krankenhausstatistik KS, Spitäler Schaffhausen: Daten 2016"
"Tabelle A2.3 Beschäftigte am 31. Dezember 2017 nach Geschlecht, Nationalität und Ausbildungsstatus";"Krankenhausstatistik KS, Spitäler Schaffhausen: Daten 2016"
"Tabelle A3.1 Gesamtkosten nach Leistungsart 2017";"Krankenhausstatistik KS, Spitäler Schaffhausen: Daten 2016"
"Tabelle A3.2 Betriebsaufwand in 1000 Fr. 2015 -- 2017";"Krankenhausstatistik KS, Spitäler Schaffhausen: Daten 2017 sind noch nicht erhältlich"
"Tabelle A3.3 Betriebsertrag in 1000 Fr. 2015 -- 2017";"Krankenhausstatistik KS, Spitäler Schaffhausen: Daten 2017 sind noch nicht erhältlich"
"Tabelle A4.1 Austritte Gesamtbetrieb 2015 -- 2017";"Medizinische Statistik PRISMA, Spitäler Schaffhausen: Medizinische Statistik BFS, Daten 2017 sind noch nicht verfügbar"
"Tabelle A4.2 Austritte nach Leistungsart 2017";"Medizinische Statistik PRISMA, Spitäler Schaffhausen: Medizinische Statistik BFS, Daten 2016"
"Tabelle A4.3 Austritte Akutsomatik 2015 -- 2017";"Medizinische Statistik PRISMA, Spitäler Schaffhausen: Medizinische Statistik BFS, Daten 2017 sind noch nicht verfügbar"
"Tabelle A4.4 Austritte Akutsomatik nach SPLG 2017";"Medizinische Statistik PRISMA, Spitäler Schaffhausen: Medizinische Statistik BFS, Daten 2016"
"Tabelle A4.5 Mindestfallzahl-Vorgaben und Erreichung je SPLG 2017";"Medizinische Statistik PRISMA, Spitäler Schaffhausen: Medizinische Statistik BFS, Daten 2016"
"Tabelle A4.6 Austritte und verschiedene Merkmale Akutsomatik 2017";"Medizinische Statistik PRISMA, Spitäler Schaffhausen: Medizinische Statistik BFS, Daten 2016"
"Tabelle A4.7 Austritte nach SwissDRG-Merkmalen 2017";"Medizinische Statistik PRISMA, Spitäler Schaffhausen: Medizinische Statistik BFS, Daten 2016"
"Tabelle A4.8 Austritte Akutsomatik nach Herkunftskanton 2017";"Medizinische Statistik PRISMA, Spitäler Schaffhausen: Medizinische Statistik BFS, Daten 2016"
"Tabelle A4.9 Austritte Akutsomatik nach Wohnregion 2017";"Medizinische Statistik PRISMA, Spitäler Schaffhausen: Medizinische Statistik BFS, Daten 2016"
"Tabelle A4.10 Austritte Akutsomatik nach Altersgruppe 2017";"Medizinische Statistik PRISMA, Spitäler Schaffhausen: Medizinische Statistik BFS, Daten 2016"
"Tabelle A4.11 Pflegetage Akutsomatik 2015 -- 2017";"Medizinische Statistik PRISMA, Spitäler Schaffhausen: Medizinische Statistik BFS, Daten 2017 sind noch nicht verfügbar"
"Tabelle A4.12 Mittlere Aufenthaltsdauer in Tagen Akutsomatik 2015 -- 2017";"Medizinische Statistik PRISMA, Spitäler Schaffhausen: Medizinische Statistik BFS, Daten 2017 sind noch nicht verfügbar"
"Tabelle A4.13 Betriebswirtschaftlicher Bettenbestand 2015 -- 2017";"Krankenhausstatistik KS, Spitäler Schaffhausen: Daten 2017 sind noch nicht verfügbar"
"Tabelle A4.14 Bettenbelegung Akutsomatik 2015 -- 2017";"Bettenbetriebstage: Krankenhausstatistik KS, Pflegetage: Medizinische Statistik PRISMA, Spitäler Schaffhausen: Medizinische Statistik BFS, Daten 2017 sind noch nicht verfügbar"
"Tabelle A4.15 Anzahl Betten pro 1000 Einwohner 2017";"Krankenhausstatistik KS, Kantonale Bevölkerungserhebung, Statistisches Amt des Kantons Zürich"
"Tabelle A5.1 Austritte der Zürcher Wohnbevölkerung nach Kantonen 2015 -- 2016";"Medizinische Statistik BFS"
"Tabelle A5.2 Austritte und verschiedene Merkmale der Zürcher Wohnbevölkerung nach Leistungsbereichen 2016";"Medizinische Statistik BFS"
"Tabelle A5.3.1 Zürcher Wohnbevölkerung nach Wohnregion 2016";"Kantonale Bevölkerungserhebungen, Statistisches Amt des Kantons Zürich"
"Tabelle A5.3.2 Spitalhäufigkeit nach Wohnregion 2016";"Medizinische Statistik BFS, Kantonale Bevölkerungserhebungen, Statistisches Amt des Kantons Zürich"
"Tabelle A5.4 Austritte der Zürcher Wohnbevölkerung nach Wohnregion und Behandlungsort 2016";"Medizinische Statistik BFS"
"Tabelle A5.5 Austritte der Zürcher Wohnbevölkerung nach SPLG 2016";"Medizinische Statistik BFS"
"Tabelle A5.5.1 Austritte der Bevölkerung mit Wohnregion Zürich nach SPLG 2016";"Medizinische Statistik BFS"
"Tabelle A5.5.2 Austritte der Bevölkerung mit Wohnregion Winterthur nach SPLG 2016";"Medizinische Statistik BFS"
"Tabelle A5.5.3 Austritte der Bevölkerung mit Wohnregion Unterland nach SPLG 2016";"Medizinische Statistik BFS"
"Tabelle A5.5.4 Austritte der Bevölkerung mit Wohnregion Limmattal nach SPLG 2016";"Medizinische Statistik BFS"
"Tabelle A5.5.5 Austritte der Bevölkerung mit Wohnregion Linkes Seeufer nach SPLG 2016";"Medizinische Statistik BFS"
"Tabelle A5.5.6 Austritte der Bevölkerung mit Wohnregion Rechtes Seeufer nach SPLG 2016";"Medizinische Statistik BFS"
"Tabelle A5.5.7 Austritte der Bevölkerung mit Wohnregion Oberes Glattal nach SPLG 2016";"Medizinische Statistik BFS"
"Tabelle A5.5.8 Austritte der Bevölkerung mit Wohnregion Oberland nach SPLG 2016";"Medizinische Statistik BFS"
