"SPLG";"MFZ";"Universitätsspital Zürich";"Kantonsspital Winterthur";"Stadtspital Triemli";"Klinik Hirslanden";"See-Spital Standort Horgen";"See-Spital Standort Kilchberg";"Spital Uster";"Spital Limmattal";"Spital Bülach";"Spital Zollikerberg";"GZO AG Spital Wetzikon";"Stadtspital Waid";"Schulthess Klinik";"Kinderspital Zürich";"Spital Männedorf";"Universitätsklinik Balgrist";"Spital Affoltern";"Paracelsus-Spital Richterswil";"Limmatklinik";"Klinik Lengg";"Uroviva Klinik für Urologie";"Adus Medica";"Spitäler mit Zürcher Leistungsauftrag";"Klinik Im Park";"Privatklinik Bethanien";"Klinik Lindberg";"Klinik Pyramide am See";"Spitäler ohne Zürcher Leistungsauftrag"
"DER1.1";"10";359;25;6;9;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;401;7;1;1;1;10
"HNO2";"10";170;136;105;94;1;21;14;61;54;64;24;60;0;0;10;0;0;0;0;0;0;1;815;13;41;6;9;69
"NCH1.1";"10";94;3;0;45;0;0;0;0;0;0;0;0;0;32;0;0;0;0;0;0;0;0;174;0;1;0;0;1
"NCH1.1.1";"10";342;5;2;106;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;457;0;0;0;0;0
"NCH1.1.1.1";"10";45;0;0;22;0;0;0;0;0;0;0;0;0;32;0;0;0;0;0;0;0;0;99;0;0;0;0;0
"NEU4";"10";32;0;0;36;0;0;0;0;0;0;0;0;0;60;0;0;0;0;0;440;0;0;568;0;0;0;0;0
"NEU4.1";"10";25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;91;0;0;116;0;0;0;0;0
"VIS1.1";"10";49;40;51;52;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;193;5;1;0;0;6
"VIS1.2";"10";71;52;29;37;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;190;7;5;0;0;12
"VIS1.3";"10";26;17;23;43;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;118;0;0;1;0;1
"VIS1.5";"10";24;35;25;36;0;0;8;13;7;0;0;3;0;0;8;0;0;0;0;0;0;0;159;2;8;0;0;10
"HAE1.1";"10";213;2;0;6;0;0;0;0;0;0;0;0;0;27;0;0;0;0;0;0;0;0;248;0;0;0;0;0
"HAE4";"10";92;0;12;45;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;156;0;0;0;0;0
"GEF1";"10";166;185;71;116;4;1;2;28;2;2;3;9;2;5;1;1;0;0;0;0;0;0;598;92;9;0;0;101
"GEFA";"20";127;70;57;80;0;0;1;2;0;1;0;0;0;28;0;0;0;0;0;0;0;0;366;38;1;0;0;39
"GEF3";"10";76;46;40;65;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;238;10;0;0;0;10
"ANG3";"10";75;18;12;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;127;1;0;0;0;1
"HER1.1.1";"100";443;0;209;323;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;977;45;0;0;0;45
"HER1.1.2";"10";0;0;0;0;0;0;0;0;0;0;0;0;0;71;0;0;0;0;0;0;0;0;71;0;0;0;0;0
"KAR1.1.1";"10";944;94;360;431;0;0;0;0;2;0;74;0;0;135;1;0;0;0;0;0;0;0;2041;421;0;0;0;421
"URO1.1.1";"10";98;107;54;234;1;12;49;39;0;0;0;0;0;0;36;0;0;0;0;0;74;0;704;4;12;2;0;18
"URO1.1.2";"10";47;33;17;34;0;0;0;0;0;0;0;0;0;1;11;0;0;0;0;0;0;0;143;9;1;1;0;11
"URO1.1.3";"10";92;55;39;72;0;1;18;31;0;3;1;0;0;9;28;0;0;0;0;0;3;0;352;4;6;0;0;10
"PNE1.3";"10";344;12;0;1;0;0;1;0;0;0;0;0;1;31;0;0;0;0;0;0;0;0;390;0;0;1;0;1
"THO1.1";"30";155;59;41;70;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;325;1;0;0;0;1
"BEW7.1";"50";43;512;78;314;42;260;123;111;174;109;144;76;958;0;119;363;43;2;0;0;0;19;3490;113;164;45;4;326
"BEW7.2";"50";0;337;36;220;32;269;99;173;124;95;165;21;845;0;92;222;34;16;0;0;0;27;2807;91;214;114;29;448
"BEW8.1";"10";31;7;2;25;1;0;2;0;0;75;0;0;44;11;0;70;0;0;0;0;0;0;268;37;1;7;17;62
"BEW9";"10";16;1;0;2;0;0;1;0;0;0;0;0;5;2;0;13;0;0;0;0;0;1;41;1;0;0;0;1
"BEW10";"10";5;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;9;1;0;1;0;2
"GYNT";"20";109;42;48;28;15;1;17;32;26;17;23;0;0;0;17;0;0;6;0;0;0;0;381;14;9;1;2;26
"GYN2";"100";173;169;105;314;2;60;28;66;56;60;113;0;0;0;50;0;11;39;129;0;0;0;1375;114;93;18;81;306
