"Spitalname";"Austritte";"Anteil";"ø-Alter (Jahre)";"Liegeklasse HPP in %";"Notfalleintritte in %"
"Universitätsspital Zürich";41916;0.176177606664453;51.820044851608;20.0520087794637;43.3438305181792
"Kantonsspital Winterthur";27451;0.115379603982868;51.096025645696;21.2742705183782;51.0873920804342
"Stadtspital Triemli";24335;0.102282709661692;51.1218409697966;18.9891103349086;55.8085062666941
"Klinik Hirslanden";18292;0.0768833090253406;59.2629018150011;64.5637437130986;22.1736278154384
"See-Spital Standort Horgen";7266;0.0305398055640785;53.5509221029452;24.8692540600055;58.1475364712359
"See-Spital Standort Kilchberg";2730;0.0114744934200295;55.4025641025641;24.2857142857143;0.0732600732600733
"Spital Uster";10428;0.043830042997827;53.5228231683928;20.5792098197161;62.523973916379
"Spital Limmattal";11164;0.0469235327989778;51.7717663919742;18.7208885704049;48.477248298101
"Spital Bülach";10329;0.0434139349946831;48.7235937651273;17.8139219672766;64.3334301481266
"Spital Zollikerberg";10782;0.0453179443424022;44.4097570024114;31.2001483954739;49.712483769245
"GZO AG Spital Wetzikon";10368;0.0435778563292549;52.608699845679;15.4706790123457;54.7839506172839
"Stadtspital Waid";8347;0.0350833687095188;67.7197795615191;20.3905594824488;70.3606086018929
"Schulthess Klinik";7909;0.0332424060289426;55.3913263370843;51.0936907320774;1.69427234795802
"Kinderspital Zürich";8096;0.0340283878126589;4.74715909090909;19.9357707509881;55.3236166007905
"Spital Männedorf";7685;0.0323009091329402;55.1666883539362;27.8724788549122;49.8893949251789
"Universitätsklinik Balgrist";5072;0.0213181797166262;52.9406545741325;30.5993690851735;11.1593059936909
"Spital Affoltern";3476;0.014610014332609;56.3670886075949;20.7422324510932;56.2715765247411
"Paracelsus-Spital Richterswil";2206;0.0092720631811667;37.7107887579329;14.41523118767;37.7153218495014
"Limmatklinik";1584;0.00665772805030283;43.1868686868687;17.4873737373737;0.252525252525253
"Klinik Lengg";878;0.00369033158343806;33.7357630979499;12.4145785876993;7.1753986332574
"Uroviva Klinik für Urologie";1099;0.00461921914601188;62.1146496815287;29.1173794358508;14.1947224749773
"Adus Medica";1096;0.00460660981258327;39.4060218978102;9.03284671532847;0.182481751824818
"Klinik Susenberg";207;0.000870044006573666;80.0966183574879;75.3623188405797;0
"Sune-Egge";128;0.000537998226287098;45.9296875;0;0
"Spitäler mit Zürcher Leistungsauftrag";222844;0.936638099521266;50.9420536339323;25.686578952092;45.5798675306492
"Geburtshaus Zürcher Oberland";856;0.00359786313829497;16.643691588785;1.98598130841121;44.5093457943925
"Geburtshaus Delphys";500;0.00210155557143398;17.154;0;46.6
"Geburtshäuser mit Zürcher Leistungsauftrag";1356;0.00569941870972894;16.8318584070796;1.25368731563422;45.2802359882006
"Klinik Im Park";6767;0.0284424531037874;58.11171863455;85.8135067238067;14.6002659967489
"Privatklinik Bethanien";3766;0.0158289165640407;49.4806160382369;85.1566648964419;9.45300053106745
"Klinik Lindberg";1392;0.00585073071087219;59.0818965517241;88.9367816091954;9.19540229885057
"Klinik Pyramide am See";1733;0.00728399161059016;55.1436814772072;98.9036353144836;1.26947489901904
"Klinik Tiefenbrunnen";61;0.000256389779714945;51.0163934426229;100;0
"Spitäler ohne Zürcher Leistungsauftrag";13719;0.0576624817690054;55.4343611050368;87.6667395582768;10.8900065602449
"Total Kanton Zürich";237919;1;51.0066829467172;29.1212555533606;43.5778563292549
"Spitäler Schaffhausen";9407;;52.9734240459232;18.0610183905602;59.1793345381099
