"Leistungsbereich";"Anzahl Austritte";"ø-Alter (Jahre)";"Liegeklasse HPP in %";"Notfalleintritte in %";"MAHD Tage"
"Basispaket";77370;56.2611994313041;27.2896471500582;73.5013571151609;4.92511309293008
"Bewegungsapparat chirurgisch";29281;56.708616508999;41.2861582596223;12.308322803183;5.79508896554079
"Dermatologie";841;54.9548156956005;27.705112960761;35.7907253269917;7.98573127229489
"Endokrinologie";626;65.5575079872204;27.3162939297125;76.8370607028754;9.00319488817891
"Gastroenterologie";6162;67.092664719247;29.8279779292438;73.2067510548523;7.67202207075625
"Geburtshilfe";19345;32.2024295683639;22.5432928405273;61.2561385370897;4.40201602481261
"Gefässe";2971;69.960955907102;36.3513968360821;29.2157522719623;8.05789296533154
"Gynäkologie";8488;48.5258011310085;33.7064090480679;10.9095193213949;2.9059849198869
"Haematologie";2174;60.5827966881325;30.81876724931;50.459981600736;8.33578656853726
"Hals-Nasen-Ohren";7409;40.0992036712107;24.2137940342826;10.6222162235119;2.91294371710082
"Herz";9304;67.8915520206363;38.0159071367154;32.7923473774721;5.71517626827171
"Nephrologie";884;68.1685520361991;22.5113122171946;73.7556561085973;12.3190045248869
"Neugeborene";17562;0;4.03143149982918;2.38583304862772;4.45450404281972
"Neurochirurgie";1122;55.2647058823529;29.0552584670232;29.144385026738;10.2878787878788
"Neurologie";4471;63.3956609259673;26.4146723328114;79.6466114963095;6.43569671214493
"Ophthalmologie";2829;68.6302580417108;43.0187345351714;13.8918345705196;2.24885118416402
"Pneumologie";3562;65.4107243121842;24.3402582818641;73.3015160022459;10.0842223469961
"(Radio-)Onkologie";1905;61.4089238845144;30.4461942257218;30.6561679790026;8.47874015748032
"Rheumatologie";1286;55.7752721617418;29.7822706065319;45.3343701399689;7.20217729393468
"Schwere Verletzungen";530;56.4679245283019;23.9622641509434;81.8867924528302;11.9207547169811
"Thoraxchirurgie";405;61.9827160493827;37.037037037037;7.90123456790123;10.7135802469136
"Transplantationen";65;49.2461538461538;1.53846153846154;69.2307692307692;21.7384615384615
"Urologie";11311;61.6632481655026;32.6142692953762;19.4677747325612;4.45566262929891
"Viszeralchirugie";3373;55.5941298547287;27.1864808775571;20.6937444411503;10.2315446190335
"Total";213276;50.5544458823309;28.1761660946379;45.4270522702976;5.30355970667117
