"Leistungsbereich";"SPLG";"Universitätsspital Zürich";"Kantonsspital Winterthur";"Stadtspital Triemli";"Klinik Hirslanden";"See-Spital Standort Horgen";"See-Spital Standort Kilchberg";"Spital Uster";"Spital Limmattal";"Spital Bülach";"Spital Zollikerberg";"GZO AG Spital Wetzikon";"Stadtspital Waid";"Schulthess Klinik";"Kinderspital Zürich";"Spital Männedorf";"Universitätsklinik Balgrist";"Spital Affoltern";"Paracelsus-Spital Richterswil";"Limmatklinik";"Klinik Lengg";"Uroviva Klinik für Urologie";"Adus Medica";"Klinik Susenberg";"Sune-Egge";"Spitäler mit Zürcher Leistungsauftrag";"Klinik Im Park";"Privatklinik Bethanien";"Klinik Lindberg";"Klinik Pyramide am See";"Klinik Tiefenbrunnen";"Eulachklinik";"Spitäler ohne Zürcher Leistungsauftrag";"Spitäler Schaffhausen";"Ausserkantonale Nicht-Listenspitäler"
"Basispaket";"BP";290;8265;51;96;14;9;180;9;61;27;87;33;16;102;24;25;2;16;26;1;3;3;4;7;9351;15;8;247;28;2;0;300;328;733
"Dermatologie";"DER1";21;31;0;0;0;0;0;1;0;0;1;0;0;5;5;0;0;0;1;0;0;0;0;0;65;3;0;0;0;0;1;4;2;4
"";"DER1.1";18;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26;0;0;0;0;0;0;0;0;1
"";"DER1.2";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;
"";"DER2";1;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;0;0;0;0;0;0;1;2
"Hals-Nasen-Ohren";"HNO1";34;98;0;5;0;0;8;0;0;0;0;0;0;17;0;0;0;0;0;0;0;181;0;0;343;0;2;5;1;0;0;8;4;112
"";"HNO1.1";43;45;0;3;1;0;0;0;0;0;1;0;0;9;0;0;0;0;6;0;0;8;0;0;116;1;1;0;0;0;0;2;0;14
"";"HNO1.1.1";2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;
"";"HNO1.2";23;60;0;6;1;0;6;0;0;1;3;1;0;0;2;0;0;0;6;0;0;144;0;0;253;1;0;41;2;0;0;44;0;105
"";"HNO1.2.1";0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;
"";"HNO1.3";29;5;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;35;0;1;2;0;0;0;3;0;8
"";"HNO1.3.1";2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;
"";"HNO1.3.2";7;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;
"";"HNO2";3;75;1;2;0;0;0;0;10;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;93;0;2;7;0;0;0;9;1;9
"";"KIE1";10;26;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;4;0;0;0;0;0;43;0;0;0;0;0;0;0;0;1
"Neurochirurgie";"NCH1";40;39;0;7;0;0;0;0;0;0;0;0;0;18;0;0;0;0;2;0;0;0;0;0;106;1;0;1;0;0;0;2;0;5
"";"NCH1.1";3;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;
"";"NCH1.1.1";13;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17;0;0;0;0;0;0;0;0;1
"";"NCH1.1.1.1";3;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;
"";"NCH1.1.2";4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;
"";"NCH1.1.3";2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;
"";"NCH2";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;
"";"NCH2.1";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1
"";"NCH3";1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;
"Neurologie";"NEU1";3;79;0;1;0;0;2;0;2;0;4;0;0;13;0;0;0;0;0;4;0;0;0;0;108;0;0;0;0;0;0;0;4;12
"";"NEU2";5;16;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;23;0;0;0;0;0;0;0;2;3
"";"NEU2.1";3;12;0;0;0;0;0;0;0;0;0;0;0;11;0;0;0;0;0;0;0;0;1;0;27;0;0;0;0;0;0;0;2;
"";"NEU3";24;322;0;3;0;0;4;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;356;0;0;2;0;0;0;2;10;20
"";"NEU3.1";6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;2
"";"NEU4";1;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;26;0;0;0;0;33;0;0;0;0;0;0;0;0;
"";"NEU4.1";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;3;0;0;0;0;0;0;0;0;
"";"NEU4.2";3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;0;0;0;0;18;0;0;0;0;0;0;0;0;2
"Ophthalmologie";"AUG1";7;29;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;40;1;0;0;0;0;0;1;0;3
"";"AUG1.1";13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;0;0;0;0;0;0;0;0;
"";"AUG1.2";2;3;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;7;0;0;0;0;0;0;0;0;3
"";"AUG1.3";6;32;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;47;7;0;0;0;0;0;7;0;11
"";"AUG1.4";1;219;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;221;3;0;0;4;0;0;7;0;3
"";"AUG1.5";86;34;60;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;180;1;0;0;0;0;0;1;0;12
"Endokrinologie";"END1";3;41;0;3;0;0;0;0;2;0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;53;0;0;1;1;0;0;2;4;3
"Gastroenterologie";"GAE1";26;502;1;9;0;0;17;1;4;0;6;1;0;2;1;0;0;1;0;0;0;0;0;0;571;1;1;3;0;0;0;5;12;22
"";"GAE1.1";0;115;1;2;0;0;1;0;0;0;3;0;0;1;0;0;0;0;0;0;0;0;0;0;123;1;0;0;0;0;0;1;1;4
"Viszeralchirugie";"VIS1";17;230;1;14;0;0;4;0;1;0;4;1;0;10;0;0;0;0;0;0;0;0;0;0;282;2;0;8;0;0;0;10;14;10
"";"VIS1.1";1;12;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;0;0;0;0;0;0;0;
"";"VIS1.2";3;16;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21;1;0;0;0;0;0;1;0;1
"";"VIS1.3";0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;
"";"VIS1.4";10;2;0;14;0;0;0;1;0;0;23;0;0;0;5;0;0;0;0;0;0;0;0;0;55;0;0;1;0;0;0;1;11;38
"";"VIS1.4.1";10;0;0;8;0;0;0;3;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;23;0;0;0;0;0;0;0;0;11
"";"VIS1.5";1;23;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27;0;0;0;0;0;0;0;0;2
"Haematologie";"HAE1";18;22;0;0;0;0;0;0;1;0;0;0;0;15;0;0;0;0;0;0;0;0;0;0;56;0;0;0;0;0;0;0;1;6
"";"HAE1.1";13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;0;0;0;0;0;0;0;0;1
"";"HAE2";34;124;1;13;0;0;2;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;181;0;0;1;0;0;0;1;10;3
"";"HAE3";5;24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;29;0;0;0;0;0;0;0;1;
"";"HAE4";9;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0;0;0;0;0;0;0;0;2
"";"HAE5";5;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;1
"Gefässe";"GEF1";1;76;0;3;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;81;2;0;0;0;0;0;2;0;1
"";"ANG1";4;146;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;154;2;0;0;0;0;0;2;2;5
"";"GEF2";3;27;2;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;34;0;0;0;0;0;0;0;0;
"";"ANG2";8;77;0;3;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;89;3;0;0;0;0;0;3;0;
"";"GEF3";3;14;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;0;0;0;0;0;0;0;0;
"";"ANG3";5;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;1;0;0;0;0;0;1;0;1
"";"RAD1";1;18;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23;0;0;0;0;0;0;0;0;
"Herz";"HER1";3;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;
"";"HER1.1";14;1;1;0;0;0;0;0;1;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;20;0;0;0;0;0;0;0;0;
"";"HER1.1.1";60;0;3;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;69;0;0;0;0;0;0;0;0;1
"";"HER1.1.2";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;
"";"HER1.1.3";14;0;0;2;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;23;0;0;0;0;0;0;0;0;
"";"HER1.1.4";17;0;5;15;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;39;0;0;0;0;0;0;0;0;2
"";"HER1.1.5";15;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19;1;0;0;0;0;0;1;0;1
"";"KAR1";7;84;1;12;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;107;0;0;0;0;0;0;0;1;
"";"KAR1.1";52;526;9;66;0;0;3;0;0;0;2;0;0;3;0;0;0;0;0;0;0;0;0;0;661;11;0;0;0;0;0;11;0;25
"";"KAR1.1.1";63;61;0;27;0;0;0;0;0;0;5;0;0;2;0;0;0;0;0;0;0;0;0;0;158;11;0;0;0;0;0;11;0;2
"";"KAR1.2";9;24;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;36;4;0;0;0;0;0;4;0;
"";"KAR1.3";8;28;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;40;1;0;0;0;0;0;1;0;
"Nephrologie";"NEP1";8;75;0;0;0;0;4;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;89;1;0;0;0;0;0;1;1;4
"Urologie";"URO1";29;920;4;34;0;5;104;2;0;5;3;3;0;9;8;0;0;1;0;0;16;0;0;0;1143;1;7;61;1;0;0;70;23;87
"";"URO1.1";6;75;0;2;0;1;2;0;0;0;0;0;0;2;0;0;0;0;0;0;3;0;0;0;91;0;1;2;0;0;0;3;6;10
