"Leistungsbereich";"SPLG";"Universitätsspital Zürich";"Kantonsspital Winterthur";"Stadtspital Triemli";"Klinik Hirslanden";"See-Spital Standort Horgen";"See-Spital Standort Kilchberg";"Spital Uster";"Spital Limmattal";"Spital Bülach";"Spital Zollikerberg";"GZO AG Spital Wetzikon";"Stadtspital Waid";"Schulthess Klinik";"Kinderspital Zürich";"Spital Männedorf";"Universitätsklinik Balgrist";"Spital Affoltern";"Paracelsus-Spital Richterswil";"Limmatklinik";"Klinik Lengg";"Uroviva Klinik für Urologie";"Adus Medica";"Klinik Susenberg";"Sune-Egge";"Spitäler mit Zürcher Leistungsauftrag";"Klinik Im Park";"Privatklinik Bethanien";"Klinik Lindberg";"Klinik Pyramide am See";"Spitäler ohne Zürcher Leistungsauftrag";"Ausserkantonale Nicht-Listenspitäler"
"Basispaket";"BP";272;8;341;89;2659;81;2;11;8;21;9;21;15;169;16;24;28;273;9;0;0;0;5;4;4065;134;12;1;39;186;282
"Dermatologie";"DER1";6;0;0;0;0;0;0;1;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;10;1;0;0;0;1;2
"";"DER1.1";16;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17;0;0;0;0;0;
"";"DER1.2";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;
"";"DER2";1;0;0;0;4;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;8;0;0;0;0;0;
"Hals-Nasen-Ohren";"HNO1";31;0;2;0;53;20;0;1;0;0;0;0;0;8;0;0;0;1;0;0;0;0;0;0;116;0;2;0;3;5;4
"";"HNO1.1";28;0;0;0;6;0;0;0;0;0;0;0;0;3;0;0;0;0;5;0;0;0;0;0;42;0;2;0;0;2;9
"";"HNO1.1.1";;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;0;1
"";"HNO1.2";19;0;0;7;61;8;0;0;0;1;0;3;0;0;1;0;0;0;5;0;0;0;0;0;105;2;1;0;1;4;5
"";"HNO1.2.1";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;
"";"HNO1.3";13;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;0;2;0;0;2;4
"";"HNO1.3.1";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;
"";"HNO1.3.2";3;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;
"";"HNO2";6;0;6;11;4;11;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;40;4;2;0;0;6;3
"";"KIE1";3;1;0;0;3;0;0;0;0;0;0;0;0;2;0;0;0;0;3;0;0;0;0;0;12;0;0;0;1;1;
"Neurochirurgie";"NCH1";28;0;0;6;1;0;0;0;0;0;0;0;0;6;0;0;0;0;2;0;0;0;0;0;43;0;0;0;0;0;1
"";"NCH1.1";2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;
"";"NCH1.1.1";9;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;
"";"NCH1.1.1.1";2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;
"";"NCH1.1.2";;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;0;1
"";"NCH1.1.3";;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;0;
"";"NCH2";0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;
"";"NCH2.1";;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;0;
"";"NCH3";;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;0;
"Neurologie";"NEU1";8;0;5;2;21;0;0;0;1;0;0;0;0;4;0;0;0;0;0;3;0;0;0;0;44;0;0;0;0;0;2
"";"NEU2";3;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;8;0;0;0;0;0;2
"";"NEU2.1";1;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;
"";"NEU3";43;0;10;10;68;0;0;0;0;0;1;0;0;1;0;0;1;3;0;0;0;0;0;0;137;1;0;0;0;1;3
"";"NEU3.1";5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;
"";"NEU4";0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;10;0;0;0;0;12;0;0;0;0;0;
"";"NEU4.1";3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;4;0;0;0;0;0;
"";"NEU4.2";3;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;11;0;0;0;0;0;
"Ophthalmologie";"AUG1";8;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;1;1;0;0;2;3
"";"AUG1.1";6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;
"";"AUG1.2";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;
"";"AUG1.3";5;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;11;1;0;0;0;1;11
"";"AUG1.4";7;1;11;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;23;1;0;0;1;2;1
"";"AUG1.5";32;0;21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;55;1;0;0;0;1;5
"Endokrinologie";"END1";9;0;1;1;16;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;28;1;0;0;1;2;1
"Gastroenterologie";"GAE1";18;0;26;15;147;0;1;0;0;1;1;2;0;3;1;0;0;19;0;0;0;0;0;0;234;17;0;0;0;17;11
"";"GAE1.1";14;1;7;2;17;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;44;3;0;0;0;3;
"Viszeralchirugie";"VIS1";21;1;15;13;15;1;0;1;0;1;0;1;0;3;3;0;0;0;0;0;0;0;0;0;75;16;0;0;0;16;7
"";"VIS1.1";2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;
"";"VIS1.2";5;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;1;0;0;0;1;
"";"VIS1.3";0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;
"";"VIS1.4";4;0;3;4;0;0;0;5;0;0;1;0;0;0;3;0;0;0;0;0;0;0;0;0;20;0;0;0;0;0;6
"";"VIS1.4.1";1;0;1;6;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;3
"";"VIS1.5";1;0;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;
"Haematologie";"HAE1";8;0;4;0;4;0;0;0;0;0;0;0;0;18;0;0;0;0;0;0;0;0;0;0;34;1;0;0;0;1;
"";"HAE1.1";4;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;
"";"HAE2";25;0;6;9;13;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;0;0;0;56;1;0;0;0;1;2
"";"HAE3";1;0;1;0;9;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;12;0;0;0;0;0;
"";"HAE4";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;
"";"HAE5";2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;
"Gefässe";"GEF1";4;0;7;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;2;0;0;0;2;1
"";"ANG1";14;1;4;3;33;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;56;11;1;0;0;12;1
"";"GEF2";3;0;6;3;3;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;16;2;0;0;0;2;
"";"ANG2";4;3;2;10;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;20;3;0;0;0;3;
"";"GEF3";4;0;6;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;0;0;0;0;0;
"";"ANG3";3;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;
"";"RAD1";4;0;1;5;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;3;0;0;0;3;
