"Leistungsbereich";"SPLG";"Universitätsspital Zürich";"Kantonsspital Winterthur";"Stadtspital Triemli";"Klinik Hirslanden";"See-Spital Standort Horgen";"See-Spital Standort Kilchberg";"Spital Uster";"Spital Limmattal";"Spital Bülach";"Spital Zollikerberg";"GZO AG Spital Wetzikon";"Stadtspital Waid";"Schulthess Klinik";"Kinderspital Zürich";"Spital Männedorf";"Universitätsklinik Balgrist";"Spital Affoltern";"Paracelsus-Spital Richterswil";"Limmatklinik";"Klinik Lengg";"Uroviva Klinik für Urologie";"Adus Medica";"Klinik Susenberg";"Sune-Egge";"Spitäler mit Zürcher Leistungsauftrag";"Klinik Im Park";"Privatklinik Bethanien";"Klinik Lindberg";"Klinik Pyramide am See";"Klinik Tiefenbrunnen";"Spitäler ohne Zürcher Leistungsauftrag";"Ausserkantonale Nicht-Listenspitäler"
"Basispaket";"BP";311;24;44;436;9;5;38;7;2;534;65;19;27;281;2372;27;2;8;7;0;1;1;18;1;4239;23;29;1;83;2;138;290
"Dermatologie";"DER1";9;0;0;0;0;0;0;0;0;1;0;0;0;2;6;0;0;0;1;0;0;0;0;0;19;0;0;0;0;0;0;
"";"DER1.1";9;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0;0;0;0;0;
"";"DER1.2";;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;0;
"";"DER2";0;0;0;1;0;0;0;0;0;0;1;0;0;0;5;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;1
"Hals-Nasen-Ohren";"HNO1";40;0;0;12;0;0;1;0;0;1;1;0;0;15;55;0;0;0;1;0;0;1;0;0;127;0;0;1;23;0;24;4
"";"HNO1.1";38;3;0;8;1;0;0;1;0;0;0;0;0;6;4;0;0;0;1;0;0;0;0;0;62;1;0;0;1;0;2;
"";"HNO1.1.1";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;
"";"HNO1.2";18;1;0;20;2;0;1;0;0;2;1;1;0;0;50;0;0;0;3;0;0;0;0;0;99;0;1;0;10;0;11;4
"";"HNO1.2.1";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;
"";"HNO1.3";14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;2;0;0;0;2;2
"";"HNO1.3.1";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;
"";"HNO1.3.2";;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;0;
"";"HNO2";17;0;1;6;0;0;3;1;2;5;0;1;0;0;9;0;0;0;0;0;0;0;0;0;45;0;6;0;0;0;6;1
"";"KIE1";8;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;11;1;0;0;2;0;3;
"Neurochirurgie";"NCH1";25;1;0;13;0;0;0;0;0;0;0;0;2;3;0;0;0;0;0;0;0;0;0;0;44;0;1;0;0;0;1;5
"";"NCH1.1";3;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;
"";"NCH1.1.1";6;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;
"";"NCH1.1.1.1";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;
"";"NCH1.1.2";3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;
"";"NCH1.1.3";;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;0;
"";"NCH2";;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;0;
"";"NCH2.1";;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;0;
"";"NCH3";;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;0;
"Neurologie";"NEU1";17;0;0;7;0;0;1;0;0;3;1;0;0;7;27;0;0;0;0;3;0;0;0;0;66;0;0;0;0;0;0;4
"";"NEU2";4;0;0;1;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;
"";"NEU2.1";4;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;
"";"NEU3";42;0;0;38;0;0;0;0;0;9;1;0;0;0;114;0;0;0;0;0;0;0;0;0;204;0;0;0;0;0;0;5
"";"NEU3.1";4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;1
"";"NEU4";1;0;0;3;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;12;0;0;0;0;19;0;0;0;0;0;0;
"";"NEU4.1";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;8;0;0;0;0;0;0;
"";"NEU4.2";2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;10;0;0;0;0;0;0;
"Ophthalmologie";"AUG1";15;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;16;0;0;0;0;0;0;1
"";"AUG1.1";2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;
"";"AUG1.2";2;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;1;4;5;2
"";"AUG1.3";15;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;21;12;0;0;0;0;12;5
"";"AUG1.4";4;4;5;24;0;0;0;0;0;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;50;8;0;0;11;0;19;
"";"AUG1.5";33;2;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;44;7;0;0;0;0;7;4
"Endokrinologie";"END1";5;0;1;5;0;0;0;0;0;8;1;1;0;3;28;0;0;0;0;0;0;0;0;0;52;0;0;0;0;0;0;1
"Gastroenterologie";"GAE1";16;1;7;39;0;0;1;0;0;41;4;0;0;3;226;0;0;1;0;0;0;0;0;0;339;0;1;0;0;0;1;6
"";"GAE1.1";5;0;0;3;0;0;0;0;0;12;1;0;0;0;25;0;0;0;0;0;0;0;0;0;46;3;0;0;0;0;3;
"Viszeralchirugie";"VIS1";18;0;3;39;1;0;0;0;0;4;2;0;0;2;47;0;0;0;0;0;0;0;0;0;116;1;2;0;0;0;3;1
"";"VIS1.1";2;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;
"";"VIS1.2";0;0;2;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;
"";"VIS1.3";0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;
"";"VIS1.4";2;0;1;7;0;0;0;0;0;0;2;0;0;0;15;0;0;0;0;0;0;0;0;0;27;0;0;0;0;0;0;2
"";"VIS1.4.1";0;0;0;4;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;1
"";"VIS1.5";1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;
"Haematologie";"HAE1";30;0;0;1;0;0;0;0;0;0;0;0;0;3;1;0;0;0;0;0;0;0;0;0;35;0;0;0;0;0;0;1
"";"HAE1.1";4;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;
"";"HAE2";13;0;0;22;0;0;0;0;1;5;1;1;0;0;39;0;0;3;0;0;0;0;1;0;86;1;0;0;0;0;1;1
"";"HAE3";3;0;0;7;0;0;0;0;0;3;0;0;0;0;10;1;0;0;0;0;0;0;0;0;24;0;0;0;0;0;0;2
"";"HAE4";2;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;
"";"HAE5";2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;
"Gefässe";"GEF1";14;0;1;10;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;27;2;0;0;0;0;2;1
"";"ANG1";24;0;1;22;0;0;0;0;0;1;0;1;0;0;30;0;0;0;0;0;0;0;0;0;79;3;1;0;0;0;4;4
"";"GEF2";3;0;2;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;2;0;0;0;0;2;1
"";"ANG2";12;2;2;14;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;31;0;0;0;0;0;0;1
"";"GEF3";8;0;1;7;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;18;0;0;0;1;0;1;1
"";"ANG3";7;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;2
"";"RAD1";3;0;0;16;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;28;0;0;0;0;0;0;
