"Leistungsbereich";"SPLG";"Universitätsspital Zürich";"Kantonsspital Winterthur";"Stadtspital Triemli";"Klinik Hirslanden";"See-Spital Standort Horgen";"See-Spital Standort Kilchberg";"Spital Uster";"Spital Limmattal";"Spital Bülach";"Spital Zollikerberg";"GZO AG Spital Wetzikon";"Stadtspital Waid";"Schulthess Klinik";"Kinderspital Zürich";"Spital Männedorf";"Universitätsklinik Balgrist";"Spital Affoltern";"Paracelsus-Spital Richterswil";"Limmatklinik";"Klinik Lengg";"Uroviva Klinik für Urologie";"Adus Medica";"Klinik Susenberg";"Sune-Egge";"Spitäler mit Zürcher Leistungsauftrag";"Klinik Im Park";"Privatklinik Bethanien";"Klinik Lindberg";"Klinik Pyramide am See";"Klinik Tiefenbrunnen";"Eulachklinik";"Spitäler ohne Zürcher Leistungsauftrag";"Spitäler Schaffhausen";"Ausserkantonale Nicht-Listenspitäler"
"Basispaket";"BP";7890;9815;8181;2939;3598;553;4748;4405;4461;3163;4501;5605;293;3800;2875;440;1865;399;278;8;143;122;174;108;70364;788;401;284;542;29;0;2044;372;4476
"Dermatologie";"DER1";197;35;19;9;4;2;13;38;11;3;14;9;0;40;21;1;3;1;2;0;0;0;0;1;423;5;0;0;0;0;1;6;3;18
"";"DER1.1";202;12;6;7;0;0;0;0;2;0;0;1;0;2;0;0;1;0;1;0;0;0;0;0;234;3;2;0;0;0;0;5;0;4
"";"DER1.2";8;2;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;15;0;0;0;0;0;0;0;0;
"";"DER2";25;15;8;8;4;3;8;10;5;4;4;10;0;1;5;1;6;2;0;0;0;0;0;4;123;3;1;0;0;0;0;4;1;5
"Hals-Nasen-Ohren";"HNO1";709;120;26;59;69;116;130;85;2;6;93;47;0;226;80;0;22;1;53;0;0;387;0;0;2231;6;20;6;68;0;0;100;5;213
"";"HNO1.1";678;60;0;31;13;9;6;20;0;2;20;41;0;87;6;1;1;0;67;0;0;30;0;0;1072;6;27;0;3;0;0;36;0;57
"";"HNO1.1.1";16;2;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;21;0;0;0;0;0;0;0;0;1
"";"HNO1.2";419;80;0;192;78;42;134;37;0;24;133;68;0;2;66;0;23;0;133;0;0;385;0;0;1816;25;5;43;28;0;0;101;0;190
"";"HNO1.2.1";4;0;0;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;34;0;0;0;0;0;0;0;0;
"";"HNO1.3";297;5;0;3;3;0;1;2;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;315;0;14;2;2;0;0;18;0;55
"";"HNO1.3.1";6;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;2
"";"HNO1.3.2";31;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;36;0;0;0;0;0;0;0;0;
"";"HNO2";162;103;81;71;5;28;29;36;71;60;14;43;0;0;14;0;1;0;0;0;0;7;0;0;725;7;31;7;0;0;0;45;2;44
"";"KIE1";131;41;4;4;5;0;2;2;0;1;1;3;0;20;0;0;1;0;41;0;0;0;0;0;256;4;0;0;18;0;0;22;0;5
