"Spitalname";"Total absolut";"davon Frauen in %";"davon Diplom Ausland in %";"davon in Ausbildung in %"
"Universitätsspital Zürich";8657;68.9268799815179;22.6983943629433;18.6669747025528
"Kantonsspital Winterthur";3618;76.3405196241017;15.0912106135987;16.1138750690989
"Stadtspital Triemli";2940;74.9319727891156;17.0068027210884;17.9251700680272
"Klinik Hirslanden";1743;74.0103270223752;22.9489386115892;15.6626506024096
"See-Spital";874;76.6590389016018;21.1670480549199;14.6453089244851
"Spital Uster";1238;78.9176090468498;11.8739903069467;18.2552504038772
"Spital Limmattal";1232;76.461038961039;16.7207792207792;15.0162337662338
"Spital Bülach";1174;79.1311754684838;17.3764906303237;17.206132879046
"Spital Zollikerberg";1095;80.4566210045662;2.37442922374429;15.6164383561644
"GZO AG Spital Wetzikon";884;81.2217194570136;12.7828054298643;7.23981900452489
"Stadtspital Waid";1032;75.2906976744186;24.031007751938;18.6046511627907
"Schulthess Klinik";1024;70.5078125;19.53125;8.10546875
"Kinderspital Zürich";2416;83.567880794702;16.3493377483444;14.817880794702
"Spital Männedorf";938;76.1194029850746;3.62473347547974;13.7526652452026
"Universitätsklinik Balgrist";1110;69.3693693693694;18.6486486486486;13.6936936936937
"Spital Affoltern";555;80.5405405405405;17.2972972972973;12.7927927927928
"Paracelsus-Spital Richterswil";174;83.9080459770115;25.2873563218391;6.32183908045977
"Limmatklinik";46;80.4347826086957;28.2608695652174;6.52173913043478
"Klinik Lengg";287;78.7456445993031;31.7073170731707;13.9372822299652
"Uroviva Klinik für Urologie";77;75.3246753246753;27.2727272727273;2.5974025974026
"Adus Medica";34;85.2941176470588;23.5294117647059;5.88235294117647
"Klinik Susenberg";112;77.6785714285714;22.3214285714286;11.6071428571429
"Sune-Egge";89;55.0561797752809;28.0898876404494;4.49438202247191
"Spitäler mit Zürcher Leistungsauftrag";31349;74.7073271874701;18.1792082682063;16.0611183769817
"Geburtshaus Zürcher Oberland";51;100;13.7254901960784;3.92156862745098
"Geburtshaus Delphys";25;96;8;0
"Geburtshäuser mit Zürcher Leistungsauftrag";76;98.6842105263158;11.8421052631579;2.63157894736842
"Klinik Im Park";596;69.1275167785235;33.7248322147651;7.5503355704698
"Privatklinik Bethanien";278;74.4604316546763;22.6618705035971;8.63309352517986
"Klinik Lindberg";152;77.6315789473684;94.0789473684211;5.92105263157895
"Klinik Pyramide am See";121;63.6363636363636;26.4462809917355;1.65289256198347
"Klinik Tiefenbrunnen";21;95.2380952380952;19.047619047619;0
"Eulachklinik";8;100;0;0
"Spitäler ohne Zürcher Leistungsauftrag";1176;71.5986394557823;37.6700680272109;6.80272108843537
"Total Kanton Zürich";32601;74.6510843225668;18.8675194012454;15.6958375509954
"Spitäler Schaffhausen";1315;76.3498098859316;22.2813688212928;16.0456273764259
