"Spitalname";"2017";"2018";"2019";"% Änd. Vorjahr"
"Universitätsspital Zürich";1372673.209;1448567.413;1471837.357;1.60641084364916
"Kantonsspital Winterthur";504896.314;513331.271;535538.22;4.32604640600591
"Stadtspital Triemli";444545.671;448442.113;459276.384;2.4159798301548
"Klinik Hirslanden";420132.97;405155.508;398981.642;-1.5238262538936
"See-Spital";149283.392;142984.239;142165.147;-0.572854746599027
"Spital Uster";145856.99;149996.844;149463.768;-0.355391477436684
"Spital Limmattal";176947.266;174191.293;186232.444;6.91260211266702
"Spital Bülach";137467.767;141624.051;148262.892;4.6876508284599
"Spital Zollikerberg";154972.274;155747.962;159755.077;2.57282018239184
"GZO AG Spital Wetzikon";146075.57;144053.951;151488.324;5.16082547433911
"Stadtspital Waid";150428.721;145766.149;151126.287;3.67721726667827
"Schulthess Klinik";200735.158;197507.548;205024.758;3.80603682042571
"Kinderspital Zürich";295514.616;299203.297;307450.43;2.75636434581132
"Spital Männedorf";124781.086;127612.083;130250.145;2.06725095146358
"Universitätsklinik Balgrist";172572.442;176954.828;183106.779;3.47656578208759
"Spital Affoltern";71836.016;70318.103;73571.286;4.62638049265918
"Paracelsus-Spital Richterswil";39909.18;37679.03;33523.938;-11.0275981096116
"Limmatklinik";22806.782;21647.135;18723.561;-13.5055932343934
"Klinik Lengg";38402.621;38749.945;38206.651;-1.40205102226597
"Uroviva Klinik für Urologie";16620.19;15243.39;18653.931;22.3739010810587
"Adus Medica";8333.187;8564.046;8242.247;-3.75755805141634
"Klinik Susenberg";11070.156;11052.521;10458.249;-5.37680046027509
"Sune-Egge";11528.819;11061.426;10229.385;-7.52200484819949
"Spitäler mit Zürcher Leistungsauftrag";4817390.397;4885454.146;4991568.902;2.17205510130276
"Geburtshaus Zürcher Oberland";3217.911;3717.064;3601.678;-3.10422419414892
"Geburtshaus Delphys";2162.015;2217.113;2302.332;3.84369222497907
"Geburtshäuser mit Zürcher Leistungsauftrag";5379.926;5934.177;5904.01;-0.508360300004529
"Klinik Im Park";157172.127;150969.755;134525.739;-10.8922585189332
"Privatklinik Bethanien";57507.694;61344.182;76023.38;23.9292423852029
"Klinik Lindberg";21814.37;22695.255;24665.012;8.67915782395923
"Klinik Pyramide am See";20472.602;18509.997;16859.909;-8.91457734974241
"Klinik Tiefenbrunnen";1463.082;1299.637;1435.597;10.461382678394
"Eulachklinik";3442.28;;;
"Spitäler ohne Zürcher Leistungsauftrag";261872.155;254818.826;253509.637;-0.513772479275132
"Total Kanton Zürich";5084642.478;5146207.149;5250982.549;2.0359732316714
"Spitäler Schaffhausen";196160.821;198471.822;;1.17811548107254
