"Leistungsbereich";"SPLG";"Universitätsspital Zürich";"Kantonsspital Winterthur";"Stadtspital Triemli";"Klinik Hirslanden";"See-Spital Standort Horgen";"See-Spital Standort Kilchberg";"Spital Uster";"Spital Limmattal";"Spital Bülach";"Spital Zollikerberg";"GZO AG Spital Wetzikon";"Stadtspital Waid";"Schulthess Klinik";"Kinderspital Zürich";"Spital Männedorf";"Universitätsklinik Balgrist";"Spital Affoltern";"Paracelsus-Spital Richterswil";"Limmatklinik";"Klinik Lengg";"Uroviva Klinik für Urologie";"Adus Medica";"Klinik Susenberg";"Sune-Egge";"Spitäler mit Zürcher Leistungsauftrag";"Klinik Im Park";"Privatklinik Bethanien";"Klinik Lindberg";"Klinik Pyramide am See";"Klinik Tiefenbrunnen";"Spitäler ohne Zürcher Leistungsauftrag"
"Basispaket";"BP";10320;10949;9216;3829;3778;359;4711;4908;4695;3368;5077;5671;577;4722;3824;801;2061;480;202;13;196;118;185;107;80167;1076;594;419;494;70;2653
"Dermatologie";"DER1";310;51;19;11;8;0;7;12;6;10;7;6;0;49;13;0;2;1;1;0;0;0;0;2;515;3;3;0;0;0;6
"";"DER1.1";325;11;9;5;0;0;2;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;354;7;1;0;1;0;9
"";"DER1.2";11;1;0;0;0;0;0;0;1;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;16;0;0;0;0;0;0
"";"DER2";62;15;8;5;3;0;6;4;1;3;1;8;0;11;4;4;3;0;0;0;0;0;0;3;141;6;0;0;2;0;8
"Hals-Nasen-Ohren";"HNO1";840;158;24;64;67;64;92;109;97;5;105;52;0;285;78;0;27;4;213;1;0;73;0;0;2358;13;25;2;33;0;73
"";"HNO1.1";710;115;10;47;18;3;5;31;35;0;12;30;0;150;12;0;1;0;85;0;0;2;0;0;1266;14;56;4;15;0;89
"";"HNO1.1.1";47;3;0;1;0;0;0;0;0;0;1;2;0;0;0;0;0;0;2;0;0;0;0;0;56;0;1;0;0;0;1
"";"HNO1.2";532;119;1;301;155;26;133;63;86;20;100;67;0;17;70;0;20;15;423;0;0;104;0;0;2252;13;13;40;93;5;164
"";"HNO1.2.1";13;0;0;63;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;76;0;0;0;0;0;0
"";"HNO1.3";446;5;0;4;0;0;0;9;0;4;0;0;0;5;1;0;0;0;0;0;0;0;0;0;474;0;19;0;3;0;22
"";"HNO1.3.1";5;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0
"";"HNO1.3.2";75;0;0;0;0;0;0;0;0;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0;86;0;0;0;0;0;0
"";"HNO2";180;157;131;230;1;20;22;44;75;71;24;17;0;0;12;0;0;0;0;0;0;0;0;0;984;1;32;1;18;0;52
"";"KIE1";376;80;1;5;0;1;2;2;1;0;0;2;1;33;2;0;1;1;41;0;0;1;2;0;552;4;2;0;17;0;23
"Neurochirurgie";"NCH1";751;129;0;315;0;0;0;0;1;0;0;0;4;120;0;0;0;0;6;0;0;0;0;0;1326;6;5;0;11;0;22
"";"NCH1.1";76;4;4;39;0;0;0;1;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;128;0;0;1;0;0;1
"";"NCH1.1.1";235;4;0;105;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;347;0;0;0;0;0;0
"";"NCH1.1.1.1";42;0;0;24;0;0;0;0;0;0;0;0;0;27;0;0;0;0;0;0;0;0;0;0;93;0;0;0;0;0;0
"";"NCH1.1.2";57;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;57;1;0;0;0;0;1
"";"NCH1.1.3";12;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;14;0;0;0;0;0;0
"";"NCH2";4;0;0;7;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;14;0;0;0;0;0;0
"";"NCH2.1";10;1;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;0;0;0;0;0;0
"";"NCH3";18;5;0;4;0;0;0;0;0;0;0;0;2;1;0;1;0;0;0;0;0;0;0;0;31;1;1;4;25;0;31
"Neurologie";"NEU1";214;92;86;85;22;0;60;46;29;17;56;21;0;135;38;0;10;1;0;58;0;0;0;0;970;2;0;0;0;0;2
"";"NEU2";93;23;15;18;8;0;13;15;7;3;11;11;1;11;9;0;4;2;0;0;0;0;2;0;246;3;1;0;0;0;4
"";"NEU2.1";86;18;7;23;2;0;3;7;11;0;7;2;0;52;3;0;1;1;0;0;0;0;1;0;224;0;1;0;0;0;1
"";"NEU3";788;461;391;394;68;0;176;172;109;55;165;137;0;53;106;1;32;0;0;0;0;0;2;1;3111;17;2;2;0;0;21
"";"NEU3.1";109;0;0;42;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;151;0;0;0;0;0;0
"";"NEU4";20;0;1;44;0;0;0;0;0;0;0;0;0;53;0;0;0;0;0;348;0;0;0;0;466;0;0;0;0;0;0
"";"NEU4.1";52;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;56;0;0;0;0;110;0;0;0;0;0;0
"";"NEU4.2";62;0;0;0;0;0;0;0;0;0;0;0;0;15;0;0;0;0;0;411;0;0;0;0;488;0;0;0;0;0;0
"Ophthalmologie";"AUG1";235;81;22;0;0;0;0;0;0;0;0;1;0;6;0;0;0;0;3;0;0;0;0;0;348;11;0;0;17;0;28
"";"AUG1.1";55;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;0;0;0;0;0;72;0;0;0;0;0;0
"";"AUG1.2";48;16;2;5;1;0;0;0;0;0;0;0;0;1;1;0;0;0;6;0;0;0;0;0;80;4;1;1;22;13;41
"";"AUG1.3";126;154;167;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;76;0;0;0;0;0;523;94;0;0;7;0;101
"";"AUG1.4";113;470;274;83;0;0;0;0;0;4;0;0;0;0;0;0;0;0;6;0;0;0;0;0;950;42;0;0;72;0;114
"";"AUG1.5";912;121;355;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;135;0;0;0;0;0;1524;39;0;0;1;0;40
"Endokrinologie";"END1";189;183;80;56;56;1;74;78;59;50;103;99;0;100;35;3;17;0;0;0;1;0;3;0;1187;3;5;2;0;0;10
"Gastroenterologie";"GAE1";861;744;641;516;211;0;517;365;353;198;262;464;0;106;266;0;98;59;1;0;0;0;0;0;5662;117;23;2;0;0;142
"";"GAE1.1";206;160;162;109;22;0;33;73;83;48;110;87;0;1;35;0;6;1;0;0;0;0;0;0;1136;44;10;0;1;0;55
"Viszeralchirugie";"VIS1";754;396;355;496;87;1;108;179;172;90;156;130;0;120;186;0;8;4;0;0;0;1;0;0;3243;117;56;25;31;0;229
"";"VIS1.1";48;43;51;42;0;0;0;0;0;1;0;0;0;3;0;0;0;0;0;0;0;0;0;0;188;3;0;0;0;0;3
"";"VIS1.2";63;50;27;35;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;175;3;0;0;0;0;3
"";"VIS1.3";41;19;22;24;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;114;0;0;0;0;0;0
"";"VIS1.4";114;0;40;103;0;0;0;168;0;0;103;1;0;0;108;0;0;0;0;0;0;0;0;0;637;0;0;1;0;0;1
"";"VIS1.4.1";30;0;1;58;0;0;0;79;0;0;17;1;0;0;0;0;0;0;0;0;0;0;0;0;186;0;1;1;2;0;4
"";"VIS1.5";30;37;24;34;0;0;10;11;0;0;0;7;0;1;6;0;0;0;0;0;0;0;0;0;160;0;1;0;0;0;1
"Haematologie";"HAE1";301;48;26;29;1;0;11;13;5;9;4;14;0;187;13;0;9;3;0;0;0;0;1;0;674;2;0;0;0;0;2
"";"HAE1.1";147;5;0;0;0;0;0;0;0;0;0;0;0;21;0;0;0;0;0;0;0;0;0;0;173;0;0;0;0;0;0
"";"HAE2";663;206;130;117;17;0;88;61;62;36;70;61;1;9;36;3;19;26;1;0;0;1;10;0;1617;39;2;2;1;0;44
"";"HAE3";50;35;25;17;5;0;16;7;16;10;8;28;0;6;7;1;13;2;0;0;0;0;0;0;246;5;0;0;0;0;5
"";"HAE4";102;0;11;28;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;148;0;1;0;0;0;1
"";"HAE5";66;0;0;0;0;0;0;0;0;0;0;0;0;24;0;0;0;0;0;0;0;0;0;0;90;0;0;0;0;0;0
"Gefässe";"GEF1";85;146;65;99;0;0;1;12;0;0;1;0;1;1;0;3;0;0;0;0;0;0;0;0;414;24;17;0;1;0;42
"";"ANG1";560;322;117;166;18;0;0;35;35;2;0;66;0;4;7;2;0;0;0;0;0;0;0;0;1334;141;41;0;0;0;182
"";"GEFA";470;195;123;232;1;0;0;1;5;2;1;13;0;28;1;0;0;0;0;0;0;0;0;0;1072;41;26;0;3;0;70
"";"GEF3";90;35;39;64;0;0;0;12;1;2;0;0;0;1;0;0;0;0;1;0;0;0;0;0;245;6;2;0;0;0;8
