"Spitalname";"Anzahl bewertete Austritte";"Inlier in %";"High Outlier in %";"Low Outlier in %";"Verlegungsabschlag in %";"Unbewertete Austritte";"CMI"
"Universitätsspital Zürich";42992;79.2426497953108;6.70589877186453;11.841737997767;2.20971343505769;26;1.59283499283266
"Kantonsspital Winterthur";27901;82.2443640012903;4.73818142718899;11.4906275760725;1.52682699544819;13;1.0363706303686
"Stadtspital Triemli";24707;80.1028048731129;5.19690775893471;11.8549398955762;2.84534747237625;10;1.07292649925862
"Klinik Hirslanden";18799;77.6849832437896;6.68120644715144;14.766742911857;0.867067397201979;0;1.37794079438991
"See-Spital Standort Horgen";7223;84.4524435829988;5.30250588398173;7.8637685172366;2.38128201578292;2;0.839881350114688
"See-Spital Standort Kilchberg";2577;85.5646100116414;1.94024058983314;12.3011253395421;0.194024058983314;0;1.00127473708313
"Spital Uster";10313;83.719577232619;7.66023465528944;6.51604770677785;2.10414040531368;5;0.902138562112813
"Spital Limmattal";11425;81.671772428884;5.51422319474836;11.1072210065646;1.70678336980306;2;0.896722014249023
"Spital Bülach";10535;85.7332700522069;4.15757000474609;7.22354057902231;2.88561936402468;7;0.898997815437774
"Spital Zollikerberg";10727;90.1650041950219;3.26279481681738;4.67977999440664;1.89242099375408;4;0.864784933339797
"GZO AG Spital Wetzikon";10421;87.8514537952212;2.29344592649458;6.9762978600902;2.87880241819403;6;0.877732849379337
"Stadtspital Waid";8678;78.5780133671353;6.15349158792348;7.10993316432358;8.15856188061765;2;1.03173035096122
"Schulthess Klinik";7798;87.6506796614517;1.85945114131829;9.79738394460118;0.692485252628879;0;1.31301089302833
"Kinderspital Zürich";8313;73.9323950439071;6.80861301575845;17.4305304944064;1.82846144592806;0;1.47264995210211
"Spital Männedorf";8089;85.3133885523551;5.13042403263691;7.24440598343429;2.31178143157374;1;0.941400050133235
"Universitätsklinik Balgrist";5277;88.0045480386583;4.24483608110669;5.47659655107068;2.2740193291643;0;1.34578661270749
"Spital Affoltern";3377;79.1530944625407;1.89517323067812;7.52146875925378;11.4302635475274;2;0.952160495306071
"Paracelsus-Spital Richterswil";1867;89.3411890733798;1.87466523835029;5.24906266738082;3.53508302088913;1;0.765557049427942
"Limmatklinik";1540;84.9350649350649;0.12987012987013;14.6753246753247;0.25974025974026;0;0.853064280622578
"Klinik Lengg";897;91.6387959866221;4.57079152731327;3.45596432552954;0.334448160535117;0;1.28208806333335
"Uroviva Klinik für Urologie";1333;96.5491372843211;1.42535633908477;1.20030007501875;0.825206301575394;0;0.854884472339563
"Adus Medica";810;73.4567901234568;0;26.5432098765432;0;0;0.830237033668859
"Klinik Susenberg";217;39.63133640553;0.921658986175115;0.460829493087558;58.9861751152074;0;1.95703685627006
"Spitäler mit Zürcher Leistungsauftrag";225816;82.0681439756262;5.16881000460552;10.3464767775534;2.4165692422149;81;1.15755224116339
"Geburtshaus Zürcher Oberland";828;91.7874396135266;4.95169082125604;0.483091787439614;2.77777777777778;0;0.396019326729907
"Geburtshaus Delphys";524;85.3053435114504;0.572519083969466;3.81679389312977;10.3053435114504;0;0.385889316162535
"Geburtshäuser mit Zürcher Leistungsauftrag";1352;89.2751479289941;3.25443786982249;1.77514792899408;5.69526627218935;0;0.392093198373914
"Klinik Im Park";6058;69.7755034664906;5.15021459227468;23.9022779795312;1.17200396170353;0;1.2129899311839
"Privatklinik Bethanien";4176;80.5795019157088;6.58524904214559;12.3323754789272;0.502873563218391;16;0.999101770410164
"Klinik Lindberg";1399;77.9127948534668;6.14724803431022;14.2959256611866;1.64403145103645;0;1.05692851703196
"Klinik Pyramide am See";1573;64.1449459631278;2.67005721551176;33.0578512396694;0.127145581691036;0;0.91931214547809
"Klinik Tiefenbrunnen";88;59.0909090909091;0;40.9090909090909;0;0;0.776284103366462
"Spitäler ohne Zürcher Leistungsauftrag";13294;73.2887016699263;5.37836618023168;20.4528358658041;0.880096284037912;16;1.09173882936708
"Total Kanton Zürich";240462;81.6232918298941;5.16963179213348;10.8570169091166;2.35005946885579;97;1.14960992960368
"Spitäler Schaffhausen";9203;81.0279256764099;6.17190046723894;12.3329349125285;0.467238943822667;2;0.900135716735688
