"Spitalname";"BE";"LU";"UR";"SZ";"OW";"NW";"GL";"ZG";"FR";"SO";"BS";"BL";"SH";"AR";"AI";"SG";"GR";"AG";"TG";"TI";"VD";"VS";"NE";"GE";"JU";"Total andere Kantone";"ZH";"Ausland";"Total"
"Universitätsspital Zürich";309;423;50;1449;36;55;290;469;41;154;92;131;636;77;13;1234;576;2008;990;342;55;45;35;26;4;9540;32624;854;43018
"Kantonsspital Winterthur";25;18;2;39;2;1;15;13;8;14;11;7;1241;17;10;228;55;111;1221;29;10;5;2;2;1;3087;24642;185;27914
"Stadtspital Triemli";40;53;17;601;4;7;80;433;5;23;14;9;321;9;0;119;55;810;98;34;1;11;3;4;1;2752;21736;229;24717
"Klinik Hirslanden";126;201;22;640;15;29;69;298;16;70;29;54;220;31;13;602;256;981;247;218;27;51;3;13;5;4236;14003;560;18799
"See-Spital Standort Horgen";5;15;2;361;0;0;30;50;0;6;8;3;8;2;0;70;11;60;11;3;2;4;0;1;1;653;6518;54;7225
"See-Spital Standort Kilchberg";4;14;4;93;1;0;5;21;1;9;3;2;6;0;0;32;11;99;20;7;2;1;0;0;2;337;2233;7;2577
"Spital Uster";6;6;1;18;1;1;8;3;2;2;3;6;5;2;0;46;13;35;31;5;0;4;1;0;0;199;10056;63;10318
"Spital Limmattal";26;24;0;26;1;0;2;13;1;10;1;3;9;1;0;20;15;1495;4;10;5;2;0;2;1;1671;9690;66;11427
"Spital Bülach";14;12;0;9;1;2;1;1;2;12;5;3;107;0;0;25;12;122;29;5;4;1;3;1;0;371;9998;173;10542
"Spital Zollikerberg";11;13;2;80;2;5;9;16;1;6;10;2;20;4;0;93;13;119;29;13;1;8;1;0;0;458;10210;63;10731
"GZO AG Spital Wetzikon";7;4;0;48;0;1;9;7;1;10;0;3;8;0;0;273;10;18;41;8;1;1;0;0;0;450;9930;47;10427
"Stadtspital Waid";16;6;2;22;1;2;1;10;3;7;6;6;16;2;0;19;13;95;27;9;0;5;0;0;0;268;8343;69;8680
"Schulthess Klinik";64;123;24;267;19;12;69;138;15;65;13;25;132;16;2;272;140;794;253;292;43;54;7;6;2;2847;4688;263;7798
"Kinderspital Zürich";89;88;14;298;9;13;38;71;6;44;14;23;108;14;1;270;64;500;125;81;4;29;3;15;1;1922;6063;328;8313
"Spital Männedorf";4;12;1;105;0;2;15;7;0;6;1;3;11;1;0;1237;10;43;25;14;3;0;1;1;1;1503;6541;46;8090
"Universitätsklinik Balgrist";63;98;18;227;8;12;38;76;6;60;7;17;80;11;1;151;63;394;120;89;15;29;5;2;6;1596;3593;88;5277
"Spital Affoltern";12;28;1;17;0;0;3;173;3;5;4;2;1;0;0;2;1;203;1;1;1;3;1;0;0;462;2895;22;3379
"Paracelsus-Spital Richterswil";11;16;2;240;0;2;57;39;1;1;3;1;11;1;0;120;9;57;6;2;2;1;0;0;0;582;1274;12;1868
"Limmatklinik";10;13;1;30;2;1;7;12;1;7;4;2;6;1;0;28;18;125;8;15;2;1;1;1;1;297;1226;17;1540
"Klinik Lengg";27;56;6;21;6;3;11;24;2;16;14;26;21;1;3;60;30;89;44;7;0;3;0;0;0;470;414;13;897
"Uroviva Klinik für Urologie";3;2;1;21;1;0;0;1;0;1;0;1;26;0;0;0;1;19;5;3;0;2;0;0;0;87;1230;16;1333
"Adus Medica";3;3;0;2;0;1;1;17;0;2;0;4;5;0;0;7;2;85;2;3;0;0;0;0;0;137;672;1;810
"Klinik Susenberg";0;0;0;3;0;0;0;0;0;0;0;0;3;0;0;2;0;2;0;0;0;0;0;0;0;10;205;2;217
"Sune-Egge";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;4;3;0;0;0;0;0;0;9;116;0;125
"Spitäler mit Zürcher Leistungsauftrag";875;1228;170;4618;109;149;758;1892;115;530;242;333;3001;190;43;4911;1378;8268;3340;1190;178;260;66;74;26;33944;188900;3178;226022
"Geburtshaus Zürcher Oberland";0;0;0;12;0;0;2;0;0;0;3;0;8;2;0;101;2;2;44;0;0;0;0;2;0;178;650;0;828
"Geburtshaus Delphys";0;0;0;0;0;0;0;6;0;0;0;0;2;0;0;2;2;6;4;0;0;0;0;0;0;22;502;0;524
"Geburtshäuser mit Zürcher Leistungsauftrag";0;0;0;12;0;0;2;6;0;0;3;0;10;2;0;103;4;8;48;0;0;0;0;2;0;200;1152;0;1352
"Klinik Im Park";30;67;19;585;4;8;43;135;2;15;3;10;41;3;0;115;143;301;42;39;1;8;0;4;0;1618;4308;132;6058
"Privatklinik Bethanien";19;32;0;108;3;8;4;46;5;9;4;8;36;3;1;72;23;217;42;27;4;0;0;4;0;675;3491;26;4192
"Klinik Lindberg";4;1;19;6;1;0;2;3;0;2;0;0;51;1;1;13;6;6;128;1;0;0;0;0;0;245;1142;12;1399
"Klinik Pyramide am See";25;27;3;65;6;4;9;34;3;10;5;7;10;1;0;42;17;65;19;25;7;4;2;3;1;394;1078;101;1573
"Klinik Tiefenbrunnen";0;3;0;6;0;0;0;9;1;1;0;0;0;0;0;4;1;1;3;0;0;0;0;0;0;29;54;5;88
"Spitäler ohne Zürcher Leistungsauftrag";78;130;41;770;14;20;58;227;11;37;12;25;138;8;2;246;190;590;234;92;12;12;2;11;1;2961;10073;276;13310
"Total Kanton Zürich";953;1358;211;5400;123;169;818;2125;126;567;257;358;3149;200;45;5260;1572;8866;3622;1282;190;272;68;87;27;37105;200125;3454;240684
"Spitäler Schaffhausen";9;5;1;5;1;0;1;0;2;4;4;1;7412;1;1;25;11;18;387;6;2;3;1;1;0;7901;906;398;9205
