"Spitalname";"Zürich";"Winterthur";"Unterland";"Limmattal";"Linkes Seeufer";"Rechtes Seeufer";"Oberes Glattal";"Oberland";"Total"
"Universitätsspital Zürich";15009;1649;3666;2887;1393;1382;4240;1434;31660
"Kantonsspital Winterthur";267;20432;1989;100;34;71;1055;711;24659
"Stadtspital Triemli";15014;214;878;3645;1138;142;407;181;21619
"Klinik Hirslanden";5235;676;1203;1128;559;2008;2124;673;13606
"See-Spital Standort Horgen";1510;29;61;141;4785;31;53;20;6630
"See-Spital Standort Kilchberg";1234;34;138;219;543;52;124;40;2384
"Spital Uster";228;676;216;25;4;104;8067;823;10143
"Spital Limmattal";676;53;272;8368;36;10;74;18;9507
"Spital Bülach";221;260;8644;450;11;10;209;18;9823
"Spital Zollikerberg";4988;269;464;375;94;1282;2469;379;10320
"GZO AG Spital Wetzikon";144;349;56;27;27;174;1420;7673;9870
"Stadtspital Waid";6422;73;485;699;36;30;288;30;8063
"Schulthess Klinik";1596;362;607;510;242;432;694;367;4810
"Kinderspital Zürich";2301;330;814;603;280;378;771;351;5828
"Spital Männedorf";309;69;87;52;60;4754;289;714;6334
"Universitätsklinik Balgrist";1244;205;411;430;191;260;508;268;3517
"Spital Affoltern";247;2;5;2746;30;5;8;2;3045
"Paracelsus-Spital Richterswil";496;50;39;93;650;52;56;82;1518
"Limmatklinik";415;195;189;117;37;53;137;49;1192
"Klinik Lengg";119;58;48;43;19;22;58;33;400
"Uroviva Klinik für Urologie";131;22;733;76;14;4;29;3;1012
"Adus Medica";223;145;360;102;0;6;64;14;914
"Klinik Susenberg";124;4;9;7;5;19;24;4;196
"Sune-Egge";88;5;0;5;7;2;10;4;121
"Spitäler mit Zürcher Leistungsauftrag";58241;26161;21374;22848;10195;11283;23178;13891;187171
"Geburtshaus Zürcher Oberland";31;241;24;2;2;36;117;226;679
"Geburtshaus Delphys";370;18;18;30;10;11;20;2;479
"Geburtshäuser mit Zürcher Leistungsauftrag";401;259;42;32;12;47;137;228;1158
"Klinik Im Park";2316;127;276;437;943;246;302;79;4726
"Privatklinik Bethanien";1487;150;392;311;120;206;448;76;3190
"Klinik Lindberg";11;965;82;8;4;5;30;15;1120
"Klinik Pyramide am See";468;52;76;100;82;195;154;52;1179
"Klinik Tiefenbrunnen";11;2;3;4;3;2;5;3;33
"Spitäler ohne Zürcher Leistungsauftrag";4293;1296;829;860;1152;654;939;225;10248
"Total Kanton Zürich";62935;27716;22245;23740;11359;11984;24254;14344;198577
"Spitäler Schaffhausen";38;779;60;8;4;3;7;7;906
"Ausserkantonale Nicht-Listenspitäler";2328;2475;1029;2110;777;544;777;772;10812
"Total Zürcher PatientInnen";65301;30970;23334;25858;12140;12531;25038;15123;210295
