"Leistungsbereich";"SPLG";"Universitätsspital Zürich";"Kantonsspital Winterthur";"Stadtspital Triemli";"Klinik Hirslanden";"See-Spital Standort Horgen";"See-Spital Standort Kilchberg";"Spital Uster";"Spital Limmattal";"Spital Bülach";"Spital Zollikerberg";"GZO AG Spital Wetzikon";"Stadtspital Waid";"Schulthess Klinik";"Kinderspital Zürich";"Spital Männedorf";"Universitätsklinik Balgrist";"Spital Affoltern";"Paracelsus-Spital Richterswil";"Limmatklinik";"Klinik Lengg";"Uroviva Klinik für Urologie";"Adus Medica";"Klinik Susenberg";"Spitäler mit Zürcher Leistungsauftrag";"Klinik Im Park";"Privatklinik Bethanien";"Klinik Lindberg";"Klinik Pyramide am See";"Klinik Tiefenbrunnen";"Spitäler ohne Zürcher Leistungsauftrag";"Spitäler Schaffhausen";"Ausserkantonale Nicht-Listenspitäler"
"Basispaket";"BP";840;744;197;221;16;10;48;66;4097;53;26;306;26;547;30;55;4;9;44;4;131;75;7;7556;39;38;17;26;2;122;16;475
"Dermatologie";"DER1";29;6;2;2;1;0;1;4;9;0;0;0;0;13;2;0;0;0;0;0;0;0;0;69;0;0;0;0;1;1;0;1
"";"DER1.1";17;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19;0;0;0;0;0;0;0;
"";"DER1.2";1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1
"";"DER2";3;2;1;0;0;0;0;0;8;0;0;0;0;1;0;0;0;0;0;0;0;0;0;15;0;0;0;0;0;0;0;1
"Hals-Nasen-Ohren";"HNO1";113;16;0;6;1;0;4;0;33;0;0;2;0;29;1;1;0;0;15;0;0;74;0;295;2;0;1;3;0;6;2;15
"";"HNO1.1";65;7;2;3;0;0;0;2;14;0;0;3;0;6;0;0;0;0;5;0;0;6;0;113;0;5;0;1;0;6;0;2
"";"HNO1.1.1";4;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;
"";"HNO1.2";57;7;0;26;1;3;13;0;20;1;0;5;0;1;1;0;0;0;42;0;0;51;0;228;2;0;2;3;0;7;0;25
"";"HNO1.2.1";1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;
"";"HNO1.3";32;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;33;0;0;0;1;0;1;0;
"";"HNO1.3.1";;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;0;;1
"";"HNO1.3.2";4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;1
"";"HNO2";19;42;7;7;0;1;0;0;35;1;0;10;0;0;0;0;0;0;0;0;0;0;0;122;0;5;1;1;0;7;0;1
"";"KIE1";36;6;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;2;0;0;0;0;47;1;0;0;1;0;2;0;1
"Neurochirurgie";"NCH1";57;9;0;11;0;0;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0;0;89;1;1;0;0;0;2;0;3
"";"NCH1.1";10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;
"";"NCH1.1.1";20;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24;0;0;0;0;0;0;0;1
