"Leistungsbereich";"SPLG";"Universitätsspital Zürich";"Kantonsspital Winterthur";"Stadtspital Triemli";"Klinik Hirslanden";"See-Spital Standort Horgen";"See-Spital Standort Kilchberg";"Spital Uster";"Spital Limmattal";"Spital Bülach";"Spital Zollikerberg";"GZO AG Spital Wetzikon";"Stadtspital Waid";"Schulthess Klinik";"Kinderspital Zürich";"Spital Männedorf";"Universitätsklinik Balgrist";"Spital Affoltern";"Paracelsus-Spital Richterswil";"Limmatklinik";"Klinik Lengg";"Uroviva Klinik für Urologie";"Klinik Susenberg";"Sune-Egge";"Spitäler mit Zürcher Leistungsauftrag";"Klinik Im Park";"Privatklinik Bethanien";"Klinik Lindberg";"Klinik Pyramide am See";"Klinik Tiefenbrunnen";"Spitäler ohne Zürcher Leistungsauftrag";"Spitäler Schaffhausen";"Ausserkantonale Nicht-Listenspitäler"
"Basispaket";"BP";325;7;414;111;2685;65;0;8;7;21;14;17;13;167;18;33;20;223;0;0;1;3;7;4159;152;12;0;38;2;204;4;326
"Dermatologie";"DER1";19;0;0;0;8;0;0;1;0;0;0;0;0;2;3;1;0;2;0;0;0;0;0;36;0;0;0;0;0;0;0;
"";"DER1.1";20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;0;0;0;0;0;0;0;
"";"DER1.2";;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;0;;
"";"DER2";4;0;1;0;6;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;14;0;0;0;1;0;1;0;
"Hals-Nasen-Ohren";"HNO1";32;0;0;2;58;15;0;1;0;0;0;1;0;13;0;0;0;1;2;0;0;0;0;125;0;0;0;3;0;3;0;8
"";"HNO1.1";21;0;0;2;17;0;0;0;0;0;0;0;0;7;1;0;0;0;4;0;0;0;0;52;0;2;0;0;0;2;0;3
"";"HNO1.1.1";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;
"";"HNO1.2";20;0;0;8;57;7;0;0;0;1;0;2;0;1;2;0;0;1;4;0;0;0;0;103;0;2;0;3;0;5;0;10
"";"HNO1.2.1";0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;
"";"HNO1.3";14;0;0;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;0;0;0;0;0;0;0;
"";"HNO1.3.1";;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;0;;
"";"HNO1.3.2";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;
"";"HNO2";7;0;14;5;1;8;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;38;0;2;0;1;0;3;0;
"";"KIE1";16;3;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;23;1;0;0;2;0;3;0;6
"Neurochirurgie";"NCH1";29;0;0;8;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;38;0;0;0;0;0;0;0;
"";"NCH1.1";4;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;
"";"NCH1.1.1";5;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;
"";"NCH1.1.1.1";3;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;
"";"NCH1.1.2";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;
"";"NCH1.1.3";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;
"";"NCH2";;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;0;;
"";"NCH2.1";;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;0;;1
"";"NCH3";1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;
"Neurologie";"NEU1";9;0;6;2;21;0;0;0;0;0;0;2;0;5;0;0;0;0;0;3;0;0;0;48;0;0;0;0;0;0;0;5
"";"NEU2";5;0;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;10;2;0;0;0;0;2;0;
"";"NEU2.1";8;0;0;1;3;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;2;0;16;0;0;0;0;0;0;0;1
"";"NEU3";58;1;25;6;73;0;0;0;0;0;0;1;0;1;0;0;1;2;0;0;0;0;0;168;0;0;0;0;0;0;0;5
"";"NEU3.1";9;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0;0;0;0;0;0;0;
