"Tabelle A2.1 Personalbestand in VZÄ 2017 -- 2019";"Krankenhausstatistik KS Daten 2017-2019, Spitäler Schaffhausen Daten 2017-2018"
"Tabelle A2.2 Personalbestand in VZÄ nach Berufsgruppen 2019";"Krankenhausstatistik KS Daten 2019, Spitäler Schaffhausen Daten 2018"
"Tabelle A2.3 Beschäftigte am 31. Dezember 2019 nach Geschlecht, Diplomherkunft und Ausbildungsstatus";"Krankenhausstatistik KS Daten 2019, Spitäler Schaffhausen Daten 2018"
"Tabelle A3.1 Kostenverteilung nach Leistungsart 2019";"Krankenhausstatistik KS Daten 2019, Spitäler Schaffhausen Daten 2018"
"Tabelle A3.2 Betriebsaufwand in 1000 Fr. 2017 -- 2019";"Krankenhausstatistik KS Daten 2017-2019, Spitäler Schaffhausen Daten 2017-2018"
"Tabelle A3.3 Betriebsertrag in 1000 Fr. 2017 -- 2019";"Krankenhausstatistik KS Daten 2017-2019, Spitäler Schaffhausen Daten 2017-2018"
"Tabelle A4.1 Austritte Gesamtbetrieb 2017 -- 2019";"Medizinische Statistik MS / SDEP Daten 2017-2019, Spitäler Schaffhausen: Medizinische Statistik BFS Daten 2017-2018"
"Tabelle A4.2 Austritte nach Leistungsart 2019";"Medizinische Statistik MS / SDEP Daten 2019, Spitäler Schaffhausen: Medizinische Statistik BFS Daten 2018"
"Tabelle A4.3 Austritte Akutsomatik 2017 -- 2019";"Medizinische Statistik MS / SDEP Daten 2019, Spitäler Schaffhausen: Medizinische Statistik BFS Daten 2018"
"Tabelle A4.4 Austritte Akutsomatik nach SPLG 2019";"Medizinische Statistik MS / SDEP Daten 2019"
"Tabelle A4.5 Mindestfallzahl-Vorgaben und Austritte je SPLG 2019";"* inkl. VIS1.4<br>Medizinische Statistik MS / SDEP Daten 2019"
"Tabelle A4.6 Austritte und verschiedene Merkmale Akutsomatik 2019";"Medizinische Statistik MS / SDEP Daten 2019, Spitäler Schaffhausen: Medizinische Statistik BFS Daten 2018"
"Tabelle A4.7 Austritte nach SwissDRG-Merkmalen 2019";"Medizinische Statistik MS / SDEP Daten 2019, Spitäler Schaffhausen: Medizinische Statistik BFS Daten 2018"
"Tabelle A4.8 Austritte Akutsomatik nach Herkunftskanton 2019";"Medizinische Statistik MS / SDEP Daten 2019, Spitäler Schaffhausen: Medizinische Statistik BFS Daten 2018"
"Tabelle A4.9 Austritte Akutsomatik nach Wohnregion 2019";"Medizinische Statistik MS / SDEP Daten 2019, Spitäler Schaffhausen: Medizinische Statistik BFS Daten 2018"
"Tabelle A4.10 Austritte Akutsomatik nach Altersgruppe 2019";"Medizinische Statistik MS / SDEP Daten 2019, Spitäler Schaffhausen: Medizinische Statistik BFS Daten 2018"
"Tabelle A4.11 Pflegetage Akutsomatik 2017 -- 2019";"Medizinische Statistik PRISMA Daten 2017 -- 2019, Spitäler Schaffhausen: Medizinische Statistik BFS, Daten 2017 -- 2018"
"Tabelle A4.12 Mittlere Aufenthaltsdauer in Tagen Akutsomatik 2017 -- 2019";"Medizinische Statistik MS / SDEP Daten 2017-2019, Spitäler Schaffhausen: Medizinische Statistik BFS Daten 2017-2018"
"Tabelle A4.13 Bettenbestand 2017 -- 2019";"Krankenhausstatistik KS Daten 2017-2019, Spitäler Schaffhausen: Daten 2017-2018"
"Tabelle A4.14 Bettenbelegung 2017 -- 2019";"Bettenbetriebstage: Krankenhausstatistik KS Daten 2017 -- 2019, Pflegetage: Medizinische Statistik MS / SDEP Daten 2017-2019, Spitäler Schaffhausen: Medizinische Statistik BFS Daten 2017-2018"
"Tabelle A4.15 Anzahl Betten Akutsomatik pro Einwohner nach Wohnregion 2019";"Krankenhausstatistik KS, Kantonale Bevölkerungserhebung, Statistisches Amt des Kantons Zürich, Daten 2019"
"Tabelle A5.1 Austritte der Zürcher Wohnbevölkerung nach Kantonen 2017 -- 2018";"Medizinische Statistik BFS Daten 2017-2018"
"Tabelle A5.2 Austritte und verschiedene Merkmale der Zürcher Wohnbevölkerung nach Leistungsbereichen 2018";"Medizinische Statistik BFS Daten 2018"
"Tabelle A5.3.1 Zürcher Wohnbevölkerung nach Wohnregion 2018";"Kantonale Bevölkerungserhebungen, Statistisches Amt des Kantons Zürich, Daten 2018"
"Tabelle A5.3.2 Spitalhäufigkeit nach Wohnregion 2018";"Medizinische Statistik BFS, Kantonale Bevölkerungserhebungen, Statistisches Amt des Kantons Zürich, Daten 2018"
"Tabelle A5.4 Austritte der Zürcher Wohnbevölkerung nach Wohnregion und Behandlungsort 2018";"Medizinische Statistik BFS Daten 2018"
"Tabelle A5.5 Austritte der Zürcher Wohnbevölkerung nach SPLG 2018";"Medizinische Statistik BFS Daten 2018"
"Tabelle A5.5.1 Austritte der Bevölkerung mit Wohnregion Zürich nach SPLG 2018";"Medizinische Statistik BFS Daten 2018"
"Tabelle A5.5.2 Austritte der Bevölkerung mit Wohnregion Winterthur nach SPLG 2018";"Medizinische Statistik BFS Daten 2018"
"Tabelle A5.5.3 Austritte der Bevölkerung mit Wohnregion Unterland nach SPLG 2018";"Medizinische Statistik BFS Daten 2018"
