"Spitalname";"2018";"2019";"2020";"Änd. Vorjahr"
"Universitätsspital Zürich";6.60821917808219;6.5652750011623;6.49472186287193;-0.0705531382903759
"Kantonsspital Winterthur";4.97831220256476;4.8450598266103;4.7701235212897;-0.0749363053206062
"Stadtspital Triemli";5.08051926711034;5.00283205890682;4.83596978171042;-0.166862277196403
"Klinik Hirslanden";5.79007216269407;5.4227352518751;5.60493626254407;0.182201010668974
"See-Spital Standort Horgen";5.60261348005502;5.32304498269896;5.29202569324769;-0.0310192894512724
"See-Spital Standort Kilchberg";3.61342086068563;3.39503298409003;3.18520102651839;-0.209831957571636
"Spital Uster";5.6969696969697;5.57578988176003;5.15704196094724;-0.418747920812794
"Spital Limmattal";4.67239835214043;4.80729850354424;4.61871582289645;-0.188582680647784
"Spital Bülach";4.95527156549521;4.97600075886928;4.81397892225094;-0.16202183661834
"Spital Zollikerberg";5.00917941585536;4.96999347684279;4.84964421033176;-0.120349266511029
"GZO AG Spital Wetzikon";4.11997299643167;4.03337489210703;4.07045247494686;0.0370775828398271
"Stadtspital Waid";6.90188091529891;6.50034562211982;6.83501352348168;0.334667901361867
"Schulthess Klinik";4.62030598052851;4.16927417286484;4.02085777603963;-0.148416396825207
"Kinderspital Zürich";5.63969861660079;5.5158185973776;5.57553092026179;0.0597123228841863
"Spital Männedorf";5.3667573519886;5.22805933250927;5.13556067588326;-0.092498656626014
"Universitätsklinik Balgrist";5.42527602523659;5.20636725412166;5.05724838411819;-0.14911887000347
"Spital Affoltern";6.24683544303798;5.94288250961823;6.6109008327025;0.668018323084268
"Paracelsus-Spital Richterswil";4.57272315360218;4.28319057815846;4.20566419420094;-0.0775263839575144
"Limmatklinik";1.98295454545455;2.01753246753247;2.05235602094241;0.0348235534099408
"Klinik Lengg";6.20728929384966;5.67892976588629;5.71265678449259;0.0337270186063003
"Uroviva Klinik für Urologie";3.04276615104641;2.89122280570143;2.94646680942184;0.055244003720416
"Adus Medica";1.64689781021898;2.09506172839506;2.17096336499322;0.0759016365981537
"Klinik Susenberg";16.3961352657005;16.5483870967742;16.1306818181818;-0.417705278592376
"Sune-Egge";58.015625;42.752;42.9027777777778;0.150777777777776
"Spitäler mit Zürcher Leistungsauftrag";5.46650645839591;5.33625487784375;5.26057448092314;-0.0756803969206139
"Geburtshaus Zürcher Oberland";3.90070093457944;3.91545893719807;3.54303797468354;-0.372420962514524
"Geburtshaus Delphys";3.206;3.18702290076336;3.03358208955224;-0.15344081121112
"Geburtshäuser mit Zürcher Leistungsauftrag";3.64454277286136;3.63313609467456;3.33710407239819;-0.296032022276366
"Klinik Im Park";4.57381409782769;4.48118190822053;4.51235664674528;0.031174738524741
"Privatklinik Bethanien";4.36537440254912;4.51550572519084;4.37560738581147;-0.139898339379372
"Klinik Lindberg";4.1889367816092;4.36240171551108;4.52761747732894;0.165215761817858
"Klinik Pyramide am See";2.41546451240623;2.43038779402416;2.7084487534626;0.278060959438446
"Klinik Tiefenbrunnen";1.78688524590164;1.64772727272727;1.825;0.177272727272727
"Spitäler ohne Zürcher Leistungsauftrag";4.19250674247394;4.21840721262209;4.25444648880711;0.0360392761850257
"Total Kanton Zürich";5.38273041097271;5.26487012015755;5.19187598339783;-0.0729941367597169
"Spitäler Schaffhausen";5.45779467680608;5.38850063532402;;-0.0692940414820686
