"SPLG";"MFZ";"Universitätsspital Zürich";"Kantonsspital Winterthur";"Stadtspital Triemli";"Klinik Hirslanden";"See-Spital Standort Horgen";"See-Spital Standort Kilchberg";"Spital Uster";"Spital Limmattal";"Spital Bülach";"Spital Zollikerberg";"GZO AG Spital Wetzikon";"Stadtspital Waid";"Schulthess Klinik";"Kinderspital Zürich";"Spital Männedorf";"Universitätsklinik Balgrist";"Spital Affoltern";"Paracelsus-Spital Richterswil";"Klinik Lengg";"Uroviva Klinik für Urologie";"Adus Medica";"Spitäler mit Zürcher Leistungsauftrag";"Klinik Im Park";"Privatklinik Bethanien";"Klinik Lindberg";"Klinik Pyramide am See";"Spitäler ohne Zürcher Leistungsauftrag"
"DER1.1";"10";340;14;9;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;366;11;2;0;3;16
"HNO2";"10";158;194;168;210;0;20;15;47;68;51;30;1;0;0;11;0;0;0;0;0;0;973;8;40;0;23;71
"NCH1.1";"10";93;17;5;38;0;0;0;0;0;0;0;0;0;29;0;0;0;0;0;0;0;182;0;0;0;0;0
"NCH1.1.1";"10";369;1;0;158;0;0;0;0;0;0;0;0;0;8;0;1;0;0;0;0;0;537;0;0;0;0;0
"NCH1.1.1.1";"10";54;0;0;18;0;0;0;0;0;0;0;0;0;32;0;0;0;0;0;0;0;104;0;0;0;0;0
"NCH1.1.2";"20";59;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;59;0;0;0;0;0
"NCH1.1.3";"25";16;0;0;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;19;0;0;0;0;0
"NCH2.1";"10";5;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;7;0;0;0;0;0
"NEU3.1";"40";116;0;0;53;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;169;0;0;0;0;0
"NEU4";"10";51;0;0;31;0;0;0;0;0;0;0;0;0;8;0;0;0;0;463;0;0;553;0;0;0;0;0
"NEU4.1";"10";44;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;119;0;0;165;0;0;0;0;0
"VIS1.1";"12";60;56;55;50;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;222;2;0;0;0;2
"VIS1.2";"12";91;64;26;25;0;0;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;209;7;1;0;0;8
"VIS1.3";"12";32;21;17;51;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;129;0;1;0;0;1
"VIS1.4";"25";68;0;40;90;0;0;0;163;0;0;112;0;0;0;123;0;0;0;0;0;0;596;0;0;4;1;5
"VIS1.4.1";"25";36;0;0;43;2;0;0;81;0;0;11;0;0;0;0;0;0;0;0;0;0;173;0;0;1;3;4
"VIS1.5";"25";32;33;16;39;0;0;10;9;0;0;0;1;0;2;0;0;0;0;0;0;0;142;4;7;0;0;11
"HAE1.1";"10";167;0;2;7;0;0;0;0;0;0;0;0;0;20;0;0;0;0;0;0;0;196;0;0;0;0;0
"HAE4";"10";107;0;13;34;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;158;0;0;0;0;0
"GEF1";"10";177;152;105;135;0;0;2;29;0;1;0;5;0;4;0;3;0;0;0;0;0;613;31;8;1;0;40
"GEFA";"20";461;208;81;164;0;0;0;2;1;0;1;11;0;58;1;0;0;0;0;0;0;988;57;20;0;0;77
"GEF3";"10";88;35;36;72;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;238;9;4;0;0;13
"ANG3";"10";78;20;7;44;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;149;2;0;0;0;2
"HER1.1.1";"100";265;0;288;313;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;866;68;0;0;0;68
"HER1.1.2";"10";0;0;0;0;0;0;0;0;0;0;0;0;0;76;0;0;0;0;0;0;0;76;0;0;0;0;0
"KAR1.1.1";"10";672;12;229;298;1;0;0;0;0;0;0;0;0;96;0;1;0;0;0;0;0;1309;169;0;0;0;169
"URO1.1.1";"10";68;99;85;263;1;10;27;24;0;0;0;0;0;0;76;0;0;0;0;90;0;743;9;22;0;0;31
"URO1.1.2";"10";25;28;9;31;0;0;0;1;0;0;0;0;0;2;11;0;0;0;0;0;0;107;2;1;0;0;3
"URO1.1.3";"10";52;43;20;29;0;0;2;22;0;0;0;0;0;6;24;0;0;0;0;0;0;198;1;1;0;0;2
"PNE1.3";"10";211;6;0;2;0;0;2;1;1;0;2;0;0;21;1;0;0;0;0;0;0;247;0;0;0;0;0
"THO1.1";"30";127;86;56;45;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;315;4;10;0;0;14
"BEW7.1";"50";54;446;122;251;19;216;126;144;174;81;167;98;1024;0;106;391;0;0;0;0;25;3444;70;187;46;13;316
"BEW7.2";"50";0;289;174;274;10;267;117;157;140;76;143;0;823;1;111;236;0;0;0;0;45;2863;86;257;112;46;501
"BEW8.1";"10";80;23;3;69;3;0;0;0;0;113;0;0;71;14;1;116;2;0;0;0;0;495;26;8;1;1;36
"BEW9";"10";6;1;0;0;0;0;0;0;0;1;0;0;2;4;0;17;0;0;0;0;0;31;0;0;0;0;0
"GYNT";"20";101;54;49;53;1;2;2;34;20;22;26;0;0;0;0;0;0;1;0;0;0;365;15;6;1;4;26
"GYN2";"100";171;169;119;415;10;67;1;59;75;76;85;0;0;0;77;0;0;0;0;0;0;1324;81;83;11;104;279
