"Spitalname";"Anzahl bewertete Austritte";"Inlier in %";"High Outlier in %";"Low Outlier in %";"Verlegungsabschlag in %";"Unbewertete Austritte";"CMI der bewerteten Fälle"
"Universitätsspital Zürich";38577;81.5408144749462;6.38463333074112;9.97485548383752;2.09969671047515;34;1.64632231713444
"Kantonsspital Winterthur";26787;86.5830440138873;4.54698174487625;8.09721133385598;0.772762907380446;10;1.0462993265915
"Stadtspital Triemli";23952;82.4691048764195;4.90146960587842;9.72778891115565;2.90163660654643;7;1.10984377080603
"Klinik Hirslanden";18435;80.3200433957147;6.90534309736914;12.1128288581503;0.661784648765934;0;1.44547648452261
"See-Spital Standort Horgen";6382;87.4177373863993;5.750548417424;5.31181447821999;1.51989971795675;0;0.860961139750813
"See-Spital Standort Kilchberg";2337;89.6448438168592;2.01112537441164;8.25845100556269;0.0855798031664527;0;1.00114420799807
"Spital Uster";9624;87.8428927680798;6.12011637572735;4.94596841230258;1.09102244389027;4;0.900385701299605
"Spital Limmattal";11334;87.0389977060173;4.6232574554438;7.24369154755603;1.09405329098288;0;0.929344452009097
"Spital Bülach";10057;89.4004176195685;3.22163667097544;6.21457691160386;1.16336879785224;1;0.901329225732464
"Spital Zollikerberg";10817;91.263751502265;3.18942405472867;3.77184062124434;1.77498382176204;4;0.885485811095819
"GZO AG Spital Wetzikon";9871;91.0039509674805;2.92776820990781;4.17384256914193;1.89443825346976;4;0.891356195297034
"Stadtspital Waid";8134;82.5055323334153;6.39291861322842;4.11851487582985;6.98303417752643;0;1.08278030597492
"Schulthess Klinik";7671;88.8019814887238;1.83809151349237;8.62990483639682;0.730022161387042;0;1.32113688885816
"Kinderspital Zürich";7485;82.8189712758851;6.15898463593854;10.1937207748831;0.828323313293253;2;1.55974081692273
"Spital Männedorf";7777;88.8903176031889;5.27195576700527;4.68046804680468;1.15725858300116;0;0.960758004880272
"Universitätsklinik Balgrist";5415;89.7691597414589;3.63804247460757;4.41366574330563;2.17913204062789;0;1.39975401908572
"Spital Affoltern";2642;82.7024981074943;1.81680545041635;2.2331566994701;13.2475397426192;0;1.03826495187243
"Paracelsus-Spital Richterswil";1482;90.2159244264507;2.49662618083671;4.3859649122807;2.90148448043185;1;0.757636297966747
"Limmatklinik";1528;88.6125654450262;0.196335078534031;10.8638743455497;0.327225130890052;0;0.865831808757563
"Klinik Lengg";877;92.7023945267959;3.99087799315849;1.5963511972634;1.71037628278221;0;1.26936715756338
"Uroviva Klinik für Urologie";1401;96.0028551034975;2.42683797287652;0.92790863668808;0.642398286937901;0;0.887079220512439
"Adus Medica";737;91.7232021709634;0.135685210312076;8.14111261872456;0;0;0.902289019187399
"Klinik Susenberg";176;51.1363636363636;0.568181818181818;0;48.2954545454545;0;1.8315682050518
"Spitäler mit Zürcher Leistungsauftrag";213498;85.407825834434;4.91854724634423;7.77243814930351;1.90118876991822;67;1.18709452666414
"Geburtshaus Zürcher Oberland";774;87.4677002583979;3.10077519379845;4.65116279069767;4.78036175710594;16;0.370813950934767
"Geburtshaus Delphys";535;85.4205607476636;0.373831775700935;3.17757009345794;11.0280373831776;1;0.384171961373258
"Geburtshäuser mit Zürcher Leistungsauftrag";1309;86.6310160427808;1.98624904507257;4.0488922841864;7.33384262796028;17;0.376273489196488
"Klinik Im Park";6190;71.6962843295638;5.55735056542811;22.0678513731826;0.678513731825525;1;1.25615266222561
"Privatklinik Bethanien";4116;80.22351797862;9.20796890184645;10.0826044703596;0.485908649173955;0;0.998451896565736
"Klinik Lindberg";1213;86.3149216817807;6.59521846661171;6.51277823577906;0.577081615828524;0;1.07874360912758
"Klinik Pyramide am See";1444;70.5678670360111;2.90858725761773;26.3157894736842;0.207756232686981;0;0.976491692819093
"Klinik Tiefenbrunnen";80;67.5;1.25;31.25;0;0;0.81974999755621
"Spitäler ohne Zürcher Leistungsauftrag";13043;75.5961051905237;6.48623782872039;17.3656367400138;0.55202024074216;1;1.12469240110006
"Total Kanton Zürich";227850;84.8531928900592;4.99144173798552;8.30019749835418;1.85516787360105;85;1.17886421873446
"Spitäler Schaffhausen";9445;81.8422445738486;7.70778189518264;10.2488088935945;0.201164637374272;45;0.930616304453496
