"Leistungsbereich";"SPLG";"Universitätsspital Zürich";"Kantonsspital Winterthur";"Stadtspital Triemli";"Klinik Hirslanden";"See-Spital Standort Horgen";"See-Spital Standort Kilchberg";"Spital Uster";"Spital Limmattal";"Spital Bülach";"Spital Zollikerberg";"GZO AG Spital Wetzikon";"Stadtspital Waid";"Schulthess Klinik";"Kinderspital Zürich";"Spital Männedorf";"Universitätsklinik Balgrist";"Spital Affoltern";"Paracelsus-Spital Richterswil";"Limmatklinik";"Klinik Lengg";"Uroviva Klinik für Urologie";"Adus Medica";"Klinik Susenberg";"Sune-Egge";"Spitäler mit Zürcher Leistungsauftrag";"Klinik Im Park";"Privatklinik Bethanien";"Klinik Lindberg";"Klinik Pyramide am See";"Klinik Tiefenbrunnen";"Spitäler ohne Zürcher Leistungsauftrag";"Spitäler Schaffhausen";"Ausserkantonale Nicht-Listenspitäler"
"Basispaket";"BP";886;818;194;258;18;17;70;86;3971;48;27;287;39;582;24;59;12;8;33;2;136;54;11;2;7642;46;55;12;24;4;141;17;415
"Dermatologie";"DER1";25;5;0;2;0;0;0;0;5;0;0;1;0;4;0;0;0;0;0;0;0;0;0;0;42;0;0;0;0;0;0;0;2
"";"DER1.1";17;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;0;0;0;0;0;0;0;
"";"DER1.2";2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;
"";"DER2";6;2;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;1;0;0;0;0;1;0;
"Hals-Nasen-Ohren";"HNO1";68;6;0;5;1;0;6;2;62;0;0;3;0;33;1;0;0;0;19;0;0;24;0;0;230;0;1;0;4;0;5;0;14
"";"HNO1.1";54;10;0;1;0;1;0;3;21;0;0;1;0;7;0;0;0;0;7;0;0;0;0;0;105;1;3;0;1;0;5;0;1
"";"HNO1.1.1";5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;
"";"HNO1.2";48;11;0;17;4;1;10;0;54;1;0;4;0;3;1;0;0;0;79;0;0;19;0;0;252;0;0;4;6;0;10;0;9
"";"HNO1.2.1";4;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;
