"Leistungsbereich";"SPLG";"Universitätsspital Zürich";"Kantonsspital Winterthur";"Stadtspital Triemli";"Klinik Hirslanden";"See-Spital Standort Horgen";"See-Spital Standort Kilchberg";"Spital Uster";"Spital Limmattal";"Spital Bülach";"Spital Zollikerberg";"GZO AG Spital Wetzikon";"Stadtspital Waid";"Schulthess Klinik";"Kinderspital Zürich";"Spital Männedorf";"Universitätsklinik Balgrist";"Spital Affoltern";"Paracelsus-Spital Richterswil";"Limmatklinik";"Klinik Lengg";"Uroviva Klinik für Urologie";"Adus Medica";"Klinik Susenberg";"Sune-Egge";"Spitäler mit Zürcher Leistungsauftrag";"Klinik Im Park";"Privatklinik Bethanien";"Klinik Lindberg";"Klinik Pyramide am See";"Spitäler ohne Zürcher Leistungsauftrag";"Spitäler Schaffhausen";"Ausserkantonale Nicht-Listenspitäler"
"Basispaket";"BP";680;47;1098;223;22;24;19;3820;152;42;9;425;46;378;18;56;1561;13;15;1;10;24;3;8;8694;70;28;2;29;129;2;930
"Dermatologie";"DER1";23;1;4;1;0;0;0;11;0;0;0;0;0;5;0;0;2;0;0;0;0;0;0;0;47;0;0;0;0;0;0;2
"";"DER1.1";25;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27;2;0;0;0;2;0;1
"";"DER1.2";1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2
"";"DER2";3;0;1;0;0;0;0;4;0;0;0;1;0;0;0;0;2;0;0;0;0;0;0;0;11;0;0;0;1;1;0;
"Hals-Nasen-Ohren";"HNO1";97;2;2;2;2;9;0;42;3;0;0;6;0;22;1;0;22;0;27;0;0;5;0;0;242;0;1;0;2;3;0;32
"";"HNO1.1";75;0;0;1;1;2;0;5;4;0;0;2;0;13;0;0;1;0;6;0;0;1;0;0;111;0;2;0;2;4;0;16
"";"HNO1.1.1";8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;1
"";"HNO1.2";52;0;0;17;4;6;0;20;3;2;1;14;0;1;3;0;17;0;52;0;0;5;0;0;197;1;0;1;4;6;0;32
"";"HNO1.2.1";2;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;
"";"HNO1.3";31;0;0;0;0;0;0;3;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;35;0;0;0;0;0;0;21
"";"HNO1.3.1";;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;0;;
"";"HNO1.3.2";2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;
