"Leistungsbereich";"SPLG";"Universitätsspital Zürich";"Kantonsspital Winterthur";"Stadtspital Triemli";"Klinik Hirslanden";"See-Spital Standort Horgen";"See-Spital Standort Kilchberg";"Spital Uster";"Spital Limmattal";"Spital Bülach";"Spital Zollikerberg";"GZO AG Spital Wetzikon";"Stadtspital Waid";"Schulthess Klinik";"Kinderspital Zürich";"Spital Männedorf";"Universitätsklinik Balgrist";"Spital Affoltern";"Paracelsus-Spital Richterswil";"Limmatklinik";"Klinik Lengg";"Uroviva Klinik für Urologie";"Adus Medica";"Klinik Susenberg";"Sune-Egge";"Spitäler mit Zürcher Leistungsauftrag";"Klinik Im Park";"Privatklinik Bethanien";"Klinik Lindberg";"Klinik Pyramide am See";"Klinik Tiefenbrunnen";"Spitäler ohne Zürcher Leistungsauftrag";"Spitäler Schaffhausen";"Ausserkantonale Nicht-Listenspitäler"
"Basispaket";"BP";8319;9966;8416;3126;3514;315;4592;4229;4408;3222;4891;5480;364;3869;3151;599;1781;324;169;10;183;85;174;99;71286;873;507;358;326;41;2105;404;4651
"Dermatologie";"DER1";223;49;15;10;7;0;7;11;6;9;7;6;0;37;9;0;2;1;1;0;0;0;0;2;402;3;3;0;0;0;6;1;12
"";"DER1.1";192;11;9;3;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;218;6;0;0;1;0;7;0;3
"";"DER1.2";8;1;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;2
"";"DER2";44;13;8;5;3;0;6;4;1;3;1;8;0;4;2;3;3;0;0;0;0;0;0;3;111;6;0;0;2;0;8;0;2
"Hals-Nasen-Ohren";"HNO1";709;140;23;45;53;61;91;62;96;4;101;48;0;234;67;0;23;0;199;0;0;71;0;0;2027;9;22;2;30;0;63;13;237
"";"HNO1.1";527;70;10;34;15;3;5;15;32;0;11;27;0;86;9;0;1;0;57;0;0;2;0;0;904;11;34;3;10;0;58;1;62
"";"HNO1.1.1";37;2;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;1;0;0;0;0;0;43;0;0;0;0;0;0;0;2
"";"HNO1.2";421;102;0;181;126;24;128;22;85;19;97;58;0;12;58;0;18;1;374;0;0;98;0;0;1824;10;6;37;73;4;130;2;204
"";"HNO1.2.1";9;0;0;34;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;43;0;0;0;0;0;0;0;
"";"HNO1.3";325;5;0;3;0;0;0;7;0;4;0;0;0;5;0;0;0;0;0;0;0;0;0;0;349;0;16;0;3;0;19;0;39
"";"HNO1.3.1";4;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;2
"";"HNO1.3.2";39;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;45;0;0;0;0;0;0;0;2
"";"HNO2";144;146;112;146;1;16;22;27;65;65;21;17;0;0;9;0;0;0;0;0;0;0;0;0;791;1;28;1;9;0;39;3;43
"";"KIE1";265;49;1;3;0;1;2;2;1;0;0;2;0;23;1;0;0;1;24;0;0;1;2;0;378;4;2;0;5;0;11;0;15
"Neurochirurgie";"NCH1";519;89;0;198;0;0;0;0;1;0;0;0;1;68;0;0;0;0;4;0;0;0;0;0;880;5;5;0;4;0;14;0;32
"";"NCH1.1";47;3;4;23;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;79;0;0;1;0;0;1;0;9
"";"NCH1.1.1";149;3;0;58;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;212;0;0;0;0;0;0;0;4
"";"NCH1.1.1.1";15;0;0;11;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;27;0;0;0;0;0;0;0;2
"";"NCH1.1.2";28;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;28;1;0;0;0;0;1;0;
"";"NCH1.1.3";7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;
"";"NCH2";2;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;1
"";"NCH2.1";6;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;1
"";"NCH3";9;3;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;1;1;4;1;0;7;0;2
"Neurologie";"NEU1";176;83;73;71;20;0;58;43;25;15;55;18;0;92;30;0;9;1;0;29;0;0;0;0;798;1;0;0;0;0;1;4;48
"";"NEU2";57;19;14;14;8;0;13;14;5;2;11;11;0;1;8;0;3;1;0;0;0;0;2;0;183;2;1;0;0;0;3;1;7
"";"NEU2.1";57;11;6;17;2;0;3;7;11;0;6;2;0;37;1;0;1;1;0;0;0;0;1;0;163;0;1;0;0;0;1;1;5
"";"NEU3";595;416;359;344;63;0;168;152;101;51;155;134;0;5;92;1;31;0;0;0;0;0;2;1;2670;14;2;2;0;0;18;14;103
"";"NEU3.1";76;0;0;36;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;112;0;0;0;0;0;0;0;3
"";"NEU4";10;0;0;37;0;0;0;0;0;0;0;0;0;27;0;0;0;0;0;185;0;0;0;0;259;0;0;0;0;0;0;0;3
"";"NEU4.1";45;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26;0;0;0;0;71;0;0;0;0;0;0;0;1
"";"NEU4.2";34;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;158;0;0;0;0;199;0;0;0;0;0;0;0;6
"Ophthalmologie";"AUG1";171;48;17;0;0;0;0;0;0;0;0;1;0;6;0;0;0;0;3;0;0;0;0;0;246;11;0;0;6;0;17;0;18
"";"AUG1.1";37;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;46;0;0;0;0;0;0;0;
"";"AUG1.2";31;14;2;4;0;0;0;0;0;0;0;0;0;0;1;0;0;0;5;0;0;0;0;0;57;3;1;1;13;9;27;0;15
"";"AUG1.3";95;120;110;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;58;0;0;0;0;0;383;81;0;0;4;0;85;0;84
"";"AUG1.4";91;393;238;74;0;0;0;0;0;4;0;0;0;0;0;0;0;0;5;0;0;0;0;0;805;37;0;0;67;0;104;0;4
"";"AUG1.5";671;91;251;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;111;0;0;0;0;0;1125;31;0;0;1;0;32;0;75
"Endokrinologie";"END1";147;168;69;45;54;1;74;71;57;46;101;96;0;63;33;2;12;0;0;0;1;0;3;0;1043;1;5;1;0;0;7;10;39
"Gastroenterologie";"GAE1";650;679;566;356;201;0;514;331;340;189;243;458;0;76;229;0;90;44;1;0;0;0;0;0;4967;96;21;2;0;0;119;28;131
