"Spitalname";"Stationär";"Ambulant";"Langzeit";"übrige Aufträge";"Total"
"Universitätsspital Zürich";831049.812;430120.986;184.04;216972.019;1478326.857
"Kantonsspital Winterthur";333081.561;186480.115;4.766;23957.138;543523.58
"Stadtspital Triemli";321028.735;126760.618;3.5;49907.561;497700.414
"Klinik Hirslanden";442957.964;62192.058;1.598;18089.179;523240.799
"See-Spital";104145.225;19483.533;2.393;22457.438;146088.589
"Spital Uster";101627.419;43608.137;0;24649.527;169885.083
"Spital Limmattal";125861.884;59109.029;20.066;17367.299;202358.278
"Spital Bülach";109350.966;31428.215;0.678;14342.905;155122.764
"Spital Zollikerberg";127991.406;39684.384;0;4745.023;172420.813
"GZO AG Spital Wetzikon";100051.896;44795.904;0;5849.056;150696.856
"Stadtspital Waid";99782.569;40686.728;0.007;8439.939;148909.243
"Schulthess Klinik";146590.091;44520.225;0;11689.531;202799.847
"Kinderspital Zürich";151622.261;76941.568;0;64908.841;293472.67
"Spital Männedorf";96996.835;33857.353;0;13676.874;144531.062
"Universitätsklinik Balgrist";112070.855;46848.678;0;18355.266;177274.799
"Spital Affoltern";33033.748;10854.366;0;10457.718;54345.832
"Limmatklinik";15998.868;3867.906;0;163.425;20030.199
"Klinik Lengg";14428.678;4518.15;0;3489.283;22436.111
"Uroviva Klinik für Urologie";16849.299;966.913;0;1070.619;18886.831
"Adus Medica";8023.512;1301.793;0;140.14;9465.445
"Klinik Susenberg";4474.236;29.934;0;225.726;4729.896
"Sune-Egge";5694.727;1015.271;0;3492.74;10202.738
"Spitäler mit Zürcher Leistungsauftrag";3302712.547;1309071.864;217.048;534447.247;5146448.706
"Geburtshaus Zürcher Oberland";3346.436;423.503;0;237.652;4007.591
"Geburtshaus Delphys";2112.777;334.453;0;190.687;2637.917
"Geburtshäuser mit Zürcher Leistungsauftrag";5459.213;757.956;0;428.339;6645.508
"Klinik Im Park";144987.093;24754.011;8.595;5776.26;175525.959
"Privatklinik Bethanien";63837.413;3178.67;0;2674.027;69690.11
"Klinik Lindberg";21549.211;2601.676;0;1035.282;25186.169
"Klinik Pyramide am See";16751.706;176.119;0;113.094;17040.919
"Klinik Tiefenbrunnen";296.477;1185.909;0;9.004;1491.39
"Spitäler ohne Zürcher Leistungsauftrag";247421.9;31896.385;8.595;9607.667;288934.547
"Total Kanton Zürich";3555593.66;1341726.205;225.643;544483.253;5442028.761
"Spitäler Schaffhausen";94925.014;44324.439;0;3389.937;142639.39
