"Spitalname";"ambulant in %";"stationär in %";"Langzeitpflege in %";"übrige Aufträge in %"
"Universitätsspital Zürich";29.8814769191497;54.3120994367205;0.00219142296269168;15.8042322211671
"Kantonsspital Winterthur";33.7093396122959;60.3676940290288;0.000848766663550952;5.92211759201175
"Stadtspital Triemli";27.211824191254;59.2915553694067;0.00182764691552189;13.4947927924238
"Klinik Hirslanden";11.4674183096187;82.4183233956296;0.000715313837901934;6.11354298091381
"See-Spital";17.0664441506675;67.3072484700903;0.00505802272219751;15.6212493565201
"Spital Uster";28.4144342080968;58.4506873609085;0;13.1348784309948
"Spital Limmattal";34.0082391438994;57.0485755058651;0.0184470711134112;8.92473827912205
"Spital Bülach";26.1565125249885;63.1519772435895;0.000846184042664042;10.6906640473793
"Spital Zollikerberg";26.0449438749222;70.8177586628625;0;3.13729746221538
"GZO AG Spital Wetzikon";30.2928781694265;64.9650607196426;0;4.74206111093092
"Stadtspital Waid";29.2017212279812;61.7290493540502;0.0196341606188704;9.04959525734967
"Schulthess Klinik";31.8370583261442;57.2643931562996;0;10.8985485175562
"Kinderspital Zürich";28.3664596421975;52.3572549820799;0;19.2762853757226
"Spital Männedorf";29.4145049778851;60.0116902378791;0;10.5738047842358
"Universitätsklinik Balgrist";29.658345783935;58.0058202994625;0;12.3358339166025
"Spital Affoltern";27.0129371078164;55.0757104789558;0;17.9113524132278
"Limmatklinik";21.1940742213057;75.3426571295719;0;3.46326864912232
"Klinik Lengg";22.1236413782988;65.0426529484036;0;12.8337056732976
"Uroviva Klinik für Urologie";6.89665470666674;89.2525923463481;0;3.85075294698513
"Adus Medica";15.6953109457489;82.9333100438223;0;1.37137901042883
"Klinik Susenberg";0.947631185814296;93.3066006867883;0;5.74576812739738
"Sune-Egge";13.2604762011305;56.553493941872;0;30.1860298569975
"Spitäler mit Zürcher Leistungsauftrag";27.5966157952145;60.4979596429171;0.00249523151601706;11.9029293303524
"Geburtshaus Zürcher Oberland";11.5498280967153;84.8582487283928;0;3.59192317489194
"Geburtshaus Delphys";16.7614468246852;79.2463003244478;0;3.992252850867
"Geburtshäuser mit Zürcher Leistungsauftrag";13.6572690503867;82.5889250280822;0;3.7538059215311
"Klinik Im Park";16.7010076193722;77.8619659908769;0.00615697737176117;5.43086941237911
"Privatklinik Bethanien";7.74192733691326;85.0176104479341;0;7.24046221515267
"Klinik Lindberg";14.7844375054262;76.1003748516832;0;9.1151876428906
"Klinik Pyramide am See";1.16950808417981;98.3438368831418;0;0.486655032678426
"Klinik Tiefenbrunnen";79.999981495086;20.000018504914;0;0
"Spitäler ohne Zürcher Leistungsauftrag";13.5843480639666;80.4176475408335;0.00357418464808329;5.99443021055186
"Total Kanton Zürich";26.8341149149467;61.5846524238676;0.0025496624729956;11.5786829987128
"Spitäler Schaffhausen";33.2168716671699;62.9810351473327;0;3.80209318549743
