"Spitalname";"0-19";"0-19 in %";"20-39";"20-39 in %";"40-64";"40-64 in %";"65-79";"65-79 in %";"80+";"80+ in %";"Total"
"Universitätsspital Zürich";3696;9.36502305782192;8570;21.7148938326661;13096;33.1829929559621;9762;24.7352151218771;4342;11.0018750316728;39466
"Kantonsspital Winterthur";5042;17.9763262977752;4628;16.500285225328;6773;24.1478893325727;6934;24.7219053051911;4671;16.6535938391329;28048
"Stadtspital Triemli";3695;14.7599264999601;4641;18.5387872493409;6592;26.3321882240153;6008;23.9993608692179;4098;16.3697371574658;25034
"Klinik Hirslanden";1233;6.39058774748626;2510;13.0092256660102;6101;31.6212293977402;6475;33.5596558515601;2975;15.4193013372033;19294
"See-Spital Standort Horgen";1010;14.3731322043546;1648;23.4523978938381;1601;22.7835491674968;1254;17.8454532517433;1514;21.5454674825672;7027
"See-Spital Standort Kilchberg";88;3.42812621737437;400;15.5823918971562;1099;42.8126217374367;756;29.4507206856252;224;8.72613946240748;2567
"Spital Uster";1150;11.5915734300978;1933;19.4839229916339;2516;25.36034673924;2380;23.9895171857676;1942;19.5746396532608;9921
"Spital Limmattal";1325;10.9922017587523;2747;22.7891156462585;3318;27.5261324041812;2508;20.8063713290194;2156;17.8861788617886;12054
"Spital Bülach";1709;16.6715442395864;2345;22.8758169934641;2272;22.1636913471856;2031;19.8127011998829;1894;18.476246219881;10251
"Spital Zollikerberg";2609;22.5731095345215;3135;27.1240699082886;2171;18.7835265616889;1757;15.2015919709292;1886;16.3177020245717;11558
"GZO AG Spital Wetzikon";1124;11.227649585456;2057;20.5473978623514;2687;26.8404754769753;2353;23.504145440016;1790;17.8803316352013;10011
"Stadtspital Waid";111;1.34790528233151;901;10.9411050394657;2124;25.792349726776;2125;25.8044930176078;2974;36.1141469338191;8235
"Schulthess Klinik";595;7.43378310844578;1132;14.1429285357321;3239;40.4672663668166;2405;30.0474762618691;633;7.90854572713643;8004
"Kinderspital Zürich";8021;99.8879202988792;9;0.112079701120797;0;0;0;0;0;0;8030
"Spital Männedorf";796;9.75012248897599;1432;17.5404213620774;2272;27.8294953454189;1957;23.9710926016658;1707;20.9088682018618;8164
"Universitätsklinik Balgrist";327;5.29468911917098;1270;20.5634715025907;2604;42.1632124352332;1523;24.6599740932642;452;7.31865284974093;6176
"Spital Affoltern";73;2.90836653386454;208;8.28685258964143;662;26.3745019920319;766;30.5179282868526;801;31.9123505976096;2510
"Limmatklinik";357;19.3391115926327;707;38.2990249187432;596;32.2860238353196;146;7.90899241603467;40;2.16684723726977;1846
"Klinik Lengg";193;20.7303974221267;343;36.8421052631579;317;34.0494092373792;64;6.87432867883996;14;1.50375939849624;931
"Uroviva Klinik für Urologie";21;1.42372881355932;138;9.35593220338983;564;38.2372881355932;571;38.7118644067797;181;12.271186440678;1475
"Adus Medica";40;4.9813200498132;229;28.5180572851806;407;50.6849315068493;111;13.8231631382316;16;1.99252801992528;803
"Klinik Susenberg";0;0;1;0.510204081632653;11;5.61224489795918;67;34.1836734693878;117;59.6938775510204;196
"Sune-Egge";4;2.23463687150838;43;24.0223463687151;126;70.391061452514;6;3.35195530726257;0;0;179
"Spitäler mit Zürcher Leistungsauftrag";33219;14.9783569302913;41027;18.4989629362431;61148;27.5714672197673;51959;23.4281720624042;34427;15.5230408512941;221780
"Geburtshaus Zürcher Oberland";477;48.7231869254341;486;49.6424923391216;16;1.63432073544433;0;0;0;0;979
"Geburtshaus Delphys";294;48.7562189054726;298;49.4195688225539;11;1.82421227197347;0;0;0;0;603
"Geburtshäuser mit Zürcher Leistungsauftrag";771;48.7357774968394;784;49.5575221238938;27;1.70670037926675;0;0;0;0;1582
"Klinik Im Park";592;9.44479897894065;784;12.5079770261646;1567;25;2129;33.9661774090619;1196;19.0810465858328;6268
"Privatklinik Bethanien";543;13.0843373493976;837;20.1686746987952;1170;28.1927710843373;1196;28.8192771084337;404;9.73493975903614;4150
"Klinik Lindberg";34;2.36768802228412;154;10.7242339832869;530;36.908077994429;512;35.6545961002786;206;14.3454038997214;1436
"Klinik Pyramide am See";54;3.44607530312699;251;16.0178685386088;730;46.5858328015316;410;26.1646458200383;122;7.78557753669432;1567
"Klinik Tiefenbrunnen";1;1.51515151515152;17;25.7575757575758;40;60.6060606060606;8;12.1212121212121;0;0;66
"Spitäler ohne Zürcher Leistungsauftrag";1224;9.07540594646697;2043;15.1479202194706;4037;29.9325276191888;4255;31.5488989397197;1928;14.2952472751539;13487
"Total Kanton Zürich";35214;14.8677005180516;43854;18.5155943238097;65212;27.5331540348492;56214;23.7341090737136;36355;15.3494420495759;236849
"Spitäler Schaffhausen";1159;12.4878784613727;1791;19.2974894946665;2319;24.9865316237474;2201;23.7151169055059;1811;19.5129835147075;9281
