"SPLG";"MFZ";"Universitätsspital Zürich";"Kantonsspital Winterthur";"Stadtspital Triemli";"Klinik Hirslanden";"See-Spital Standort Horgen";"See-Spital Standort Kilchberg";"Spital Uster";"Spital Limmattal";"Spital Bülach";"Spital Zollikerberg";"GZO AG Spital Wetzikon";"Stadtspital Waid";"Schulthess Klinik";"Kinderspital Zürich";"Spital Männedorf";"Universitätsklinik Balgrist";"Spital Affoltern";"Klinik Lengg";"Uroviva Klinik für Urologie";"Adus Medica";"Spitäler mit Zürcher Leistungsauftrag";"Klinik Im Park";"Privatklinik Bethanien";"Klinik Lindberg";"Klinik Pyramide am See";"Spitäler ohne Zürcher Leistungsauftrag"
"DER1.1";"10";347;13;1;4;0;0;0;2;0;1;0;0;0;1;0;0;0;0;0;0;369;5;1;0;6;12
"HNO2";"10";203;184;185;273;0;20;26;77;80;57;10;1;0;0;11;0;0;0;0;0;1127;16;38;3;34;91
"NCH1.1";"10";100;12;3;31;0;0;0;0;1;0;0;0;0;42;0;0;0;0;0;0;189;0;0;0;0;0
"NCH1.1.1";"10";378;2;0;145;0;0;0;1;0;0;0;0;0;6;0;0;0;0;0;0;532;0;0;0;0;0
"NCH1.1.1.1";"10";72;0;0;20;0;0;0;0;0;0;0;0;0;39;0;0;0;0;0;0;131;0;0;0;0;0
"NCH1.1.2";"20";88;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;88;0;0;0;0;0
"NCH1.1.3";"25";13;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;15;0;0;0;0;0
"NCH2.1";"10";5;0;0;4;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;10;0;0;0;0;0
"NEU3.1";"40";140;0;0;47;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;187;0;0;0;0;0
"NEU4";"10";80;0;0;24;0;0;0;0;0;0;0;0;0;3;0;0;0;456;0;0;563;0;0;0;0;0
"NEU4.1";"10";38;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;183;0;0;221;0;0;0;0;0
"VIS1.1";"12";60;41;48;46;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;196;7;0;0;0;7
"VIS1.2";"12";58;51;26;39;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;175;8;0;0;0;8
"VIS1.3";"12";27;24;16;34;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;109;1;0;0;0;1
"VIS1.4";"25";76;2;82;132;1;0;0;227;0;0;108;0;0;0;125;0;0;0;0;0;753;0;0;1;1;2
"VIS1.4.1";"25";42;0;2;33;0;0;0;96;1;0;24;0;0;0;0;0;0;0;0;0;198;0;0;0;0;0
"VIS1.5";"25";32;57;21;35;0;0;4;8;0;0;0;0;0;1;0;0;0;0;0;0;158;4;2;0;1;7
"HAE1.1";"10";184;3;0;4;0;0;0;0;0;0;0;0;0;30;0;0;0;0;0;0;221;0;0;0;0;0
"HAE4";"10";96;0;11;39;0;0;0;0;0;0;0;0;0;16;0;0;0;0;0;0;162;0;0;0;0;0
"HAE5";"0";66;0;0;0;0;0;0;0;0;0;0;0;0;30;0;0;0;0;0;0;96;0;0;0;0;0
"GEF1";"10";189;185;83;129;1;0;0;28;0;0;2;1;1;3;0;9;0;0;0;0;631;37;10;0;1;48
"GEFA";"20";443;203;96;158;0;0;0;5;2;2;0;6;0;51;0;0;0;0;0;0;966;51;11;0;0;62
"GEF3";"10";75;34;38;84;0;0;0;13;0;0;0;0;0;0;0;0;0;0;0;0;244;9;0;0;0;9
"ANG3";"10";101;27;14;39;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;181;1;0;0;0;1
"HER1.1.1";"100";326;0;332;334;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;994;71;0;0;0;71
"HER1.1.2";"10";0;0;0;0;0;0;0;0;0;0;0;0;0;73;0;0;0;0;0;0;73;0;0;0;0;0
"KAR1.1.1";"10";605;16;304;427;2;0;0;0;0;0;1;1;0;105;3;0;0;0;0;0;1464;193;1;0;0;194
"URO1.1.1";"10";73;92;86;288;0;4;39;39;0;0;0;0;0;0;106;0;0;0;105;0;832;2;27;1;0;30
"URO1.1.2";"10";32;27;22;39;1;0;1;0;0;0;0;0;0;0;12;0;0;0;0;0;134;2;2;0;1;5
"URO1.1.3";"10";37;39;25;38;0;0;15;18;0;0;0;1;0;3;24;0;0;0;0;0;200;1;5;0;0;6
"PNE1.3";"10";258;2;1;0;0;0;0;0;0;0;0;0;0;25;0;0;0;0;0;0;286;0;0;0;0;0
"THO1.1";"30";121;86;69;58;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;334;6;14;0;0;20
"BEW7.1";"50";62;437;133;256;15;228;128;115;184;77;180;101;1185;0;134;403;0;0;0;18;3656;60;175;92;16;343
"BEW7.2";"50";0;283;143;305;9;276;125;152;124;82;160;2;822;1;156;292;3;0;0;41;2976;66;211;160;54;491
"BEW8.1";"10";64;16;3;70;4;1;0;0;0;79;0;0;68;12;1;104;0;0;0;0;422;31;6;4;1;42
"BEW9";"10";5;2;0;2;0;0;0;0;0;0;0;0;0;3;0;14;0;0;0;0;26;0;0;0;0;0
"BEW10";"10";9;1;0;3;0;0;0;0;0;0;0;0;3;2;0;9;0;0;0;0;27;1;5;18;61;85
"GYNT";"20";97;52;62;66;1;1;1;19;27;23;26;0;0;1;1;0;0;0;0;0;377;3;7;0;1;11
"GYN2";"100";169;191;127;402;1;85;0;45;62;105;76;0;0;0;59;0;0;0;0;0;1322;81;88;7;119;295
