"Spitalname";"Anzahl bewertete Austritte";"Inlier in %";"High Outlier in %";"Low Outlier in %";"Verlegungsabschlag in %";"Unbewertete Austritte";"CMI der bewerteten Fälle"
"Universitätsspital Zürich";39362;81.4389512728012;6.24206087089071;10.4745693816371;1.844418474671;48;1.64820849983759
"Kantonsspital Winterthur";28042;85.7856073033307;4.5966764139505;8.71906426075173;0.89865202196705;6;1.04189865132871
"Stadtspital Triemli";25028;81.9442224708327;5.82547546747643;9.75307655425923;2.47722550743168;6;1.11724648357601
"Klinik Hirslanden";19293;78.1267817343078;7.2928004975898;14.0620950603846;0.518322707717825;1;1.45052215690563
"See-Spital Standort Horgen";7023;87.854193364659;5.49622668375338;4.99786416061512;1.65171579097252;0;0.875346575726408
"See-Spital Standort Kilchberg";2562;89.6174863387978;1.4832162373146;8.78220140515223;0.117096018735363;0;1.00491997656601
"Spital Uster";9921;90.2731579477875;3.73954238484024;4.3745590162282;1.61274065114404;0;0.900109664641306
"Spital Limmattal";12048;87.7075033200531;4.55677290836653;6.67330677290837;1.06241699867198;0;0.911562166852656
"Spital Bülach";10245;90.0732064421669;3.31869204489995;5.46608101512933;1.14202049780381;6;0.945934503981839
"Spital Zollikerberg";11553;91.9414870596382;2.91699125768199;3.37574655933524;1.76577512334459;5;0.904283299848681
"GZO AG Spital Wetzikon";10003;90.8727381785464;3.12906128161552;3.51894431670499;2.47925622313306;1;0.898355890765949
"Stadtspital Waid";8235;81.4571948998178;6.6909532483303;3.71584699453552;8.13600485731633;0;1.07707103855623
"Schulthess Klinik";8004;88.6681659170415;1.8615692153923;8.93303348325837;0.537231384307846;0;1.31747862324491
"Kinderspital Zürich";8030;83.7235367372354;6.3013698630137;9.06600249066002;0.909090909090909;0;1.49222814356943
"Spital Männedorf";8125;89.3292307692308;4.86153846153846;4.43076923076923;1.37846153846154;0;0.969594091002758
"Universitätsklinik Balgrist";6176;89.1353626943005;4.6470207253886;4.5660621761658;1.65155440414508;0;1.42001343747707
"Spital Affoltern";2509;80.4703068951774;2.7102431247509;2.47110402550817;14.3483459545636;1;1.08047549087434
"Limmatklinik";1846;84.8862405200433;0.37919826652221;14.409534127844;0.325027085590466;0;0.824603466419977
"Klinik Lengg";931;94.1997851772288;5.15574650912997;0.537056928034372;0.107411385606874;0;1.31078625423183
"Uroviva Klinik für Urologie";1475;94.5762711864407;4.47457627118644;0.271186440677966;0.677966101694915;0;0.884774234436326
"Adus Medica";799;93.116395494368;0.125156445556946;6.75844806007509;0;0;0.937954953040587
"Klinik Susenberg";196;55.6122448979592;0.510204081632653;0.510204081632653;43.3673469387755;0;1.74745917791615
"Spitäler mit Zürcher Leistungsauftrag";221406;85.1941681797241;4.97908819092527;7.95868223986703;1.86806138948357;74;1.19100671925346
"Geburtshaus Zürcher Oberland";979;88.5597548518897;2.75791624106231;1.83861082737487;6.84371807967314;0;0.371284982157192
"Geburtshaus Delphys";603;88.2255389718076;0.33167495854063;2.81923714759536;8.62354892205638;0;0.379414590931255
"Geburtshäuser mit Zürcher Leistungsauftrag";1582;88.4323640960809;1.83312262958281;2.21238938053097;7.52212389380531;0;0.374383688914942
"Klinik Im Park";6268;71.8730057434588;6.09444798978941;20.8838544990428;1.148691767709;0;1.27690666606121
"Privatklinik Bethanien";4090;79.5110024449878;8.94865525672372;11.1491442542787;0.39119804400978;60;0.983181169326702
"Klinik Lindberg";1436;88.0222841225627;5.98885793871866;5.50139275766017;0.487465181058496;0;1.06631684338565
"Klinik Pyramide am See";1567;71.4103382259094;1.97830248883216;26.2922782386726;0.319081046585833;0;0.979144859652498
"Klinik Tiefenbrunnen";66;63.6363636363636;0;36.3636363636364;0;0;0.867242436517369
"Spitäler ohne Zürcher Leistungsauftrag";13427;75.8322782453266;6.44224324123036;16.9807105086765;0.744768004766515;60;1.12814857737434
"Total Kanton Zürich";236415;84.6841359473807;5.04113529175391;8.43262906329971;1.84209969756572;134;1.1819722083087
"Spitäler Schaffhausen";9205;87.3546985334058;5.68169473112439;6.71374253123303;0.249864204236828;4;0.941162956588978
