"Spitalname";"Zürich";"Winterthur";"Unterland";"Limmattal";"Linkes Seeufer";"Rechtes Seeufer";"Oberes Glattal";"Oberland";"Ausserkantonal/Ausland";"Total"
"Universitätsspital Zürich";13850;1535;3557;2994;1350;1364;3925;1538;9353;39466
"Kantonsspital Winterthur";290;20120;2277;136;30;59;1088;778;3270;28048
"Stadtspital Triemli";14477;295;1104;3797;1223;171;536;162;3269;25034
"Klinik Hirslanden";5709;697;1251;1108;655;1963;2159;712;5040;19294
"See-Spital Standort Horgen";1535;23;71;145;4429;31;57;35;701;7027
"See-Spital Standort Kilchberg";991;38;109;167;718;41;83;39;381;2567
"Spital Uster";260;669;335;48;19;105;7402;830;253;9921
"Spital Limmattal";918;72;337;8747;62;14;90;27;1787;12054
"Spital Bülach";267;268;8518;444;2;13;281;19;439;10251
"Spital Zollikerberg";5057;354;615;390;136;1239;2695;502;570;11558
"GZO AG Spital Wetzikon";150;320;62;29;14;177;1337;7385;537;10011
"Stadtspital Waid";6120;83;613;643;67;32;341;30;306;8235
"Schulthess Klinik";1589;334;555;544;239;403;709;395;3236;8004
"Kinderspital Zürich";2255;385;778;617;311;363;720;410;2191;8030
"Spital Männedorf";406;81;123;88;70;4668;373;834;1521;8164
"Universitätsklinik Balgrist";1484;290;498;539;189;262;606;348;1960;6176
"Spital Affoltern";194;3;8;1833;42;2;10;5;413;2510
"Limmatklinik";537;216;182;152;40;37;140;41;501;1846
"Klinik Lengg";149;63;43;53;14;26;44;34;505;931
"Uroviva Klinik für Urologie";192;38;842;112;27;18;106;7;133;1475
"Adus Medica";118;5;248;131;10;5;43;9;234;803
"Klinik Susenberg";112;5;10;5;17;21;16;2;8;196
"Sune-Egge";116;5;9;17;7;0;10;3;12;179
"Spitäler mit Zürcher Leistungsauftrag";56776;25899;22145;22739;9671;11014;22771;14145;36620;221780
"Geburtshaus Zürcher Oberland";82;270;34;11;6;59;122;207;188;979
"Geburtshaus Delphys";452;19;23;41;18;10;14;0;26;603
"Geburtshäuser mit Zürcher Leistungsauftrag";534;289;57;52;24;69;136;207;214;1582
"Klinik Im Park";2337;97;246;407;836;219;216;57;1853;6268
"Privatklinik Bethanien";1478;168;475;273;133;213;583;95;732;4150
"Klinik Lindberg";21;1026;71;4;5;7;48;11;243;1436
"Klinik Pyramide am See";416;43;87;77;52;170;118;49;555;1567
"Klinik Tiefenbrunnen";15;1;3;1;0;10;2;4;30;66
"Spitäler ohne Zürcher Leistungsauftrag";4267;1335;882;762;1026;619;967;216;3413;13487
"Total Kanton Zürich";61577;27523;23084;23553;10721;11702;23874;14568;40247;236849
"Spitäler Schaffhausen";23;788;68;4;5;4;15;11;8363;9281
