"Leistungsbereich";"SPLG";"Universitätsspital Zürich";"Kantonsspital Winterthur";"Stadtspital Triemli";"Klinik Hirslanden";"See-Spital Standort Horgen";"See-Spital Standort Kilchberg";"Spital Uster";"Spital Limmattal";"Spital Bülach";"Spital Zollikerberg";"GZO AG Spital Wetzikon";"Stadtspital Waid";"Schulthess Klinik";"Kinderspital Zürich";"Spital Männedorf";"Universitätsklinik Balgrist";"Spital Affoltern";"Paracelsus-Spital Richterswil";"Limmatklinik";"Klinik Lengg";"Uroviva Klinik für Urologie";"Adus Medica";"Sune-Egge";"Spitäler mit Zürcher Leistungsauftrag";"Klinik Im Park";"Privatklinik Bethanien";"Klinik Lindberg";"Klinik Pyramide am See";"Klinik Tiefenbrunnen";"Spitäler ohne Zürcher Leistungsauftrag";"Spitäler Schaffhausen";"Ausserkantonale Nicht-Listenspitäler"
"Basispaket";"BP";286;7889;54;89;11;5;160;18;71;25;111;27;9;147;21;24;3;6;4;1;6;0;6;8973;16;20;262;18;1;317;311;762
"Dermatologie";"DER1";15;22;0;0;0;0;0;0;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;40;0;0;1;0;0;1;1;4
"";"DER1.1";19;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;0;0;0;0;0;0;0;2
"";"DER1.2";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;
"";"DER2";2;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;0;0;1;0;0;1;0;
"Hals-Nasen-Ohren";"HNO1";50;107;0;2;0;0;1;0;20;0;0;1;0;8;0;0;0;0;24;0;0;0;0;213;0;1;6;1;0;8;3;161
"";"HNO1.1";35;63;0;2;1;0;0;0;9;0;0;1;0;16;0;0;0;1;9;0;0;0;0;137;0;0;2;0;0;2;2;14
"";"HNO1.1.1";7;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;1
"";"HNO1.2";41;68;0;6;2;0;4;0;12;1;0;1;0;0;0;0;0;0;122;0;0;1;0;258;0;0;25;0;1;26;1;101
"";"HNO1.2.1";0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;
