"Spitalname";"Ärztinnen und Ärzte";"Pflegepersonal";"Medizinisches Personal";"Administrativpersonal";"Hausdienstpersonal";"Technische Dienste";"Total"
"Universitätsspital Zürich";1411.566;2178.079;1118.043;1326.056;669.054;204.298;6907.096
"Kantonsspital Winterthur";513.934;1185.867;371.819;497.542;240.572;47.87;2857.604
"Stadtspital Triemli";446.462;818.523;325.1;474.942;278.42;81.25;2424.697
"Klinik Hirslanden";110.62;651.059;193.425;222.626;199.714;21.43;1398.874
"See-Spital";93.338;217.359;85.333;97.838;97.642;11.83;603.34
"Spital Uster";144.986;339.817;76.196;140.006;99.112;13.436;813.553
"Spital Limmattal";186.978;321.008;142.642;162.222;157.042;13.19;983.082
"Spital Bülach";132.764;343.315;125.085;124.646;82.498;11.028;819.336
"Spital Zollikerberg";154.624;370.201;101.717;147.272;77.47;12.698;863.982
"GZO AG Spital Wetzikon";110.108;262.689;71.788;130.63;71.594;12.32;659.129
"Stadtspital Waid";141.9;348.585;108.645;88.376;96.74;13.19;797.436
"Schulthess Klinik";125.384;178.349;140.249;242.958;92.912;11.47;791.322
"Kinderspital Zürich";326.218;657.638;335.434;289.14;101.628;24.726;1734.784
"Spital Männedorf";102.27;264.305;94.13;127.062;86.844;9.7;684.311
"Universitätsklinik Balgrist";136.876;256.278;176.106;218.202;119.01;13.61;920.082
"Spital Affoltern";44.748;132.972;34.636;57.412;60.858;6.954;337.58
"Limmatklinik";0;20.761;4.6;2.46;3.33;1.04;32.191
"Klinik Lengg";29.34;81.213;92.95;24.112;0;0;227.615
"Uroviva Klinik für Urologie";2.97;22.84;3.7;21.392;13.544;2.92;67.366
"Adus Medica";4.84;12.424;3.99;5.93;0;0;27.184
"Klinik Susenberg";5.696;36.22;9.524;6.65;14.8;1;73.89
"Sune-Egge";5.024;15.382;5.5;5.02;11.55;1.6;44.076
"Spitäler mit Zürcher Leistungsauftrag";4230.646;8714.884;3620.612;4412.494;2574.334;515.56;24068.53
"Geburtshaus Zürcher Oberland";0;0.045;16.334;2.592;5.064;0;24.035
"Geburtshaus Delphys";0;0;7.65;1.37;2.87;0;11.89
"Geburtshäuser mit Zürcher Leistungsauftrag";0;0.045;23.984;3.962;7.934;0;35.925
"Klinik Im Park";29.63;192.774;72.551;73.1;89.27;9.25;466.575
"Privatklinik Bethanien";0;92.76;37.366;20.04;31.488;4.8;186.454
"Klinik Lindberg";0;52.797;12.7;14.75;13.36;3.414;97.021
"Klinik Pyramide am See";1.94;21.068;8.32;22.09;24.898;4.07;82.386
"Klinik Tiefenbrunnen";0;1.42;1.98;1.09;0.62;0;5.11
"Spitäler ohne Zürcher Leistungsauftrag";31.57;360.819;132.917;131.07;159.636;21.534;837.546
"Total Kanton Zürich";4262.216;9075.748;3777.513;4547.526;2741.904;537.094;24942.001
"Spitäler Schaffhausen";125.94;439.532;159.947;121.814;54.37;18.208;919.811
