"Spitalname";"TARMED";"Labor";"Physio";"Ergotherape";"Ernährungsberatung"
"Universitätsspital Zürich";255120461.99;44852588.9;2183052;667559;606305
"Kantonsspital Winterthur";126832535;11023792;2078514;656064;317341
"Stadtspital Triemli";0;0;0;0;0
"Klinik Hirslanden";58264904;1060108;201464;3621;91917
"See-Spital";16144061;45673;571671;184399;70064
"Spital Uster";41495965;3416153;1564454;;183231
"Spital Limmattal";40520089;4115402;1592671;356830;322809
"Spital Bülach";27787606;1768660;914594;477638;149115
"Spital Zollikerberg";26483968;3186088;783683;232072;102688
"GZO AG Spital Wetzikon";30521832;2607746;398487;;262721
"Stadtspital Waid";22628661;2361979;547394;465391;29197
"Schulthess Klinik";39458868;1026131;3199928;537876;
"Kinderspital Zürich";59443069;10922850;727755;351401;369558
"Spital Männedorf";24188251;1712949;894282;;102895
"Universitätsklinik Balgrist";51856182;1513636;4360106;428705;3098
"Spital Affoltern";6421385;445553;194447;0;32333
"Limmatklinik";3332924;;;;
"Klinik Lengg";5630213;;1105023;464312;13733
"Uroviva Klinik für Urologie";0;;;;
"Adus Medica";1615546;;912;;
"Klinik Susenberg";94;;73405;9114;
"Sune-Egge";;;9777;;
"Spitäler mit Zürcher Leistungsauftrag";837746614.99;90059308.9;21401619;4834982;2657005
"Geburtshaus Zürcher Oberland";;;;;
"Geburtshaus Delphys";;;;;
"Geburtshäuser mit Zürcher Leistungsauftrag";;;;;
"Spitäler ohne Zürcher Leistungsauftrag";;;;;
"Total Kanton Zürich";837746614.99;90059308.9;21401619;4834982;2657005
