"Leistungsbereich";"SPLG";"Universitätsspital Zürich";"Kantonsspital Winterthur";"Stadtspital Triemli";"Klinik Hirslanden";"See-Spital Standort Horgen";"See-Spital Standort Kilchberg";"Spital Uster";"Spital Limmattal";"Spital Bülach";"Spital Zollikerberg";"GZO AG Spital Wetzikon";"Stadtspital Waid";"Schulthess Klinik";"Kinderspital Zürich";"Spital Männedorf";"Universitätsklinik Balgrist";"Spital Affoltern";"Limmatklinik";"Klinik Lengg";"Uroviva Klinik für Urologie";"Adus Medica";"Klinik Susenberg";"Sune-Egge";"Spitäler mit Zürcher Leistungsauftrag";"Klinik Im Park";"Privatklinik Bethanien";"Klinik Lindberg";"Klinik Pyramide am See";"Klinik Tiefenbrunnen";"Spitäler ohne Zürcher Leistungsauftrag"
"Basispaket";"BP";9474;10499;8455;3689;3717;233;4718;5746;4649;3655;5024;5864;468;4462;4136;807;2052;195;10;149;109;167;137;78415;1239;495;384;376;70;2564
"Dermatologie";"DER1";218;31;27;8;4;0;12;15;7;7;10;0;0;33;10;1;1;0;0;0;0;0;0;384;1;0;1;3;0;5
"";"DER1.1";285;19;1;1;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;309;6;1;0;5;0;12
"";"DER1.2";16;2;0;0;0;0;0;0;0;0;0;1;0;6;0;0;0;0;0;0;0;0;0;25;0;0;0;0;0;0
"";"DER2";32;14;12;8;4;0;7;5;3;4;4;8;0;4;6;3;2;0;0;0;0;0;2;118;5;0;1;3;0;9
"Hals-Nasen-Ohren";"HNO1";765;158;27;63;34;52;82;83;96;6;82;33;0;268;43;0;13;318;0;0;9;0;0;2132;3;9;4;19;1;36
"";"HNO1.1";687;183;11;106;10;3;9;18;27;0;10;49;0;155;11;0;0;129;0;0;4;0;0;1412;16;38;2;34;0;90
"";"HNO1.1.1";77;11;0;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;107;0;0;0;0;0;0
"";"HNO1.2";453;123;0;226;95;46;145;170;90;15;83;76;0;11;86;0;15;713;0;0;34;0;0;2381;25;12;18;116;1;172
"";"HNO1.2.1";19;0;0;61;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;80;0;0;0;0;0;0
"";"HNO1.3";451;3;0;2;0;0;0;5;0;9;0;0;0;4;0;0;0;0;0;0;0;0;0;474;0;12;0;2;0;14
"";"HNO1.3.1";6;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0;0;0;0;0;0
"";"HNO1.3.2";80;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;86;0;0;0;0;0;0
"";"HNO2";209;206;193;253;0;21;22;54;57;53;15;0;0;1;14;0;0;0;0;0;0;0;0;1098;27;31;3;25;0;86
"";"KIE1";242;107;1;3;0;0;2;1;1;0;1;1;0;41;0;0;1;223;0;0;0;0;0;624;5;3;0;21;0;29
"Neurochirurgie";"NCH1";809;150;1;331;1;0;0;0;0;0;0;0;0;107;0;1;0;1;0;0;0;0;0;1401;3;1;0;1;0;5
"";"NCH1.1";88;14;4;53;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;168;0;0;0;0;0;0
"";"NCH1.1.1";274;5;1;119;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;400;1;0;0;0;0;1
"";"NCH1.1.1.1";65;0;0;20;0;0;0;0;0;0;0;0;0;33;0;0;0;0;0;0;0;0;0;118;0;0;0;0;0;0
"";"NCH1.1.2";71;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;72;0;0;0;0;0;0
"";"NCH1.1.3";6;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;1;0;0;0;0;13;0;0;0;0;0;0
"";"NCH2";2;0;0;1;0;0;0;0;0;0;0;0;18;3;0;0;0;0;0;0;0;0;0;24;0;0;0;0;0;0
"";"NCH2.1";4;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;6;0;0;0;0;0;0
"";"NCH3";17;4;0;6;0;0;1;0;1;0;0;0;0;1;0;3;0;0;0;0;0;0;0;33;0;3;0;0;0;3
"Neurologie";"NEU1";196;104;79;64;27;0;53;74;29;25;81;38;0;146;41;0;5;0;40;0;0;1;0;1003;4;0;0;0;0;4
"";"NEU2";69;29;24;17;9;0;9;12;13;15;13;10;1;5;8;0;7;0;0;0;0;0;0;241;0;2;0;0;0;2
"";"NEU2.1";48;13;8;13;2;0;0;4;8;7;6;9;0;47;2;0;13;0;0;0;0;3;0;183;1;0;0;0;0;1
"";"NEU3";893;459;522;410;102;0;171;228;115;76;166;158;0;46;109;1;42;0;0;0;0;2;0;3500;26;4;0;0;0;30
"";"NEU3.1";101;0;0;42;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;143;0;0;0;0;0;0
"";"NEU4";24;0;0;29;0;0;0;1;0;0;0;0;0;5;0;0;0;0;333;0;0;0;0;392;3;0;0;0;0;3
"";"NEU4.1";17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;113;0;0;0;0;130;0;0;0;0;0;0
"";"NEU4.2";66;0;0;0;0;0;0;0;0;0;0;0;0;132;0;0;0;0;438;0;0;0;0;636;0;0;0;0;0;0
"Ophthalmologie";"AUG1";123;55;110;0;1;0;0;2;1;0;0;0;0;7;0;0;0;19;0;0;0;0;0;318;8;0;0;11;0;19
"";"AUG1.1";17;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;0;0;0;0;0;43;0;0;0;0;0;0
"";"AUG1.2";83;4;14;2;0;0;0;0;0;2;0;0;0;2;0;0;0;5;0;0;0;0;0;112;3;0;0;11;14;28
"";"AUG1.3";47;162;107;0;0;0;0;0;0;0;0;0;0;0;0;0;0;51;0;0;0;0;0;367;53;0;0;19;0;72
"";"AUG1.4";87;179;211;26;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;506;49;0;0;29;0;78
"";"AUG1.5";1106;136;390;0;0;0;0;0;0;0;0;0;0;0;0;1;1;11;0;0;0;0;0;1645;23;0;0;0;0;23
"Endokrinologie";"END1";248;139;92;68;30;0;127;64;62;37;127;103;0;124;45;6;24;0;0;0;0;7;1;1304;6;1;1;0;0;8
"Gastroenterologie";"GAE1";796;663;603;586;215;0;328;427;324;283;249;313;0;156;238;2;70;0;0;0;0;0;1;5254;163;15;3;0;0;181
"";"GAE1.1";211;169;158;111;15;0;29;100;65;59;159;17;0;2;51;0;1;0;0;0;0;0;0;1147;29;8;0;1;0;38
"Viszeralchirugie";"VIS1";639;482;385;453;123;2;125;246;190;84;182;99;0;111;121;0;4;7;0;0;1;0;1;3255;127;58;16;38;0;239
"";"VIS1.1";50;51;51;46;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;200;13;0;0;0;0;13
"";"VIS1.2";67;47;22;22;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;160;14;1;1;0;0;16
"";"VIS1.3";23;16;13;43;0;0;0;0;0;0;1;0;0;9;0;0;0;0;0;0;0;0;0;105;2;0;0;0;0;2
"";"VIS1.4";41;0;79;122;0;0;0;160;1;0;94;0;0;0;115;0;0;0;0;0;0;0;0;612;1;0;1;5;0;7
"";"VIS1.4.1";39;0;3;49;0;0;0;99;0;1;32;0;0;0;1;0;0;0;0;0;0;0;0;224;0;0;0;3;0;3
"";"VIS1.5";35;53;31;34;0;0;3;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;168;2;0;1;1;0;4
"Hämatologie";"HAE1";379;45;26;32;4;0;22;15;11;8;8;16;0;206;7;1;9;0;0;0;0;0;0;789;0;0;0;0;0;0
"";"HAE1.1";135;2;0;1;0;0;0;0;0;0;0;0;0;28;0;0;0;0;0;0;0;0;0;166;0;0;0;0;0;0
"";"HAE2";614;195;148;163;21;1;92;53;62;44;84;111;0;21;51;4;18;0;0;0;0;6;2;1690;36;5;1;1;0;43
"";"HAE3";50;21;13;17;15;0;14;10;16;15;16;21;0;5;6;0;12;0;0;0;0;1;1;233;4;4;0;1;0;9
"";"HAE4";120;0;15;34;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;177;0;0;0;0;0;0
"";"HAE5";65;0;0;0;0;0;0;0;0;0;0;0;0;29;0;0;0;0;0;0;0;0;0;94;0;0;0;0;0;0
"Gefässe";"GEF1";92;122;59;112;2;0;0;29;0;0;0;2;0;1;0;3;0;0;0;0;0;0;0;422;31;6;0;0;0;37
"";"ANG1";393;206;91;194;12;0;3;47;29;1;1;47;0;1;28;1;1;0;0;0;0;0;0;1055;134;27;0;0;0;161
"";"GEFA";648;298;148;308;1;0;1;13;6;1;1;12;0;27;6;0;0;0;0;0;0;0;0;1470;70;17;0;0;0;87
"";"GEF3";92;36;35;75;0;0;0;10;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;251;8;0;0;2;0;10
"";"ANG3";93;14;13;39;0;0;0;1;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;163;0;0;0;0;0;0
"";"RAD1";86;40;31;67;5;0;46;5;1;2;14;8;1;3;0;0;0;0;0;0;0;0;0;309;4;4;0;15;0;23
"Herz";"HER1";22;3;26;7;0;0;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;61;0;0;0;0;0;0
"";"HER1.1";58;1;20;21;0;0;0;0;0;0;0;0;0;49;0;0;0;0;0;0;0;0;0;149;3;0;0;0;0;3
"";"HER1.1.1";240;0;286;276;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;803;53;0;0;0;0;53
"";"HER1.1.2";0;0;0;0;0;0;0;0;0;0;0;0;0;39;0;0;0;0;0;0;0;0;0;39;0;0;0;0;0;0
"";"HER1.1.3";55;0;49;23;0;0;0;0;0;0;0;0;0;66;0;0;0;0;0;0;0;0;0;193;3;0;0;0;0;3
"";"HER1.1.4";162;0;195;197;0;0;0;0;0;0;0;0;0;13;0;0;0;0;0;0;0;0;0;567;26;0;0;0;0;26
"";"HER1.1.5";81;0;166;186;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;435;34;0;0;0;0;34
"";"KAR1";223;103;236;185;0;0;27;56;19;25;46;59;0;10;7;0;0;0;0;0;0;0;0;996;125;15;0;2;0;142
"";"KAR1.1";1673;744;1641;1525;3;0;18;3;5;8;43;13;0;41;10;0;1;0;0;0;0;0;0;5728;632;114;0;0;0;746
"";"KAR1.1.1";513;18;246;486;0;0;0;0;1;0;0;1;0;76;1;0;0;0;0;0;0;0;0;1342;169;1;0;0;0;170
"";"KAR1.2";356;118;385;607;0;0;0;0;0;0;105;0;0;36;0;0;0;0;0;0;0;0;0;1607;519;13;0;0;0;532
