"SPLG";"MFZ";"Universitätsspital Zürich";"Kantonsspital Winterthur";"Stadtspital Triemli";"Klinik Hirslanden";"See-Spital Standort Horgen";"See-Spital Standort Kilchberg";"Spital Uster";"Spital Limmattal";"Spital Bülach";"Spital Zollikerberg";"GZO AG Spital Wetzikon";"Stadtspital Waid";"Schulthess Klinik";"Kinderspital Zürich";"Spital Männedorf";"Universitätsklinik Balgrist";"Klinik Lengg";"Uroviva Klinik für Urologie";"Adus Medica";"Spitäler mit Zürcher Leistungsauftrag";"Klinik Im Park";"Privatklinik Bethanien";"Klinik Lindberg";"Klinik Pyramide am See";"Spitäler ohne Zürcher Leistungsauftrag"
"DER1.1";"10";287;19;1;1;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0;311;7;1;0;5;13
"HNO2";"10";209;205;193;251;0;21;22;54;56;53;15;0;0;0;14;0;0;0;0;1093;27;31;3;26;87
"NCH1.1";"10";124;14;4;54;0;0;0;0;0;0;0;0;0;36;0;0;0;0;0;232;0;0;0;0;0
"NCH1.1.1";"20";417;5;1;164;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;590;2;0;0;0;2
"NCH1.1.1.1";"20";67;0;0;21;0;0;0;0;0;0;0;0;0;34;0;0;0;0;0;122;0;0;0;0;0
"NCH1.1.2";"20";71;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;72;0;0;0;0;0
"NCH1.1.3";"25";6;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;1;0;0;13;0;0;0;0;0
"NCH2.1";"10";4;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;6;0;0;0;0;0
"NEU3.1";"40";102;0;0;43;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;145;0;0;0;0;0
"NEU4";"10";37;0;0;37;0;0;0;1;0;0;0;0;0;7;0;0;482;0;0;564;13;0;0;0;13
"NEU4.1";"10";17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;182;0;0;199;0;0;0;0;0
"VIS1.1";"12";52;51;52;46;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;203;13;0;0;0;13
"VIS1.2";"12";73;48;24;22;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;169;14;1;1;0;16
"VIS1.3";"12";23;16;13;44;0;0;0;0;0;0;1;0;0;10;0;0;0;0;0;107;3;0;0;0;3
"VIS1.4";"25";60;0;80;130;0;0;0;165;1;0;94;0;0;0;115;0;0;0;0;645;1;0;1;5;7
"VIS1.4.1";"25";21;0;1;37;0;0;0;76;0;1;22;0;0;0;1;0;0;0;0;159;0;0;0;3;3
"VIS1.5";"25";36;53;31;34;0;0;3;12;0;0;0;0;0;0;0;0;0;0;0;169;3;0;1;1;5
"HAE1.1";"10";175;2;0;1;0;0;0;0;0;0;0;0;0;33;0;0;0;0;0;211;0;0;0;0;0
"HAE4";"10";123;0;15;34;0;0;0;0;0;0;0;0;0;11;0;0;0;0;0;183;0;0;0;0;0
"HAE5";"10";66;0;0;0;0;0;0;0;0;0;0;0;0;29;0;0;0;0;0;95;0;0;0;0;0
"GEF1";"10";190;156;82;155;2;0;0;30;0;0;0;2;0;1;0;3;0;0;0;621;38;6;0;0;44
"GEFA";"20";460;215;102;183;0;0;1;7;4;1;0;5;0;44;2;0;0;0;0;1024;58;9;0;0;67
"GEF3";"10 (20 inkl. ANG3)";82;31;38;78;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;239;9;0;0;0;9
"ANG3";"10 (20 inkl. GEF3)";88;13;15;28;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;145;0;0;0;0;0
"HER1.1.1";"100";315;0;375;358;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;1052;70;0;0;0;70
"HER1.1.2";"10";0;0;0;0;0;0;0;0;0;0;0;0;0;70;0;0;0;0;0;70;0;0;0;0;0
"KAR1.1.1";"10";553;18;264;494;0;0;0;0;1;0;0;1;0;94;1;0;0;0;0;1426;172;1;0;0;173
"URO1.1.1";"10";72;93;82;284;6;7;41;34;0;0;0;0;0;0;96;0;0;87;0;802;26;34;0;0;60
"URO1.1.2";"10";26;27;29;36;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;124;4;0;0;0;4
"URO1.1.3";"10";43;44;32;31;0;0;12;16;0;0;0;0;0;5;19;0;0;1;0;203;1;3;0;0;4
"THO1.1";"30";110;106;63;66;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;345;2;14;0;0;16
"BEW7.1";"50";56;384;171;262;13;189;163;130;221;108;95;139;1202;0;146;448;0;0;0;3727;90;207;201;16;514
"BEW7.2";"50";0;286;239;306;17;232;191;194;199;86;70;0;893;0;179;368;0;0;0;3260;78;236;240;63;617
"BEW8.1";"10";60;19;3;66;2;1;0;0;0;90;0;0;56;9;1;79;0;0;0;386;33;8;2;0;43
"BEW9";"10";10;2;0;0;0;0;0;0;0;0;0;0;1;3;0;19;0;0;0;35;0;0;0;0;0
"BEW10";"10";8;1;0;5;0;0;0;0;0;0;0;0;0;1;0;8;0;0;2;25;0;1;25;46;72
"GYNT";"20";101;68;65;63;1;1;3;26;20;35;23;0;0;1;0;0;0;0;0;407;5;4;0;1;10
"GYN2";"100";161;216;92;422;1;87;1;78;67;140;86;0;0;0;52;0;0;0;0;1403;85;85;6;122;298
