"Spitalname";"Austritte";"Anteil am Total Kt. ZH";"ø-Alter (Jahre)";"Liegeklasse HPP in %";"Notfalleintritte in %"
"Universitätsspital Zürich";38704;0.163330759135238;52.523976849938;18.3443571723853;43.2358412567176
"Kantonsspital Winterthur";26694;0.112648596640038;51.1360979995505;19.9932569116655;51.3823331085637
"Stadtspital Triemli";24746;0.104428042723248;52.8867695789218;17.8735957326437;51.2931382849753
"Klinik Hirslanden";19539;0.082454518983656;59.9432929013767;55.5453196171759;22.5139464660423
"See-Spital Standort Horgen";7415;0.0312912768444551;53.4953472690492;23.9514497639919;55.2663519892111
"See-Spital Standort Kilchberg";2109;0.00889997341401967;56.4134660976766;22.5225225225225;0.237079184447606
"Spital Uster";10370;0.043761367616588;55.4243008678881;19.9324975891996;58.572806171649
"Spital Limmattal";12765;0.0538682601374875;52.8386995691343;18.5742264003134;49.6513905209557
"Spital Bülach";10096;0.0426050884722345;51.3085380348653;16.0360538827258;61.9750396196513
"Spital Zollikerberg";11428;0.048226124312668;47.1683584179209;26.7763388169408;47.1823591179559
"GZO AG Spital Wetzikon";9932;0.0419130089843733;55.0798429319372;16.1196133709223;60.1087394281112
"Stadtspital Waid";8615;0.0363552730970979;68.1594892629135;19.141033081834;65.6877539175856
"Schulthess Klinik";8294;0.035000654099516;55.8482035206173;48.914878225223;0.928381962864721
"Kinderspital Zürich";8212;0.0346546143555854;5.20348270823186;23.7700925474915;53.1173891865563
"Spital Männedorf";8328;0.0351441339933408;58.8976945244957;26.9812680115274;50.0480307396734
"Universitätsklinik Balgrist";6533;0.0275692395987627;53.7250880146946;31.9914281340885;10.8219807133017
"Spital Affoltern";2563;0.0108158519962695;68.6414358174015;22.1615294576668;57.1595786188061
"Limmatklinik";2019;0.00852017369507147;36.8761763249133;13.2243684992571;0.247647350173353
"Klinik Lengg";941;0.00397101706144737;36.9266737513284;15.3028692879915;4.35706695005314
"Uroviva Klinik für Urologie";1397;0.00589533563745163;62.8518253400143;27.7022190408017;0
"Adus Medica";779;0.0032873775673406;48.4197689345314;12.1951219512195;0.256739409499358
"Klinik Susenberg";197;0.000831339384808855;82.9441624365482;73.0964467005076;0
"Sune-Egge";157;0.000662539509720763;48.3821656050955;0;4.45859872611465
"Spitäler mit Zürcher Leistungsauftrag";221833;0.93613456726042;52.3640351074908;24.4697587825076;44.2535601105336
"Geburtshaus Zürcher Oberland";818;0.00345195744555149;16.6821515892421;0;33.8630806845966
"Geburtshaus Delphys";542;0.00228723830744365;17.2712177121771;0;45.9409594095941
"Geburtshäuser mit Zürcher Leistungsauftrag";1360;0.00573919575299514;16.9169117647059;0;38.6764705882353
"Klinik Im Park";6702;0.0282824190710099;60.1911369740376;85.6311548791406;17.4723962996121
"Privatklinik Bethanien";3796;0.01601910814586;52.2141728134879;87.1443624868282;6.90200210748156
"Klinik Lindberg";1708;0.00720775466626155;62.4584309133489;90.3395784543326;7.37704918032787
"Klinik Pyramide am See";1482;0.00625403537201382;55.3387314439946;99.2577597840756;1.68690958164642
"Klinik Tiefenbrunnen";86;0.000362919731439399;51.6860465116279;100;0
"Spitäler ohne Zürcher Leistungsauftrag";13774;0.0581262369865846;57.6987077101786;88.1878902279657;11.4999273994482
"Total Kanton Zürich";236967;1;52.4706815716956;28.0330172555672;42.3177066848971
"Spitäler Schaffhausen";10056;;54.5174025457438;16.6368337311058;55.3400954653938
