"Spitalname";"Zürich";"Winterthur";"Unterland";"Limmattal";"Linkes Seeufer";"Rechtes Seeufer";"Oberes Glattal";"Oberland";"Nicht zuteilbar";"Total"
"Universitätsspital Zürich";12880;1544;3599;2672;1391;1328;4047;1518;9726;38705
"Kantonsspital Winterthur";285;19170;2141;119;33;66;1059;699;3122;26694
"Stadtspital Triemli";13936;280;1067;3634;1324;178;587;177;3563;24746
"Klinik Hirslanden";5560;697;1235;1031;665;2021;2400;700;5230;19539
"See-Spital Standort Horgen";1528;48;64;176;4605;49;57;60;828;7415
"See-Spital Standort Kilchberg";763;17;77;174;599;35;76;25;343;2109
"Spital Uster";264;651;315;55;12;97;7826;851;299;10370
"Spital Limmattal";990;87;402;8962;70;22;129;36;2067;12765
"Spital Bülach";267;316;8212;504;10;6;252;20;509;10096
"Spital Zollikerberg";4693;342;623;358;136;1230;2967;468;611;11428
"GZO AG Spital Wetzikon";117;409;70;26;16;174;1277;7328;515;9932
"Stadtspital Waid";6246;100;718;629;82;41;368;31;400;8615
"Schulthess Klinik";1621;339;583;514;252;443;753;422;3367;8294
"Kinderspital Zürich";2152;381;780;659;327;347;798;457;2311;8212
"Spital Männedorf";416;75;111;94;61;4768;394;824;1585;8328
"Universitätsklinik Balgrist";1623;274;561;480;232;296;625;359;2083;6533
"Spital Affoltern";229;6;11;1819;62;2;7;10;417;2563
"Limmatklinik";593;252;196;165;28;34;139;52;560;2019
"Klinik Lengg";131;69;44;56;14;23;58;37;509;941
"Uroviva Klinik für Urologie";197;19;837;116;15;25;74;5;109;1397
"Adus Medica";103;15;248;135;7;6;34;12;219;779
"Klinik Susenberg";116;3;10;3;7;18;18;3;19;197
"Sune-Egge";80;6;10;17;2;3;12;0;27;157
"Spitäler mit Zürcher Leistungsauftrag";54790;25100;21914;22398;9950;11212;23957;14094;38419;221834
"Geburtshaus Zürcher Oberland";72;183;55;15;11;39;106;191;146;818
"Geburtshaus Delphys";369;19;29;38;22;3;14;2;46;542
"Geburtshäuser mit Zürcher Leistungsauftrag";441;202;84;53;33;42;120;193;192;1360
"Klinik Im Park";2331;139;276;417;824;266;304;67;2078;6702
"Privatklinik Bethanien";1255;143;468;265;111;226;585;82;661;3796
"Klinik Lindberg";24;1170;96;11;5;10;58;13;321;1708
"Klinik Pyramide am See";380;35;91;90;70;155;133;37;491;1482
"Klinik Tiefenbrunnen";20;2;3;3;2;13;9;5;29;86
"Spitäler ohne Zürcher Leistungsauftrag";4010;1489;934;786;1012;670;1089;204;3580;13774
"Total Kanton Zürich";59241;26791;22932;23237;10995;11924;25166;14491;42191;236968
"Spitäler Schaffhausen";35;940;57;9;3;8;21;6;8977;10056
