"Leistungsbereich";"SPLG";"Universitätsspital Zürich";"Kantonsspital Winterthur";"Stadtspital Triemli";"Klinik Hirslanden";"See-Spital Standort Horgen";"See-Spital Standort Kilchberg";"Spital Uster";"Spital Limmattal";"Spital Bülach";"Spital Zollikerberg";"GZO AG Spital Wetzikon";"Stadtspital Waid";"Schulthess Klinik";"Kinderspital Zürich";"Spital Männedorf";"Universitätsklinik Balgrist";"Spital Affoltern";"Limmatklinik";"Klinik Lengg";"Uroviva Klinik für Urologie";"Adus Medica";"Klinik Susenberg";"Sune-Egge";"Spitäler mit Zürcher Leistungsauftrag";"Klinik Im Park";"Privatklinik Bethanien";"Klinik Lindberg";"Klinik Pyramide am See";"Klinik Tiefenbrunnen";"Spitäler ohne Zürcher Leistungsauftrag";"Spitäler Schaffhausen";"Ausserkantonale Nicht-Listenspitäler"
"Basispaket";"BP";638;50;1178;173;39;24;15;4152;150;56;9;411;33;350;24;73;1386;10;1;8;14;4;14;8812;65;16;0;20;1;102;5;964
"Dermatologie";"DER1";22;0;6;2;0;0;0;15;1;0;0;0;0;2;0;0;1;0;0;0;0;0;1;50;0;0;0;0;0;0;0;3
"";"DER1.1";28;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;31;0;0;0;0;0;0;0;1
"";"DER1.2";;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;0;;
"";"DER2";3;0;3;0;0;0;0;7;0;0;0;0;0;0;0;0;2;0;0;0;0;0;1;16;0;0;0;0;0;0;0;
"Hals-Nasen-Ohren";"HNO1";74;1;5;4;1;0;0;30;3;1;0;4;0;34;0;0;9;26;0;0;0;0;0;192;0;3;0;1;0;4;0;22
"";"HNO1.1";68;2;0;4;1;0;0;11;3;0;0;2;0;15;0;0;1;14;0;0;0;0;0;121;1;5;0;0;0;6;0;18
"";"HNO1.1.1";6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;2
"";"HNO1.2";50;0;0;21;8;5;5;17;3;0;0;6;0;3;0;0;18;81;0;0;2;0;0;219;1;7;0;7;0;15;1;25
"";"HNO1.2.1";0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;
