"Leistungsbereich";"SPLG";"Universitätsspital Zürich";"Kantonsspital Winterthur";"Stadtspital Triemli";"Klinik Hirslanden";"See-Spital Standort Horgen";"See-Spital Standort Kilchberg";"Spital Uster";"Spital Limmattal";"Spital Bülach";"Spital Zollikerberg";"GZO AG Spital Wetzikon";"Stadtspital Waid";"Schulthess Klinik";"Kinderspital Zürich";"Spital Männedorf";"Universitätsklinik Balgrist";"Spital Affoltern";"Limmatklinik";"Klinik Lengg";"Uroviva Klinik für Urologie";"Adus Medica";"Klinik Susenberg";"Sune-Egge";"Spitäler mit Zürcher Leistungsauftrag";"Klinik Im Park";"Privatklinik Bethanien";"Klinik Lindberg";"Klinik Pyramide am See";"Spitäler ohne Zürcher Leistungsauftrag";"Spitäler Schaffhausen";"Ausserkantonale Nicht-Listenspitäler"
"Basispaket";"BP";259;15;391;117;2456;97;13;26;1;33;9;35;10;168;27;31;30;5;0;2;0;15;5;3745;186;14;0;17;217;3;363
"Dermatologie";"DER1";12;0;1;0;5;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19;0;0;0;0;0;0;
"";"DER1.1";12;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;13;0;0;0;0;0;0;
"";"DER1.2";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;
"";"DER2";1;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;
"Hals-Nasen-Ohren";"HNO1";37;1;2;1;13;18;0;0;0;1;0;1;0;12;1;0;0;1;0;0;0;0;0;88;1;0;0;1;2;0;8
"";"HNO1.1";20;0;0;2;10;0;0;0;0;0;0;1;0;5;0;0;0;4;0;0;0;0;0;42;0;2;0;1;3;0;6
"";"HNO1.1.1";3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;
"";"HNO1.2";13;1;0;11;44;29;0;0;0;0;0;0;0;2;3;0;0;6;0;0;0;0;0;109;1;1;0;3;5;0;3
"";"HNO1.2.1";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;
"";"HNO1.3";21;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;0;3;0;0;3;0;3
"";"HNO1.3.1";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;
"";"HNO1.3.2";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;
"";"HNO2";2;0;20;11;0;6;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;42;1;3;0;1;5;0;2
"";"KIE1";13;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;8;0;0;0;0;1;24;1;1;0;0;2;0;3
"Neurochirurgie";"NCH1";26;0;0;4;2;0;0;0;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0;35;0;0;0;0;0;0;
"";"NCH1.1";4;0;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;1
"";"NCH1.1.1";5;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;
"";"NCH1.1.1.1";3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;
"";"NCH1.1.2";2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;
"";"NCH1.1.3";;;;;;;;;;;;;;;;;;;;;;;;0;;;;;0;;
"";"NCH2";;;;;;;;;;;;;;;;;;;;;;;;0;;;;;0;;
"";"NCH2.1";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;
"";"NCH3";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;
"Neurologie";"NEU1";6;0;1;1;12;0;0;0;0;1;0;0;0;4;0;0;0;0;1;0;0;0;0;26;1;0;0;0;1;0;10
"";"NEU2";5;0;1;0;4;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;11;0;0;0;0;0;0;1
"";"NEU2.1";7;0;0;2;0;0;0;0;0;0;0;1;0;11;0;0;1;0;0;0;0;0;0;22;0;0;0;0;0;0;
"";"NEU3";49;0;23;7;59;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;1;0;141;1;0;0;0;1;0;5
"";"NEU3.1";14;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;0;0;0;0;0;0;
"";"NEU4";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;7;0;0;0;0;0;0;
"";"NEU4.1";2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;4;0;0;0;0;0;0;
