"Leistungsbereich";"SPLG";"Universitätsspital Zürich";"Kantonsspital Winterthur";"Stadtspital Triemli";"Klinik Hirslanden";"See-Spital Standort Horgen";"See-Spital Standort Kilchberg";"Spital Uster";"Spital Limmattal";"Spital Bülach";"Spital Zollikerberg";"GZO AG Spital Wetzikon";"Stadtspital Waid";"Schulthess Klinik";"Kinderspital Zürich";"Spital Männedorf";"Universitätsklinik Balgrist";"Spital Affoltern";"Limmatklinik";"Klinik Lengg";"Uroviva Klinik für Urologie";"Adus Medica";"Klinik Susenberg";"Sune-Egge";"Spitäler mit Zürcher Leistungsauftrag";"Klinik Im Park";"Privatklinik Bethanien";"Klinik Lindberg";"Klinik Pyramide am See";"Klinik Tiefenbrunnen";"Spitäler ohne Zürcher Leistungsauftrag";"Spitäler Schaffhausen";"Ausserkantonale Nicht-Listenspitäler"
"Basispaket";"BP";7505;10086;7730;2819;3256;323;4462;4724;4349;3334;4563;5292;272;3596;3223;520;1609;180;6;143;64;164;135;68355;920;456;375;249;29;2029;423;4869
"Dermatologie";"DER1";178;42;26;11;6;0;9;16;6;4;6;3;0;50;8;0;1;0;0;0;0;0;3;369;1;0;0;2;0;3;1;12
"";"DER1.1";209;12;1;3;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;228;2;1;0;4;0;7;0;3
"";"DER1.2";6;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;1
"";"DER2";18;13;12;1;6;0;2;9;2;2;2;4;1;2;4;2;3;0;0;0;0;0;3;86;2;0;0;3;0;5;0;1
"Hals-Nasen-Ohren";"HNO1";564;141;27;57;16;48;51;38;71;5;86;33;0;183;39;0;11;196;0;0;1;0;0;1567;3;15;1;16;0;35;8;203
"";"HNO1.1";490;98;1;48;13;2;6;19;23;2;6;32;0;79;11;0;1;77;0;0;0;0;0;908;4;36;4;12;0;56;2;84
"";"HNO1.1.1";39;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;43;0;0;0;0;0;0;0;4
"";"HNO1.2";348;100;1;173;74;71;135;20;71;22;80;55;0;12;56;0;18;583;0;0;4;0;0;1823;17;32;25;88;0;162;8;212
"";"HNO1.2.1";8;0;0;39;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;47;0;0;0;0;0;0;0;
"";"HNO1.3";296;3;0;0;0;1;0;0;0;10;0;0;0;1;1;0;0;0;0;0;0;0;0;312;0;26;0;1;0;27;0;25
"";"HNO1.3.1";0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;2
"";"HNO1.3.2";38;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;41;0;1;0;0;0;1;0;
"";"HNO2";170;165;157;178;0;18;22;52;66;50;10;2;0;1;10;0;0;0;0;0;0;0;0;901;12;29;2;28;0;71;2;31
"";"KIE1";218;53;3;1;0;0;2;0;1;1;0;0;0;25;0;0;0;66;0;0;0;0;3;373;6;2;0;11;0;19;0;20
"Neurochirurgie";"NCH1";558;84;0;179;4;0;0;1;0;0;0;0;2;48;0;0;0;4;0;0;0;0;0;880;2;1;0;1;0;4;0;39
"";"NCH1.1";55;8;2;9;0;0;0;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;77;0;0;0;0;0;0;0;5
"";"NCH1.1.1";133;2;0;52;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;188;0;0;0;0;0;0;0;5
"";"NCH1.1.1.1";40;0;0;7;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;51;0;0;0;0;0;0;0;1
"";"NCH1.1.2";39;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;39;0;0;0;0;0;0;0;2
"";"NCH1.1.3";2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;
"";"NCH2";3;0;0;3;0;0;0;0;0;0;0;0;4;1;0;0;0;0;0;0;0;0;0;11;0;0;0;0;0;0;0;
"";"NCH2.1";2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;1
"";"NCH3";13;3;2;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;21;1;0;0;1;0;2;0;
"Neurologie";"NEU1";148;97;59;71;16;0;54;51;32;20;54;24;0;59;27;0;8;0;35;0;0;1;1;757;5;0;1;0;0;6;5;70
"";"NEU2";54;14;17;11;5;0;14;10;9;5;17;12;0;1;7;0;4;0;0;0;0;0;0;180;2;3;0;0;0;5;0;11
"";"NEU2.1";53;14;4;17;0;0;2;2;11;6;8;12;0;83;0;0;5;0;0;0;0;1;0;218;0;0;0;0;0;0;0;7
"";"NEU3";705;428;385;323;81;0;145;211;115;67;142;140;0;6;54;2;26;0;0;0;0;7;1;2838;7;2;1;0;0;10;20;151
"";"NEU3.1";106;0;0;42;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;148;0;0;0;0;0;0;0;8
"";"NEU4";30;0;0;18;0;0;0;0;0;0;0;0;0;1;0;0;0;0;167;0;0;0;0;216;0;0;0;0;0;0;0;3
"";"NEU4.1";32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;50;0;0;0;0;82;0;0;0;0;0;0;0;
"";"NEU4.2";46;0;0;0;0;0;0;0;0;0;0;0;0;70;0;0;0;0;161;0;0;0;0;277;0;0;0;0;0;0;0;1
"Ophthalmologie";"AUG1";109;60;57;1;0;0;0;3;1;0;0;0;0;2;0;0;0;5;0;0;0;0;0;238;7;0;0;4;0;11;0;24
"";"AUG1.1";25;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;4;0;0;0;0;0;32;0;0;0;0;0;0;0;
"";"AUG1.2";38;7;13;1;0;0;0;1;0;1;0;0;0;0;1;0;0;6;0;0;0;0;0;68;3;1;3;14;7;28;0;15
"";"AUG1.3";81;130;74;0;0;0;0;0;0;0;0;0;0;1;0;0;0;46;0;0;0;0;0;332;50;0;0;6;0;56;0;87
"";"AUG1.4";68;266;179;85;0;0;0;0;0;1;0;0;0;0;0;0;0;4;0;0;0;0;0;603;46;0;0;30;0;76;0;
"";"AUG1.5";768;95;221;0;0;0;0;0;0;0;0;1;0;1;0;0;1;6;0;0;0;0;0;1093;22;0;0;1;0;23;0;91
"Endokrinologie";"END1";187;172;82;44;43;1;121;42;55;25;127;116;1;80;40;5;30;0;0;0;0;1;2;1174;6;1;0;0;0;7;2;32
"Gastroenterologie";"GAE1";605;710;579;372;186;0;394;346;351;223;275;353;0;102;222;0;70;0;0;0;0;0;3;4791;138;17;2;0;0;157;23;132
"";"GAE1.1";163;151;119;93;17;0;28;83;91;45;102;78;0;2;30;0;3;0;0;0;0;0;1;1006;28;8;0;0;0;36;3;27
"Viszeralchirugie";"VIS1";408;402;311;331;101;2;107;190;173;86;154;104;0;64;119;0;4;2;0;0;0;0;0;2558;71;73;14;13;0;171;39;104
"";"VIS1.1";43;34;34;33;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;145;7;0;0;0;0;7;0;4
"";"VIS1.2";36;40;18;23;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;118;3;0;0;0;0;3;0;3
"";"VIS1.3";15;15;8;12;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;53;1;0;0;0;0;1;0;
"";"VIS1.4";60;1;73;106;0;0;0;186;0;0;91;0;0;0;107;0;0;0;0;0;0;0;0;624;0;0;0;0;0;0;26;111
"";"VIS1.4.1";30;0;1;27;0;0;0;85;1;0;23;0;0;0;0;0;0;0;0;0;0;0;0;167;0;0;0;0;0;0;0;42
"";"VIS1.5";24;37;15;26;0;0;4;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;114;2;2;0;0;0;4;0;4
"Hämatologie";"HAE1";249;35;28;6;9;0;18;3;3;3;8;12;0;174;1;0;0;0;0;0;0;0;0;549;3;1;0;0;0;4;0;13
"";"HAE1.1";92;1;0;0;0;0;0;0;0;0;0;0;0;15;0;0;0;0;0;0;0;0;0;108;0;0;0;0;0;0;0;2
"";"HAE2";544;173;139;132;34;0;83;41;74;33;76;112;0;20;25;3;13;0;0;0;0;7;1;1510;31;7;1;2;0;41;2;55
"";"HAE3";49;24;16;20;12;0;24;12;16;7;9;29;0;7;9;0;3;0;0;0;0;1;0;238;6;1;0;0;0;7;2;3
"";"HAE4";57;0;11;20;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;90;0;0;0;0;0;0;0;3
"";"HAE5";30;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0;0;42;0;0;0;0;0;0;0;1
"Gefässe";"GEF1";79;120;59;66;1;0;0;23;0;0;2;1;1;2;0;3;0;0;0;0;0;0;0;357;22;8;0;1;0;31;0;15
"";"ANG1";390;202;102;117;17;0;1;35;21;5;1;59;1;1;6;1;0;0;0;0;0;0;0;959;77;31;0;0;0;108;2;22
"";"GEFA";387;257;118;173;1;0;0;5;4;2;0;20;0;13;1;0;0;0;0;0;0;0;0;981;44;14;0;0;0;58;1;47
"";"GEF3";63;37;28;58;0;0;0;13;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;201;6;0;0;0;0;6;0;3
"";"ANG3";69;22;14;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;135;1;0;0;0;0;1;0;1
"";"RAD1";52;36;33;131;4;0;10;4;5;3;3;13;0;2;0;1;37;0;0;0;0;0;0;334;6;1;0;0;0;7;0;13
"Herz";"HER1";9;0;14;3;0;0;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;29;1;1;0;0;0;2;0;
"";"HER1.1";24;1;14;5;0;0;0;0;0;0;1;0;0;22;0;0;0;0;0;0;0;0;0;67;3;0;0;0;0;3;0;2
"";"HER1.1.1";167;0;136;78;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;382;15;0;0;0;0;15;0;5
"";"HER1.1.2";0;0;0;0;0;0;0;0;0;0;0;0;0;13;0;0;0;0;0;0;0;0;0;13;0;0;0;0;0;0;0;3
"";"HER1.1.3";24;0;18;5;0;0;0;0;0;0;0;0;0;33;0;0;0;0;0;0;0;0;0;80;4;0;0;0;0;4;0;6
"";"HER1.1.4";51;0;84;67;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;202;15;0;0;0;0;15;0;3
"";"HER1.1.5";45;0;69;54;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;171;15;0;0;0;0;15;0;2
"";"KAR1";134;89;164;131;0;0;29;49;21;26;30;58;0;3;6;0;0;0;0;0;0;0;0;740;69;5;0;3;0;77;0;13
"";"KAR1.1";1348;665;1261;970;3;0;18;6;1;5;33;8;0;19;7;0;1;0;0;0;0;0;0;4345;275;76;0;0;0;351;3;145
"";"KAR1.1.1";265;12;167;252;2;0;0;0;0;0;1;1;0;32;3;0;0;0;0;0;0;0;0;735;86;1;0;0;0;87;0;29
"";"KAR1.2";252;87;242;318;0;0;0;0;0;0;101;0;0;24;1;0;0;0;0;0;0;0;0;1025;161;7;0;0;0;168;0;14
"";"KAR1.3";160;39;64;46;0;0;0;0;0;0;17;0;0;0;0;0;0;0;0;0;0;0;0;326;16;0;0;0;0;16;0;4
"Nephrologie";"NEP1";156;92;55;44;17;0;14;23;6;49;31;83;0;3;14;0;0;0;0;0;0;0;2;589;20;0;2;0;0;22;2;41
"Urologie";"URO1";911;1204;898;690;175;481;655;477;88;266;391;343;0;101;410;38;119;2;0;905;0;0;1;8155;220;196;80;17;0;513;25;486
"";"URO1.1";137;132;103;90;13;14;65;98;5;106;46;17;0;85;49;1;0;0;0;126;0;0;0;1087;9;21;21;3;0;54;13;58
"";"URO1.1.1";45;72;73;163;0;4;36;34;0;0;0;0;0;0;78;0;0;0;0;93;0;0;0;598;1;22;1;0;0;24;7;19
"";"URO1.1.2";22;19;19;17;1;0;1;0;0;0;0;0;0;0;11;0;0;0;0;0;0;0;0;90;2;2;0;0;0;4;0;2
"";"URO1.1.3";28;31;19;23;0;0;14;14;0;0;0;1;0;2;22;0;0;0;0;0;0;0;0;154;0;4;0;0;0;4;0;3
"";"URO1.1.4";25;25;6;12;0;0;2;1;3;0;1;0;0;1;0;0;0;0;0;0;0;0;0;76;2;1;0;0;0;3;0;2
"";"URO1.1.7";9;6;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;28;0;0;0;0;0;0;0;1
"";"URO1.1.8";18;8;14;1;0;0;1;2;0;0;1;0;0;0;1;0;0;0;0;18;0;0;0;64;0;0;0;0;0;0;0;
"Pneumologie";"PNE1";441;263;266;52;81;0;144;113;173;44;117;152;1;67;78;2;4;0;0;0;0;3;2;2003;60;4;2;0;0;66;15;77
"";"PNE1.1";21;4;3;0;0;0;0;0;4;0;2;0;0;0;0;0;0;0;1;0;0;0;0;35;0;0;0;0;0;0;0;8
"";"PNE1.2";204;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;204;0;0;0;0;0;0;0;1
"";"PNE1.3";15;2;0;0;0;0;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0;0;29;0;0;0;0;0;0;0;2
"";"PNE2";39;33;0;1;0;0;4;0;7;0;8;0;0;38;0;0;0;0;6;0;0;0;0;136;1;0;0;0;0;1;0;5
"Thoraxchirurgie";"THO1";53;40;27;19;0;0;0;1;3;3;4;1;0;13;3;0;0;0;0;0;0;0;0;167;0;6;0;2;0;8;1;5
"";"THO1.1";69;68;61;45;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;243;4;11;0;0;0;15;0;6
"";"THO1.2";51;16;13;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;96;3;3;0;0;0;6;0;3
"Transplantationen";"TPL1";6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;
"";"TPL2";6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;
"";"TPL3";22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;0;0;0;0;0;0;0;
"";"TPL4";2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;
"";"TPL5";39;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;39;0;0;0;0;0;0;0;3
"";"TPL6";;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;0;;
"";"TPL7";;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;0;;
"Bewegungsapparat chirurgisch";"BEW1";445;664;318;358;120;123;281;253;213;167;161;236;701;132;192;911;46;49;0;0;106;1;2;5479;179;119;96;101;0;495;36;474
"";"BEW2";79;136;67;75;18;56;63;73;44;54;33;106;432;66;54;183;13;39;0;0;44;1;5;1641;60;38;30;27;0;155;9;106
"";"BEW3";84;221;73;29;9;0;29;80;55;10;27;27;78;36;28;58;1;37;0;0;1;0;0;883;34;27;26;87;0;174;5;83
"";"BEW4";1;8;3;7;0;9;13;1;1;0;1;2;27;0;0;20;0;0;0;0;12;0;0;105;6;5;2;1;0;14;0;10
"";"BEW5";44;181;80;437;22;111;74;66;76;21;29;114;383;7;49;364;16;5;0;0;92;0;0;2171;66;227;152;56;0;501;13;278
"";"BEW6";15;239;78;181;26;235;264;188;85;110;85;51;670;2;117;452;29;11;0;0;131;0;0;2969;50;186;53;23;0;312;20;310
"";"BEW7";1;42;29;31;0;14;23;11;4;0;8;6;63;10;6;102;1;0;0;0;55;0;0;406;15;39;8;8;0;70;0;52
"";"BEW7.1";46;385;124;189;15;201;127;95;173;69;169;95;769;0;102;315;0;0;0;0;16;0;0;2890;51;145;76;10;0;282;34;191
"";"BEW7.1.1";9;64;11;24;5;10;10;8;16;16;11;5;52;0;7;72;0;0;0;0;0;0;0;320;5;24;2;0;0;31;2;20
"";"BEW7.2";0;281;137;216;7;240;127;134;119;76;159;2;536;1;124;232;3;0;0;0;38;0;0;2432;51;186;121;35;0;393;33;182
"";"BEW7.2.1";0;22;2;22;0;10;7;15;3;4;10;0;40;0;8;49;0;0;0;0;3;0;0;195;3;36;11;9;0;59;1;11
"";"BEW8";239;376;325;624;59;29;0;0;0;515;0;2;692;9;53;749;2;0;0;0;0;0;0;3674;210;103;56;3;0;372;6;403
"";"BEW8.1";30;12;2;46;1;1;0;0;0;69;0;0;30;10;1;70;0;0;0;0;0;0;0;272;15;4;2;0;0;21;0;30
"";"BEW9";5;1;0;0;0;0;0;0;0;0;0;0;0;1;0;7;0;0;0;0;0;0;0;14;0;0;0;0;0;0;0;4
"";"BEW10";3;1;0;0;0;0;0;0;0;0;0;0;2;0;0;9;0;0;0;0;0;0;0;15;0;1;0;4;0;5;0;2
"";"BEW11";2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;
"Rheumatologie";"RHE1";192;73;43;17;22;7;26;32;32;15;34;45;6;19;17;38;9;0;0;0;0;1;1;629;3;2;0;2;0;7;1;25
"";"RHE2";111;19;13;0;2;0;3;1;0;5;4;7;0;16;1;0;1;0;0;0;0;0;0;183;2;0;0;0;0;2;0;4
"Gynäkologie";"GYN1";857;393;502;378;252;113;113;314;173;313;279;3;0;32;156;1;0;5;0;13;2;0;0;3899;140;156;14;50;0;360;65;343
"";"GYNT";77;49;60;54;0;1;1;20;25;25;21;0;0;1;1;0;0;0;0;0;0;0;0;335;2;8;0;1;0;11;3;17
"";"GYN2";146;181;119;336;0;61;0;39;59;93;73;0;0;0;48;0;0;0;0;0;0;0;0;1155;61;74;6;80;0;221;10;53
"";"PLC1";15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19;0;0;0;0;0;34;0;0;0;0;0;0;0;35
"Geburtshilfe";"GEB1";2685;1904;2546;1023;833;0;950;990;1471;2526;932;1;0;0;514;0;1;0;0;0;0;0;0;16376;459;446;0;2;0;907;114;868
"";"GEB1.1";133;27;6;1;0;0;0;0;8;7;2;0;0;0;1;0;0;0;0;0;0;0;0;185;1;0;0;0;0;1;0;8
"";"GEB1.1.1";75;2;5;0;0;0;0;1;0;1;2;0;0;0;1;0;0;0;0;0;0;0;0;87;0;0;0;0;0;0;0;2
"Neugeborene";"NEO1";1938;1450;2071;975;712;0;852;838;1230;2058;762;0;0;18;446;0;0;0;0;0;0;0;0;13350;447;432;0;0;0;879;85;706
"";"NEO1.1";361;346;251;6;16;0;5;5;135;345;11;0;0;84;3;0;0;0;0;0;0;0;0;1568;1;9;0;0;0;10;3;46
"";"NEO1.1.1";197;23;7;1;0;0;0;0;3;12;0;0;0;87;0;0;0;0;0;0;0;0;0;330;0;1;0;0;0;1;0;38
"";"NEO1.1.1.1";72;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;74;0;0;0;0;0;0;0;2
"(Radio-)Onkologie";"ONK1";180;118;49;22;1;0;13;27;5;5;11;28;0;64;7;0;2;0;0;0;0;0;0;532;12;20;0;0;0;32;2;12
"";"RAO1";203;144;185;78;0;0;2;2;0;4;1;0;0;12;23;0;0;0;0;38;0;0;0;692;0;1;0;0;0;1;0;18
"";"NUK1";75;63;75;28;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;241;0;0;0;0;0;0;0;88
"Schwere Verletzungen";"UNF1";88;25;11;2;4;0;4;7;5;2;2;5;1;6;1;2;1;0;0;0;0;0;0;166;0;0;2;0;0;2;1;28
"";"UNF1.1";137;34;19;5;8;0;4;10;12;4;15;20;1;15;4;2;2;0;0;0;0;0;1;293;0;0;1;1;0;2;1;30
"";"UNF2";10;3;2;0;0;0;0;1;0;0;0;2;0;5;0;0;0;0;0;0;0;0;0;23;0;0;0;0;0;0;0;
"Total";;30180;24791;21765;14252;6326;2186;9668;10267;9812;10988;9471;7929;4767;5842;6648;4216;2098;1346;426;1342;569;188;167;185244;4419;3418;1193;1012;36;10078;1079;12052
