"Spitalname";"Total absolut";"davon Frauen in %";"davon AusländerInnen in %";"davon in Ausbildung in %"
"Psychiatrische Universitätsklinik Zürich";1994;64.5937813440321;29.2377131394183;15.4964894684052
"Integrierte Psychiatrie Winterthur - ZU";852;66.7840375586855;26.7605633802817;22.887323943662
"Clienia Privatklinik Schlössli";729;70.9190672153635;27.0233196159122;18.6556927297668
"Sanatorium Kilchberg";442;67.420814479638;36.1990950226244;10.6334841628959
"Allgemeinpsychiatrien mit Zürcher Leistungsauftrag";4017;66.5173014687578;29.07642519293;17.1023151605676
"Modellstation SOMOSA";51;45.0980392156863;17.6470588235294;3.92156862745098
"Kinder- und Jugendpsychiatrien mit Zürcher Leistungsauftrag";51;45.0980392156863;17.6470588235294;3.92156862745098
"Forel Klinik";145;69.6551724137931;39.3103448275862;8.27586206896552
"Suchtbehandlung Frankental";38;57.8947368421053;13.1578947368421;5.26315789473684
"Spezialisierte Angebote mit Zürcher Leistungsauftrag";183;67.2131147540984;33.879781420765;7.65027322404372
"Privatklinik Hohenegg";215;72.0930232558139;34.8837209302326;0
"Total Kanton Zürich";4466;66.5696372592924;29.4223018360949;15.7411553963278
"Clienia Privatklinik Littenheid";530;74.7169811320755;33.7735849056604;7.54716981132075
"Klinik Meissenberg";144;72.9166666666667;49.3055555555556;13.8888888888889
"Klinik Sonnenhof";118;68.6440677966102;31.3559322033898;21.1864406779661
