"Spitalname";"F0 organische Störungen";"F10 Alkohol";"F11-F19 Drogen";"F2 Schizophrenie";"F3 affektive Störungen";"F4 neurotische Störungen";"F5 Verhaltensauffälligkeiten";"F6 Persönlichkeitsstörungen";"F7 Intelligenzstörungen";"F8 Entwicklungsstörungen";"F9 Störungen mit Beginn in Kindheit ";"Forensik";"Andere";"Total"
"Psychiatrische Universitätsklinik Zürich";295;837;307;969;1174;697;27;325;16;23;97;51;;4818
"Integrierte Psychiatrie Winterthur - ZU";266;265;125;595;950;650;14;228;23;10;55;0;;3181
"Clienia Privatklinik Schlössli";169;201;187;392;1162;205;4;213;13;16;36;0;;2598
"Sanatorium Kilchberg";152;188;120;398;900;337;5;135;4;2;14;0;;2255
"Psychiatriestützpunkt Spital Affoltern";1;25;10;34;75;29;3;24;0;1;0;0;;202
"Allgemeinpsychiatrien mit Zürcher Leistungsauftrag";883;1516;749;2388;4261;1918;53;925;56;52;202;51;;13054
"Modellstation SOMOSA";0;0;1;1;4;4;0;2;0;2;22;0;;36
"Kispi Zürich - Psychosomatik und Psychiatrie";0;0;0;0;11;19;22;0;0;2;2;0;;56
"KSW - Sozialpädiatrisches Zentrum";0;0;0;0;2;9;5;0;0;0;4;0;;20
"Kinder- und Jugendpsychiatrien mit Zürcher Leistungsauftrag";0;0;1;1;17;32;27;2;0;4;28;0;;112
"Forel Klinik";0;525;24;0;0;0;0;0;0;0;0;0;;549
"Suchtbehandlung Frankental";0;0;167;0;0;0;0;0;0;0;0;0;;167
"USZ - Zentrum für Essstörungen";0;0;0;0;0;0;52;0;0;0;0;0;;52
"Spezialisierte Angebote mit Zürcher Leistungsauftrag";0;525;191;0;0;0;52;0;0;0;0;0;;768
"Privatklinik Hohenegg";4;0;0;15;393;83;0;3;0;1;1;0;;500
"Total Kanton Zürich";887;2041;941;2404;4671;2033;132;930;56;57;231;51;;14434
"Clienia Privatklinik Littenheid";11;101;96;137;760;521;37;167;2;9;87;;0;1928
"Spitäler Schaffhausen";45;87;62;131;138;123;0;53;3;0;4;;3;649
"Klinik Meissenberg";2;0;2;41;277;76;9;83;0;3;0;;0;493
"Klinik Sonnenhof";0;0;3;3;37;34;4;17;0;3;70;;0;171
