"Spitalname";"Austritte";"Anteil in %";"ø-Alter Jahre";"Liegeklasse HPP in %";"ZH PatientInnen in %";"Notfalleintritte in %"
"Psychiatrische Universitätsklinik Zürich";4818;33.3795205764168;43.3557492735575;4.35865504358655;95.5583229555832;40.57700290577
"Integrierte Psychiatrie Winterthur - ZU";3181;22.0382430372731;43.0386670858221;4.33825840930525;96.1018547626532;68.4061615844074
"Clienia Privatklinik Schlössli";2598;17.9991686296245;45.7209391839877;13.3179368745189;94.8421862971517;29.2917628945343
"Sanatorium Kilchberg";2255;15.6228349729805;47.8470066518847;14.7228381374723;90.9534368070953;54.9445676274945
"Psychiatriestützpunkt Spital Affoltern";202;1.39947346542885;40.7277227722772;4.45544554455445;83.6633663366337;25.2475247524752
"Allgemeinpsychiatrien mit Zürcher Leistungsauftrag";13054;90.4392406817237;44.4843726060978;7.92860425923089;94.5687145702467;47.3571319135897
"Modellstation SOMOSA";36;0.249411112650686;16.8611111111111;0;19.4444444444444;0
"Kispi Zürich - Psychosomatik und Psychiatrie";56;0.387972841901067;15.1428571428571;0;80.3571428571429;0
"KSW - Sozialpädiatrisches Zentrum";20;0.138561729250381;12.65;0;70;0
"Kinder- und Jugendpsychiatrien mit Zürcher Leistungsauftrag";112;0.775945683802134;15.25;0;58.9285714285714;0
"Forel Klinik";549;3.80351946792296;46.2131147540984;0;65.5737704918033;0
"Suchtbehandlung Frankental";167;1.15699043924068;37.2335329341317;0;95.2095808383233;1.19760479041916
"USZ - Zentrum für Essstörungen";52;0.360260496050991;24.7692307692308;0;50;0
"Spezialisierte Angebote mit Zürcher Leistungsauftrag";768;5.32077040321463;42.80859375;0;70.9635416666667;0.260416666666667
"Privatklinik Hohenegg";500;3.46404323125953;53.622;98.8;54;0
"Total Kanton Zürich";14434;100;44.4848967715117;10.5930442011916;91.630871553277;42.8432866842178
"Clienia Privatklinik Littenheid";1928;;36.2992738589212;6.22406639004149;14.1597510373444;21.9398340248963
"Spitäler Schaffhausen";649;;46.8274268104777;4.77657935285054;14.4838212634823;67.4884437596302
"Klinik Meissenberg";493;;41.0507099391481;16.2271805273834;19.2697768762677;29.8174442190669
"Klinik Sonnenhof";171;;14.4269005847953;0;14.0350877192982;42.1052631578947
