"Spitalname";"F0 organische Störungen";"F10 Alkohol";"F11-F19 Drogen";"F2 Schizophrenie";"F3 affektive Störungen";"F4 neurotische Störungen";"F5 Verhaltensauffälligkeiten";"F6 Persönlichkeitsstörungen";"F7 Intelligenzstörungen";"F8 Entwicklungsstörungen";"F9 Störungen mit Beginn in Kindheit";"Überlieger ohne Diagnose";"Total"
"Psychiatrische Universitätsklinik Zürich";9744;23748;8899;60581;42261;16708;1126;12724;516;1230;7104;0;184641
"Integrierte Psychiatrie Winterthur - ZU";10138;4232;2077;16507;28062;14226;514;6295;295;182;1411;0;83939
"Clienia Privatklinik Schlössli";5286;4802;4495;11029;41894;4298;129;6487;114;446;871;0;79851
"Sanatorium Kilchberg";4139;3075;2360;10589;30209;8080;150;2807;87;70;288;0;61854
"Psychiatriestützpunkt Spital Affoltern";127;753;263;893;3419;1580;85;1035;0;5;47;0;8207
"Allgemeinpsychiatrien mit Zürcher Leistungsauftrag";29434;36610;18094;99599;145845;44892;2004;29348;1012;1933;9721;0;418492
"Modellstation SOMOSA";0;0;228;230;1608;948;0;424;0;480;2238;0;6156
"Kispi Zürich - Psychosomatik und Psychiatrie";0;0;0;0;710;1212;2422;0;0;114;239;0;4697
"KSW - Sozialpädiatrisches Zentrum";0;0;0;0;181;610;944;0;0;0;221;0;1956
"Kinder- und Jugendpsychiatrien mit Zürcher Leistungsauftrag";0;0;228;230;2499;2770;3366;424;0;594;2698;0;12809
"Forel Klinik";0;34200;1792;0;0;0;0;0;0;0;0;0;35992
"Suchtbehandlung Frankental";0;0;3862;0;0;0;0;0;0;0;0;0;3862
"USZ - Zentrum für Essstörungen";0;0;0;0;0;0;3491;0;0;0;0;0;3491
"Spezialisierte Angebote mit Zürcher Leistungsauftrag";0;34200;5654;0;0;0;3491;0;0;0;0;0;43345
"Privatklinik Hohenegg";54;0;0;506;19547;3591;0;156;0;33;71;0;23958
"Total Kanton Zürich";29488;70810;23976;100335;167891;51253;8861;29928;1012;2560;12490;0;498604
"Clienia Privatklinik Littenheid";156;2521;2271;3971;30083;20768;2037;6041;38;363;4671;7295;80215
"Spitäler Schaffhausen";1271;1709;1610;4292;5053;2392;0;1129;23;0;83;1926;19488
"Klinik Meissenberg";77;0;76;2039;13061;2918;326;4208;0;178;0;2322;25205
"Klinik Sonnenhof";0;0;36;335;1440;1314;229;1041;0;170;3842;2937;11344
