"Tabelle P2.1 Personalbestand in VZÄ 2015 -- 2017";"Krankenhausstatistik KS, ausserkantonale Kliniken: Daten 2017 sind noch nicht verfügbar"
"Tabelle P2.2 Personalbestand in VZÄ nach Berufsgruppen 2017";"Krankenhausstatistik KS, ausserkantonale Kliniken: Daten 2016"
"Tabelle P2.3 Beschäftigte am 31. Dezember 2017 nach Geschlecht, Nationalität und Ausbildungsstatus";"Krankenhausstatistik KS, ausserkantonale Kliniken: Daten 2016"
"Tabelle P3.1 Gesamtkosten nach Leistungsart 2017";"Krankenhausstatistik KS, ausserkantonale Kliniken: Daten 2016"
"Tabelle P3.2 Betriebsaufwand in 1000 Fr. 2015 -- 2017";"Krankenhausstatistik KS, ausserkantonale Kliniken: Daten 2017 sind noch nicht verfügbar"
"Tabelle P3.3 Betriebsertrag in 1000 Fr. 2015 -- 2017";"Krankenhausstatistik KS, ausserkantonale Kliniken: Daten 2017 sind noch nicht verfügbar"
"Tabelle P4.1 Austritte 2015 -- 2017";"Medizinische Statistiken PSYREC-KTR und PRISMA, ausserkantonale Kliniken: Medizinische Statistik BFS, Daten 2017 sind noch nicht verfügbar"
"Tabelle P4.2 Austritte nach Psychiatrieleistungsgruppen 2017";"Medizinische Statistiken PSYREC-KTR und PRISMA, ausserkantonale Kliniken: Medizinische Statistik BFS, Daten 2016"
"Tabelle P4.3 Austritte und verschiedene Merkmale 2017";"Medizinische Statistiken PSYREC-KTR und PRISMA, ausserkantonale Kliniken: Medizinische Statistik BFS, Daten 2016"
"Tabelle P4.4 Austritte nach Herkunftskanton 2017";"Medizinische Statistiken PSYREC-KTR und PRISMA, ausserkantonale Kliniken: Medizinische Statistik BFS, Daten 2016"
"Tabelle P4.5 Austritte nach Altersgruppe 2017";"Medizinische Statistiken PSYREC-KTR und PRISMA, ausserkantonale Kliniken: Medizinische Statistik BFS, Daten 2016"
"Tabelle P4.6 Austritte nach Psychiatrieregionen 2017";"Medizinische Statistiken PSYREC-KTR und PRISMA, ausserkantonale Kliniken: Medizinische Statistik BFS, Daten 2016"
"Tabelle P4.7 Pflegetage 2015 -- 2017";"Medizinische Statistiken PSYREC-KTR und PRISMA, ausserkantonale Kliniken: Medizinische Statistik BFS, Daten 2017 sind noch nicht verfügbar"
"Tabelle P4.8 Pflegetage nach Psychiatrieleistungsgruppen 2017";"Medizinische Statistiken PSYREC-KTR und PRISMA, ausserkantonale Kliniken: Medizinische Statistik BFS, Daten 2016"
"Tabelle P4.9 Pflegetage nach Altersgruppe 2017";"Medizinische Statistiken PSYREC-KTR und PRISMA, ausserkantonale Kliniken: Medizinische Statistik BFS, Daten 2016"
"Tabelle P4.10 Pflegetage nach Psychiatrieregionen 2017";"Medizinische Statistiken PSYREC-KTR und PRISMA, ausserkantonale Kliniken: Medizinische Statistik BFS, Daten 2016"
"Tabelle P4.11 Mittlere Aufenthaltsdauer 2015 -- 2017";"Medizinische Statistiken PSYREC-KTR und PRISMA, ausserkantonale Kliniken: Medizinische Statistik BFS, Daten 2017 sind noch nicht verfügbar"
"Tabelle P4.12 Betriebswirtschaftlicher Bettenbestand 2015 -- 2017";"Krankenhausstatistik KS, ausserkantonale Kliniken: Daten 2017 sind noch nicht verfügbar"
"Tabelle P4.13 Bettenbelegung 2017";"Krankenhausstatistik KS, Medizinische Statistiken PSYREC-KTR und PRISMA, ausserkantonale Kliniken: Medizinische Statistik BFS, Daten 2016"
"Tabelle P4.14 Anzahl Betten Allgemeinpsychiatrie pro Einwohner 2017";"Krankenhausstatistik KS, Kantonale Bevölkerungserhebungen, Statistisches Amt des Kantons Zürich"
"Tabelle P5.1 Austritte der Zürcher Wohnbevölkerung 2015 -- 2017";"Medizinische Statistiken PSYREC-KTR und PRISMA, ausserkantonale Kliniken: Medizinische Statistik BFS, Daten 2017 sind noch nicht verfügbar"
"Tabelle P5.2 Austritte, Pflegetage und verschiedene Merkmale der Zürcher Wohnbevölkerung nach Leistungsbereichen 2016";"Medizinische Statistik BFS"
"Tabelle P5.3.1 Zürcher Wohnbevölkerung nach Psychiatrieregion 2016";"Kantonale Bevölkerungserhebungen, Statistisches Amt des Kantons Zürich"
"Tabelle P5.3.2 Spitalhäufigkeit nach Psychiatrieregion 2016";"Medizinische Statistik BFS, Kantonale Bevölkerungserhebungen, Statistisches Amt des Kantons Zürich"
