"Spitalname";"2016";"2017";"2018";"% Änd. Vorjahr"
"Psychiatrische Universitätsklinik Zürich";4391;4457;4502;1.00964774512005
"Psychiatrische Universitätsklinik Zürich - Forensik";51;51;36;-29.4117647058823
"Integrierte Psychiatrie Winterthur - ZU";3166;3181;2991;-5.97296447657969
"Clienia Privatklinik Schlössli";2605;2598;2476;-4.69591993841416
"Sanatorium Kilchberg";2071;2255;2324;3.05986696230598
"Psychiatriestützpunkt Spital Affoltern";198;202;248;22.7722772277228
"Allgemeinpsychiatrien mit Zürcher Leistungsauftrag";12482;12744;12577;-1.31042059008161
"Psychiatrische Universitätsklinik Zürich - KJPP";243;310;293;-5.48387096774193
"Modellstation SOMOSA";37;36;24;-33.3333333333333
"Kispi Zürich - Psychosomatik und Psychiatrie";59;56;59;5.35714285714286
"KSW - Sozialpädiatrisches Zentrum";23;20;21;5
"Kinder- und Jugendpsychiatrien mit Zürcher Leistungsauftrag";362;422;397;-5.92417061611374
"Forel Klinik";532;549;568;3.46083788706739
"Suchtbehandlung Frankental";158;167;169;1.19760479041917
"USZ - Zentrum für Essstörungen";46;52;60;15.3846153846154
"Spezialisierte Angebote mit Zürcher Leistungsauftrag";736;768;797;3.77604166666667
"Privatklinik Hohenegg";513;500;494;-1.2
"Total Kanton Zürich";14093;14434;14265;-1.17084661216572
"Clienia Privatklinik Littenheid";1928;2160;;12.0331950207469
"Spitäler Schaffhausen";649;663;;2.15716486902928
"Klinik Meissenberg";493;579;;17.4442190669371
"Klinik Sonnenhof";171;234;;36.8421052631579
