"Spitalname";"2016";"2017";"2018";"% Änd. Vorjahr"
"Psychiatrische Universitätsklinik Zürich";544;582.213698630137;527.320547945205;-9.42835093267076
"Integrierte Psychiatrie Winterthur - ZU";224;226;226;0
"Clienia Privatklinik Schlössli";217.010928961749;219;219;0
"Sanatorium Kilchberg";173.524590163934;184;184;0
"Psychiatriestützpunkt Spital Affoltern";22;23;23;0
"Allgemeinpsychiatrien mit Zürcher Leistungsauftrag";1180.53551912568;1234.21369863014;1179.32054794521;-4.44762124629292
"Modellstation SOMOSA";16.9535519125683;17;17;0
"Kispi Zürich - Psychosomatik und Psychiatrie";13;13;13;0
"KSW - Sozialpädiatrisches Zentrum";6;6;6;0
"Kinder- und Jugendpsychiatrien mit Zürcher Leistungsauftrag";35.9535519125683;36;36;0
"Forel Klinik";101;101;101;0
"Suchtbehandlung Frankental";11.9672131147541;12;12;0
"USZ - Zentrum für Essstörungen";11.9672131147541;12;12;0
"Spezialisierte Angebote mit Zürcher Leistungsauftrag";124.934426229508;125;125;0
"Privatklinik Hohenegg";70;70;70;0
"Total Kanton Zürich";1411.42349726776;1465.21369863014;1410.32054794521;-3.74642625415341
"Clienia Privatklinik Littenheid";225;233;;3.55555555555556
"Spitäler Schaffhausen";62;62.1698630136986;;0.273972602739736
"Klinik Meissenberg";74;74;;0
"Klinik Sonnenhof";38;39;;2.63157894736843
