"Spitalname";"F0 organische Störungen";"F10 Alkohol";"F11-F19 Drogen";"F2 Schizophrenie";"F3 affektive Störungen";"F4 neurotische Störungen";"F5 Verhaltensauffälligkeiten";"F6 Persönlichkeitsstörungen";"F7 Intelligenzstörungen";"F8 Entwicklungsstörungen";"F9 Störungen mit Beginn in Kindheit";"Forensik";"Überlieger ohne Diagnose";"Total"
"Psychiatrische Universitätsklinik Zürich";11537;21920;6978;55677;37366;9752;274;10013;687;200;4572;0;0;158976
"Psychiatrische Universitätsklinik Zürich - Forensik";0;0;0;0;0;0;0;0;0;0;0;4270;0;4270
"Integrierte Psychiatrie Winterthur - ZU";9301;5020;2070;15118;28199;12174;155;7704;226;685;1453;0;0;82105
"Clienia Privatklinik Schlössli";6072;6020;4550;9498;38475;5086;58;6454;95;219;2211;0;0;78738
"Sanatorium Kilchberg";3173;3730;2304;10373;32560;8552;213;2500;202;12;25;0;0;63644
"Psychiatriestützpunkt Spital Affoltern";0;537;458;1569;3574;866;4;189;0;37;11;0;0;7245
"Allgemeinpsychiatrien mit Zürcher Leistungsauftrag";30083;37227;16360;92235;140174;36430;704;26860;1210;1153;8272;4270;0;394978
"Psychiatrische Universitätsklinik Zürich - KJPP";0;0;94;354;430;389;0;103;65;0;12749;0;0;14184
"Modellstation SOMOSA";0;0;133;465;1586;1192;0;57;0;563;2162;0;0;6158
"Kispi Zürich - Psychosomatik und Psychiatrie";0;0;0;0;212;1618;2115;0;0;85;94;0;616;4740
"KSW - Sozialpädiatrisches Zentrum";0;0;0;0;0;447;508;0;0;0;271;0;264;1490
"Kinder- und Jugendpsychiatrien mit Zürcher Leistungsauftrag";0;0;227;819;2228;3646;2623;160;65;648;15276;0;880;26572
"Forel Klinik";0;33130;1344;0;0;0;0;0;0;0;0;0;0;34474
"Suchtbehandlung Frankental";0;8;4212;0;0;0;0;0;0;0;0;0;0;4220
"USZ - Zentrum für Essstörungen";0;0;0;0;0;0;3180;0;0;0;0;0;569;3749
"Spezialisierte Angebote mit Zürcher Leistungsauftrag";0;33138;5556;0;0;0;3180;0;0;0;0;0;569;42443
"Privatklinik Hohenegg";14;41;21;409;17604;3618;106;37;0;19;35;0;1457;23361
"Total Kanton Zürich";30097;70406;22164;93463;160006;43694;6613;27057;1275;1820;23583;4270;2906;487354
"Clienia Privatklinik Littenheid";172;1819;2833;3817;30045;17513;2018;5891;0;418;3372;0;5086;73123
"Spitäler Schaffhausen";1350;2091;808;4503;5202;1881;78;1081;0;2;15;0;2507;19547
"Klinik Meissenberg";6;103;111;2275;15151;2645;400;2615;0;0;125;0;1764;25195
"Klinik Sonnenhof";0;0;65;345;2418;1525;304;578;0;49;4073;0;2270;11641
