"Spitalname";"0-19";"0-19 in %";"20-39";"20-39 in %";"40-64";"40-64 in %";"65-79";"65-79 in %";"80+";"80+ in %";"Total"
"Psychiatrische Universitätsklinik Zürich";7513;4.72587057165862;64184;40.3733896940419;64705;40.7011121175523;14631;9.20327596618357;7943;4.99635165056361;158976
"Psychiatrische Universitätsklinik Zürich - Forensik";0;0;2854;66.8384074941452;1416;33.1615925058548;0;0;0;0;4270
"Integrierte Psychiatrie Winterthur - ZU";10600;12.910297789416;25734;31.3427927653614;27345;33.3049144388283;11344;13.8164545399184;7082;8.62554046647585;82105
"Clienia Privatklinik Schlössli";2556;3.24620894612512;26321;33.4285859432548;33342;42.3455002667073;10625;13.4941197388808;5894;7.48558510503188;78738
"Sanatorium Kilchberg";1143;1.79592734586135;19457;30.5716171202313;29659;46.6014078310603;9195;14.4475520080447;4190;6.58349569480234;63644
"Psychiatriestützpunkt Spital Affoltern";27;0.372670807453416;3956;54.6031746031746;2609;36.0110420979986;653;9.01311249137336;0;0;7245
"Allgemeinpsychiatrien mit Zürcher Leistungsauftrag";21839;5.52916871319415;142506;36.0794778443356;159076;40.2746482082546;46448;11.7596423091919;25109;6.35706292502367;394978
"Psychiatrische Universitätsklinik Zürich - KJPP";14184;100;0;0;0;0;0;0;0;0;14184
"Modellstation SOMOSA";6158;100;0;0;0;0;0;0;0;0;6158
"Kispi Zürich - Psychosomatik und Psychiatrie";4740;100;0;0;0;0;0;0;0;0;4740
"KSW - Sozialpädiatrisches Zentrum";1490;100;0;0;0;0;0;0;0;0;1490
"Kinder- und Jugendpsychiatrien mit Zürcher Leistungsauftrag";26572;100;0;0;0;0;0;0;0;0;26572
"Forel Klinik";0;0;9385;27.2234147473458;24116;69.9541683587631;973;2.82241689389105;0;0;34474
"Suchtbehandlung Frankental";85;2.01421800947867;2837;67.2274881516588;1298;30.7582938388626;0;0;0;0;4220
"USZ - Zentrum für Essstörungen";860;22.9394505201387;2840;75.7535342758069;49;1.30701520405441;0;0;0;0;3749
"Spezialisierte Angebote mit Zürcher Leistungsauftrag";945;2.22651556204792;15062;35.4875951275829;25463;59.9934029168532;973;2.29248639351601;0;0;42443
"Privatklinik Hohenegg";77;0.329609177689311;4183;17.9059115620051;14665;62.7755661144643;3538;15.1448996190232;898;3.8440135268182;23361
"Total Kanton Zürich";49433;10.1431403045835;161751;33.1896321770212;199204;40.8746003931434;50959;10.45625972086;26007;5.33636740439188;487354
"Clienia Privatklinik Littenheid";20802;28.4479575509758;24222;33.1250085472423;23944;32.7448272089493;3569;4.88081725312145;586;0.801389439711172;73123
"Spitäler Schaffhausen";867;4.4354632424413;6063;31.0175474497365;9104;46.574921982913;2742;14.0277280401085;771;3.94433928480074;19547
"Klinik Meissenberg";2288;9.08116689819409;8107;32.1770192498512;12310;48.858900575511;1906;7.56499305417742;584;2.31792022226632;25195
"Klinik Sonnenhof";11641;100;0;0;0;0;0;0;0;0;11641
