"Spitalname";"ambulant in %";"stationär in %";"Langzeitpflege in %";"übrige Aufträge in %"
"Psychiatrische Universitätsklinik Zürich";24.1235853909281;60.0649075582621;0;15.8115070508097
"Integrierte Psychiatrie Winterthur - ZU";25.1704391129895;67.352846288507;0.27584342043568;7.20087117806788
"Clienia Privatklinik Schlössli";14.1562036134023;78.1871401075347;0.0379749297736517;7.61868134928941
"Sanatorium Kilchberg";12.6014441382267;83.9160298782841;0.039121097893016;3.44340488559619
"Psychiatriestützpunkt Spital Affoltern";7.44494843345515;92.5550515665449;0;0
"Allgemeinpsychiatrien mit Zürcher Leistungsauftrag";21.1674454780946;67.6788021824729;0.0667690161904681;11.086983323242
"Modellstation SOMOSA";0.971845232068062;39.2367775029385;0;59.7913772649934
"Kinder- und Jugendpsychiatrien mit Zürcher Leistungsauftrag";0.971845232068062;39.2367775029385;0;59.7913772649934
"Forel Klinik";16.2621882557977;79.6379082837715;0;4.09990346043082
"Suchtfachklinik Zürich";9.01578992484496;88.1977897172052;0;2.78642035794988
"Spezialisierte Angebote mit Zürcher Leistungsauftrag";15.0768868420472;81.0380575857009;0;3.88505557225195
"Privatklinik Hohenegg";11.3012932848828;86.0159989091977;0;2.68270780591953
"Total Kanton Zürich";20.1914443252963;68.7992840247466;0.0598455484083103;10.9494261015488
"Clienia Privatklinik Littenheid";12.8599666308218;82.3355300920409;0;4.80450327713739
"Klinik Meissenberg";2.19739877918398;96.5654832482831;0;1.23711797253288
"Klinik Sonnenhof";0.301004969642149;85.1984769295204;0;14.5005181008375
