"Spitalname";"Austritte";"Anteil in %";"Day Mix Index";"ø-Alter Jahre";"Liegeklasse HPP in %";"ZH PatientInnen in %";"Notfalleintritte in %"
"Psychiatrische Universitätsklinik Zürich";4613;31.2449200758602;1.00632317880733;44.6215044439627;3.79362670713202;95.1008020810752;55.5603728593106
"Psychiatrische Universitätsklinik Zürich - Forensik";54;0.365754538065565;0.958048028744497;34.962962962963;0;66.6666666666667;31.4814814814815
"Integrierte Psychiatrie Winterthur - ZU";3231;21.8843131942563;1.06385779335581;43.114515629836;4.51872485298669;95.636025998143;66.7595171773445
"Clienia Privatklinik Schlössli";2508;16.9872663234896;0.998320044778439;45.5406698564593;12.3604465709729;94.6570972886762;38.7161084529506
"Sanatorium Kilchberg";2258;15.2939582768897;1.00732135124736;48.5806023029229;15.5890168290523;87.9096545615589;43.7555358724535
"Psychiatriestützpunkt Spital Affoltern";318;2.15388783527499;1.01106314796608;40.2547169811321;8.80503144654088;86.4779874213836;39.3081761006289
"Allgemeinpsychiatrien mit Zürcher Leistungsauftrag";12982;87.9301002438364;1.01405363291967;44.9654906794023;7.78770605453705;93.5680172546603;52.541981204745
"Psychiatrische Universitätsklinik Zürich - KJPP";339;2.29612571118938;1.45493371583063;13.4896755162242;0;96.7551622418879;48.0825958702065
"Modellstation SOMOSA";34;0.230289894337578;1.42354191645186;16.0882352941176;0;61.7647058823529;0
"Kispi Zürich - Psychosomatik und Psychiatrie";56;0.379301002438364;1.4599193598056;14.75;10.7142857142857;71.4285714285714;0
"KSW - Sozialpädiatrisches Zentrum";30;0.20319696559198;1.49893154054516;13.4666666666667;6.66666666666667;93.3333333333333;0
"Kinder- und Jugendpsychiatrien mit Zürcher Leistungsauftrag";459;3.1089135735573;1.45228023530229;13.8344226579521;1.74291938997821;90.8496732026144;35.5119825708061
"Forel Klinik";628;4.25358981305879;0.874938075368607;46.5636942675159;0;70.7006369426752;0
"Suchtfachklinik Zürich";140;0.948252506095909;1.0314068358553;34.8071428571429;0;91.4285714285714;0.714285714285714
"USZ - Zentrum für Essstörungen";55;0.372527770251964;0.995055835510864;23.9818181818182;9.09090909090909;60;0
"Spezialisierte Angebote mit Zürcher Leistungsauftrag";823;5.57437008940666;0.900900087668769;43.0546780072904;0.607533414337789;73.5115431348724;0.121506682867558
"Privatklinik Hohenegg";500;3.38661609319968;0.952312582670659;51.878;99.6;52;0
"Total Kanton Zürich";14764;100;1.02786152326159;44.1252370631265;10.3088593876998;90.9577350311569;47.3110268219995
"Clienia Privatklinik Littenheid";2334;;1.04506347949236;35.7043701799486;6.12682090831191;15.209940017138;21.4652956298201
"Spitäler Schaffhausen";784;;0.977615224571494;48.0025510204082;3.69897959183673;21.4285714285714;37.8826530612245
"Klinik Meissenberg";546;;0.97527082797612;41.7948717948718;15.9340659340659;30.03663003663;29.1208791208791
"Klinik Sonnenhof";223;;1.29696028658965;14.7354260089686;0;18.3856502242152;52.0179372197309
