"Spitalname";"0-19";"0-19 in %";"20-39";"20-39 in %";"40-64";"40-64 in %";"65-79";"65-79 in %";"80+";"80+ in %";"Total"
"Psychiatrische Universitätsklinik Zürich";198;4.29221764578365;1859;40.299154563191;1910;41.4047257749837;416;9.01799262952525;230;4.98590938651637;4613
"Psychiatrische Universitätsklinik Zürich - Forensik";4;7.40740740740741;34;62.962962962963;14;25.9259259259259;2;3.7037037037037;0;0;54
"Integrierte Psychiatrie Winterthur - ZU";356;11.0182606004333;1183;36.6140513772826;1206;37.3259052924791;273;8.44939647168059;213;6.59238625812442;3231
"Clienia Privatklinik Schlössli";116;4.62519936204147;944;37.6395534290271;1034;41.2280701754386;279;11.1244019138756;135;5.38277511961723;2508
"Sanatorium Kilchberg";66;2.9229406554473;747;33.0823737821081;971;43.0026572187777;309;13.6846767050487;165;7.30735163861825;2258
"Psychiatriestützpunkt Spital Affoltern";8;2.51572327044025;166;52.2012578616352;138;43.3962264150943;6;1.88679245283019;0;0;318
"Allgemeinpsychiatrien mit Zürcher Leistungsauftrag";748;5.76182406408874;4933;37.9987675242644;5273;40.6177784624865;1285;9.8983207518102;743;5.72330919735018;12982
"Psychiatrische Universitätsklinik Zürich - KJPP";339;100;0;0;0;0;0;0;0;0;339
"Modellstation SOMOSA";34;100;0;0;0;0;0;0;0;0;34
"Kispi Zürich - Psychosomatik und Psychiatrie";56;100;0;0;0;0;0;0;0;0;56
"KSW - Sozialpädiatrisches Zentrum";30;100;0;0;0;0;0;0;0;0;30
"Kinder- und Jugendpsychiatrien mit Zürcher Leistungsauftrag";459;100;0;0;0;0;0;0;0;0;459
"Forel Klinik";2;0.318471337579618;175;27.8662420382166;415;66.0828025477707;36;5.73248407643312;0;0;628
"Suchtfachklinik Zürich";7;5;88;62.8571428571429;45;32.1428571428571;0;0;0;0;140
"USZ - Zentrum für Essstörungen";13;23.6363636363636;39;70.9090909090909;3;5.45454545454545;0;0;0;0;55
"Spezialisierte Angebote mit Zürcher Leistungsauftrag";22;2.67314702308627;302;36.6950182260024;463;56.2575941676792;36;4.37424058323208;0;0;823
"Privatklinik Hohenegg";5;1;91;18.2;321;64.2;72;14.4;11;2.2;500
"Total Kanton Zürich";1234;8.3581685180168;5326;36.0742346247629;6057;41.0254673530209;1393;9.4351124356543;754;5.10701706854511;14764
"Clienia Privatklinik Littenheid";548;23.4790059982862;882;37.7892030848329;753;32.2622107969152;121;5.18423307626392;30;1.2853470437018;2334
"Spitäler Schaffhausen";31;3.95408163265306;244;31.1224489795918;354;45.1530612244898;110;14.030612244898;45;5.73979591836735;784
"Klinik Meissenberg";41;7.50915750915751;224;41.025641025641;228;41.7582417582418;46;8.42490842490843;7;1.28205128205128;546
"Klinik Sonnenhof";223;100;0;0;0;0;0;0;0;0;223
