"Leistungsgruppe";"Anzahl Austritte";"ø-Alter Jahre";"Liegeklasse HPP in %";"MAHD Tage";"Pflegetage"
"F0 organische Störungen";893;75.7480403135498;19.1489361702128;34.5408734602464;27974
"F10 Alkohol";2076;46.6604046242775;1.01156069364162;30.6878612716763;59248
"F11-F19 Drogen";1085;36.0930875576037;0.460829493087558;27.7004608294931;27322
"F2 Schizophrenie";2400;42.4920833333333;4.58333333333333;37.78;82991
"F3 affektive Störungen";4793;46.6592948049238;17.5881493845191;35.2541205925308;161265
"F4 neurotische Störungen";1887;38.7037625861155;8.85002649708532;23.1308956014838;42179
"F5 Verhaltensauffälligkeiten";163;30.6625766871166;17.7914110429448;54.1288343558282;8305
"F6 Persönlichkeitsstörungen";1014;32.2317554240631;2.76134122287968;31.543392504931;30387
"F7 Intelligenzstörungen";41;32.7560975609756;4.8780487804878;26.6829268292683;1048
"F8 Entwicklungsstörungen";42;27.3095238095238;4.76190476190476;40.5952380952381;1444
"F9 Störungen mit Beginn in Kindheit";148;26.027027027027;8.78378378378378;50.9391891891892;6232
"Forensik";26;38.8461538461538;0;773.5;3276
"Andere";348;18.764367816092;0.862068965517241;56.0919540229885;63982
"Total";14916;43.8379592384017;9.34566908018235;34.7732636095468;515653
